sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
Nabu-pašir,[a-na LUGAL EN]-a [ARAD-ka md]⸢AG⸣—pa-šir [lu DI-mu a-na] ⸢LUGAL⸣ EN-a [d30 d]NIN.GAL [a-na] ⸢LUGAL*⸣ EN-a [lik]-⸢ru*⸣-bu,16,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Sin, Nikkal",,P334081,ABL 0134,SAA 1,188,Harran,SAA01.09.04.a,,,,,,,,P334081.22.1.2 (BA; ik-tar-ba\t),BA,t,,,,t,tilted wedge(s),P334081.22.1.2,ik-tar-ba\t,ba,,Ch. 9,K 01234,,,,ik-tar-ba,akk.r00f56,akk.r00f53,karābu[pray]V,karābu,P334081.22.1,pray,V,bless,V,r 7,
Nabu-pašir,[a-na] ⸢LUGAL*⸣ EN-a [ARAD]-⸢ka⸣ mdAG—pa-šir ⸢lu⸣ DI-mu a-na LUGAL EN-a d30 [u*] dNIN.GAL a-na LUGAL EN-a lik-ru-bu,16,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Sin, Nikkal",,P334079,ABL 0131,SAA 1,190,Harran,SAA01.09.04.a,,,,,,,,P334079.32.3.2 (BU; i-du-bu\t-bu\tp),BU,t,,,all horizontals,t,tilted wedge(s),P334079.32.3.2,i-du-bu\t-bu\tp,bu,P334079.32.3.2.png,Ch. 9,K 00625,,Word Medial,Complete,i-du-bu-bu,akk.r006e3,akk.r006c8,dabābu[speak]V,dabābu,P334079.32.3,speak,V,speak,V,r 8',
Nabu-pašir,[a-na] LUGAL EN-ia [ARAD]-ka mdAG—pa-šir lu DI-mu a-na LUGAL EN-ia dAG u dAMAR.UTU a-na LUGAL EN-ia lik-ru-bu DI-mu a-na KUR ša LUGAL EN-[ia],23,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Nabû, Marduk",Land,P334078,ABL 0130,SAA 1,202,Harran,SAA01.09.04.a,,,,,,,,P334078.4.2.0 (DI; DI\d-mu),DI,d,,,,d,displaced wedge(s),P334078.4.2.0,DI\d-mu,DI,,Ch. 9,K 00624,,,,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P334078.4.2,completeness,N,health,N,o 3,
Nabu-pašir,[a]-na LÚv.SUKKAL EN-a ARAD-ka mdPA—pa-šir lu DI-mu a-na LÚv.SUKKAL EN-a d30 dNIN.GAL a-na LÚv.SUKKAL EN-a  ,15,ana PN/LÚ-* bēlīya (urdaka) PN,"Sin, Nikkal",,P334080,ABL 0132,SAA 1,191,Harran,SAA01.09.04.a,,,,,,,,P334080.25.1.0 (AK; ak\t-ta-ra-ra),AK,t,,,first horizontal is shifted downwards to be lined with the bottom horizontal of the frame,t,tilted wedge(s),P334080.25.1.0,ak\t-ta-ra-ra,ak,P334080.25.1.0.png,Ch. 9,K 00655,,Word Initial,Complete,ak-ta-ra-ra,akk.r00f7a,akk.r00f73,karāru[put (down)]V,karāru,P334080.25.1,put (down),V,put (down),V,r 5,
Nabu-pašir,a-na LUGAL EN-ia ⸢ARAD⸣-ka mdAG—pa-šir ⸢lu⸣-u DI-mu a-na LUGAL EN-ia ⸢d⸣30 d⸢NIN⸣.[GAL] ⸢a-na LUGAL⸣ EN-ia [lik-ru-bu],16,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Sin, Nikkal",,P334496,ABL 0701,SAA 1,195,Harran,SAA01.09.04.a,,,,,,,,P334496.23.3.1 (NA; a-na\y-ku),NA,y,,,,y,other variation,P334496.23.3.1,a-na\y-ku,na,,Ch. 9,Sm 1338,,,,a-na-ku,akk.r0035f,akk.r0035e,anāku[I]IP,anāku,P334496.23.3,I,IP,I,IP,r 2,
Nabu-pašir,a-na LUGAL EN-ia ARAD-ka mdAG—pa-šir lu DI-mu a-na LUGAL EN-ia d30 u dNIN.GAL [a-na] LUGAL EN-ia lik-ru-bu,17,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Sin, Nikkal",,P313435,CT 53 020,SAA 1,192,Harran,SAA01.09.04.a,,,,,,,,P313435.3.2.2 (AK; {1}{d}AG\d—pa-šir),AK,d,,,,d,displaced wedge(s),P313435.3.2.2,{1}{d}AG\d—pa-šir,AG,,Ch. 9,K 01253+,,,,{1}{d}AG-pa-šir,qpn.r003d3,qpn.r003d2,Nabu-pašir[1]PN,Nabu-pašir,P313435.3.2,1,PN,1,PN,o 2,
Nabu-remanni,a-na LUGAL be-lí-ia ARAD-ka mdPA—rém-a-ni lu DI-mu a-na LUGAL be-li-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334111,ABL 0165,SAA 15,53,Parsua,SAA15.03.01.a,,,,horses from Parsua detained my Manneans,,,,P334111.15.1.2 (AL; ih-ta-al\d-qu-⸢ni⸣),AL,d,,,,d,displaced wedge(s),P334111.15.1.2,ih-ta-al\d-qu-⸢ni⸣,al,,Ch. 3,K 00497,,,,ih-ta-al-qu-ni,akk.r00bfa,akk.r00bee,halāqu[be(come) lost]V,halāqu,P334111.15.1,be(come) lost,V,run away,V,b.e. 13,
Nabu-riba-ahhe,a-na DUMU—LUGAL EN-ia ARAD-ka mdPA—SU—PAB-MEŠ lu DI-mu a-na DUMU—LUGAL EN-ía DI-mu a-na ma-ṣar-a-te a—dan-niš,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Guards,P334120,ABL 0175,SAA 1,153,Nineveh,SAA01.07.11.a,,,,,,,,P334120.8.1.0 (LU₂; {lu₂vy}SAG.⸢DU⸣-MEŠ-te),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P334120.8.1.0,{lu₂vy}SAG.⸢DU⸣-MEŠ-te,LU₂,,Ch. 7,K 00614,,,,{LU₂}SAG.DU-MEŠ-te,akk.r01b1f,akk.r01b1c,qaqqadu[head]N,qaqqadu,P334120.8.1,head,N,head,N,o 7,
Nabu-šumu-iddina,[a-na] ⸢LUGAL⸣ be-lí-ia [ARAD-ka] mdPA-MU-SUM-na [lu-u DI]-mu a-na LUGAL be-lí-ia [DI-mu a-na] URU.ḪAL.ṢU a-na LÚv.za-ku-u [a-na LÚv].ARAD-MEŠ ša LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Fort, exempts, servants of the King",P334483,ABL 0685,SAA 15,136,Lahiru,SAA15.05.03.a,,,,,,,,P334483.18.3.2 (KASKAL; a-sap-raš\t-⸢šu⸣),KASKAL,t,,,,t,tilted wedge(s),P334483.18.3.2,a-sap-raš\t-⸢šu⸣,raš,,Ch. 5,"81-2-4,096",,,,a-sap-raš-šu,akk.r0240f,akk.r023f0,šapāru[send]V,šapāru,P334483.18.3,send,V,write,V,o 17,
Nabu-šumu-iddina,a-na LÚv.SUKKAL be-lí-ia ARAD-ka mdPA-MU-AŠlu DI-mu a-na LÚv.SUKKAL be-lí-ia,,ana PN/LÚ-* bēlīya (urdaka) PN,,,P334020,ABL 0070,SAA 15,138,Lahiru,SAA15.05.03.a,,,,,,,,P334020.4.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P334020.4.1.0,ARAD\p-ka,ARAD,,Ch. 5,K 01070,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P334020.4.1,slave,N,servant,N,o 3,
"Nabu-ušabši, Igli",a-na LUGAL be-lí-[ía] ARAD-ka mdPA—GÁL-ši mig-li-i lu DI-mu a-na LUGAL EN-ía dAG dAMAR.UTU a-na LUGAL EN-ía lik-ru-bu,,ana šarrri bēlīya urdaka PN + PN lū šulmu ana šarrri bēlīya,"Nabû, Marduk",,P334189,ABL 0271,SAA 5,293,Northeastern Assyria,SAA05.14.03.a,,,,,,,,P334189.11.4.0 (LU₂; {lu₂v}aš-šur-a.a),LU₂,,v,,,v,tilted wedge(s),P334189.11.4.0,{lu₂v}aš-šur-a.a,LU₂,,Ch. 14,K 01220,,,,{LU₂}aš-šur-a.a,qpn.r000cc,qpn.r000c7,Aššuraya[Assyrian]EN,Aššuraya,P334189.11.4,Assyrian,EN,Assyrian,EN,o 10,
Nabu-uṣalla,a-na LUGAL be-lí-ia ARAD-ka mdPA—ú-ṣal-⸢la⸣ lu DI-mu a-na LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334150,ABL 0206,SAA 5,104,Tamnuna,SAA05.06.02.a,,,,,,,,P334150.31.4.1 (BA; u₂-ba\t-lu-na-ši),BA,t,,,,t,tilted wedge(s),P334150.31.4.1,u₂-ba\t-lu-na-ši,ba,,Ch. 6,K 00539,,,,u₂-ba-lu-na-ši,akk.r02074,akk.r02023,wabālu[bring]V,wabālu,P334150.31.4,bring,V,bring,V,r 11,
Nanu,[a]-⸢na⸣ LUGAL EN-ia [ARAD]-ka mna-nu-u [lu] ⸢DI⸣-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313926,CT 53 513+,SAA 5,247,Northeastern Assyria,SAA05.12.08.a,,,,,,,,P313926.6.2.0 (ŠA; ša\y),ŠA,y,,,,y,other variation,P313926.6.2.0,ša\y,ša,,Ch. 12,K 14643+,,,,ša,akk.r00a97,akk.r00a85,erēšu[sow]V,ša,P313926.6.2,that,REL,who,REL,o 5,
Nashir-Bel (Liphur-Bel),[a-na LUGAL EN-ía] [ARAD-ka m]⸢NIGIN—EN⸣ [lu-u DI-mu] a-na LUGAL EN-ía [DI-mu a]-⸢na⸣ KUR ša LUGAL EN-ía [DI-mu a-na] URU.ḪAL.ṢU-MEŠ [ŠÀ-bu ša] LUGAL EN-ía [lu DÙG],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Land of the King, Forts of the King",P313750,CT 53 335,SAA 5,18,Amidi,SAA05.01.01.a,,,,,,,,P313750.4.3.1 (NA; a-na\t),NA,t,,,,t,tilted wedge(s),P313750.4.3.1,a-na\t,na,,Ch. 1,K 07367,,,,a-na,akk.r002e5,akk.r002dd,ana[to]PRP,ana,P313750.4.3,to,PRP,to,PRP,o 3,
Nashir-Bel (Liphur-Bel),[a-na] ⸢LUGAL⸣ EN-ia [ARAD]-⸢ka⸣ mNIGIN—EN [lu DI]-mu a-na LUGAL EN-ia [DI-mu a]-na KUR šá LUGAL [DI-mu a]-na ḪAL.ṢU-MEŠ ša [LUGAL] [ŠÀ ša] LUGAL EN-ia lu [DÙG],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Land, forts",P334521,ABL 0732,SAA 5,6,Amidi,SAA05.01.01.a,,,,"timber logs to the river
forts",,,,P334521.8.2.0 (GIŠ; {gišd}[ŠU₂.A-MEŠ]),GIŠ,d,,,horizontals not aligned,d,displaced wedge(s),P334521.8.2.0,{gišd}[ŠU₂.A-MEŠ],GIŠ,P334521.8.2.0.png,Ch. 1,"Rm 2,0410",,Word Initial,Complete,{GIŠ}ŠU₂.A-MEŠ,akk.r02636,akk.r02634,šipšatu[(length of) wood]N,šipšatu,P334521.8.2,(length of) wood,N,door-beam,N,o 7,
Nashir-Bel (Liphur-Bel),[a-na] ⸢LUGAL⸣ EN-ia [ARAD]-⸢ka⸣ mNIGIN—EN [lu DI]-mu a-na LUGAL EN-ia [DI-mu a]-na KUR šá LUGAL [DI-mu a]-na ḪAL.ṢU-MEŠ ša [LUGAL] [ŠÀ ša] LUGAL EN-ia lu [DÙG],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Land of the King, Forts of the King",P334521,ABL 0732,SAA 5,6,Amidi,SAA05.01.01.a,,,,,,,,P334521.9.2.0 (GIŠ; {gišd}⸢UR₃⸣-[MEŠ]),GIŠ,d,,,horizontals not aligned,d,displaced wedge(s),P334521.9.2.0,{gišd}⸢UR₃⸣-[MEŠ],GIŠ,P334521.9.2.0.png,Ch. 1,"Rm 2,0410",,Word Initial,Complete,{GIŠ}UR₃-MEŠ,akk.r00bbd,akk.r00bba,gušūru[tree-trunk]N,gušūru,P334521.9.2,tree-trunk,N,log,N,o 8,
Nashir-Bel (Liphur-Bel),a-na LUGAL EN-ia ARAD-ka mNIGIN—EN lu DI-mu a-na LUGAL EN-ia DI-mu a-na KUR šá LUGAL DI-mu a-na ḪAL.ṢU-MEŠ šá LUGAL ŠÀ ša LUGAL EN-ia lu-⸢u? DÙG*⸣,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Land of the King, Forts of the King",P334145,ABL 0200,SAA 5,1,Amidi,SAA05.01.01.a,,,,,,,,P334145.3.1.1 (KA; ARAD-ka\d),KA,d,,,,d,displaced wedge(s),P334145.3.1.1,ARAD-ka\d,ka,,Ch. 1,K 00488,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P334145.3.1,slave,N,servant,N,o 2,
Nashir-Bel (Liphur-Bel),a-na LUGAL EN-ía ARAD-ka mNIGIN—EN lu-u DI-mu a-na LUGAL EN-ia DI-mu a-na KUR ša LUGAL DI-mu a-na URU.ḪAL.ṢU-MEŠ ŠÀ ša LUGAL EN-ia lu-u DÙG,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Land of the King, Forts of the King",P334291,ABL 0424,SAA 5,3,Amidi,SAA05.01.01.a,,,,"Watch on Urartu
logs",,,"Argisti king of Urartu = Argišti II, son of Rusa (713-?)",P334291.19.5.0 (ANŠE; {anšed}KUR.RA-ka),ANŠE,d,,,,d,displaced wedge(s),P334291.19.5.0,{anšed}KUR.RA-ka,ANŠE,,Ch. 1,Sm 0760,,,,{ANŠE}KUR.RA-ka,akk.r01def,akk.r01de0,sisû[horse]N,sisû,P334291.19.5,horse,N,horse,N,o 18,
Nergal-balliṭ,a-na LUGAL EN-ía ARAD-ka mdU.GUR—bal-liṭ lu-u DI-mu a-na LUGAL EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334160,ABL 0218,SAA 1,155,Assyria,SAA01.07.13.a,,,,,,,,P334160.3.2.4 (BAL; {1}{d}U.GUR—bal\d-liṭ),BAL,d,,,,d,displaced wedge(s),P334160.3.2.4,{1}{d}U.GUR—bal\d-liṭ,bal,,Ch. 7,K 01199,,,,{1}{d}U.GUR-bal-liṭ,qpn.r003ff,qpn.r003ff,Nergal-balliṭ[1]PN,Nergal-balliṭ,P334160.3.2,1,PN,1,PN,o 2,
Nergal-belu-uṣur,[a-na] LUGAL be-lí-ía [ARAD]-⸢ka⸣ mdU.GUR—EN—PAB [lu] DI-mu a-na LUGAL EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334622,ABL 0911,SAA 15,291,uncertain,SAA15.09.03.a,,,,,,,,P334622.5.5.0 (LU₂; {lu₂vy}GAL—{giš}GEŠTIN-MEŠ),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P334622.5.5.0,{lu₂vy}GAL—{giš}GEŠTIN-MEŠ,LU₂,,Ch. 9,K 01215,,,,{LU₂}GAL-{GIŠ}GEŠTIN-MEŠ,akk.r00f6c,akk.r00f66,karānu[vine]N,rabû,P334622.5.5,big one,N,big one,N,o 4,
Nergal-eṭir,a-na LUGAL be-lí-ia ARAD-ka mdU.GUR-KAR-ir [lu] DI-mu [a]-⸢na⸣ LUGAL EN-ia [a]-⸢dan⸣-niš ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334169,ABL 0230,SAA 15,67,"Namri, Bit-Hamban, or Bit-Sangibuti",SAA15.03.03.a,,,,,,,,P334169.9.5.1 (|ME.U.U.U|; GUD-MEŠ\m),|ME.U.U.U|,m,,,,m,missing wedge(s),P334169.9.5.1,GUD-MEŠ\m,MEŠ,,Ch. 3,K 01894,,,,GUD-MEŠ,akk.r00119,akk.r00116,alpu[ox]N,alpu,P334169.9.5,ox,N,ox,N,o 8,
Nergal-eṭir,a-na LUGAL be-lí-ía ARAD-ka mdU.GUR-KAR-ir lu šul-mu a-na LUGAL be-lí-ía a-dan-niš a-dan-niš a-na KUR ša LUGAL šul-mu ŠÀ-bu ša LUGAL EN-ía a-dan-niš lu-u DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,Land of the King,P334168,ABL 0227,SAA 15,66,"Namri, Bit-Hamban, or Bit-Sangibuti",SAA15.03.03.a,,,,,,,,P334168.11.1.0 (LU₂; {lu₂v}DUMU—šip-ri),LU₂,,v,,,v,tilted wedge(s),P334168.11.1.0,{lu₂v}DUMU—šip-ri,LU₂,,Ch. 3,K 00560,,,,{LU₂}DUMU-šip-ri,akk.r014f7,akk.r014dd,māru[son]N,māru,P334168.11.1,son,N,son,N,o 10,
Nergal-eṭir,a-na LUGAL EN-ia ARAD-ka mdU.GUR-KAR-ir lu DI-mu a-na LUGAL EN-ia a-dan-niš a-na KUR ša LUGAL DI-mu ŠÀ-bu ša LUGAL EN-ia a-dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,Land of the King,P334167,ABL 0226,SAA 15,65,"Namri, Bit-Hamban, or Bit-Sangibuti",SAA15.03.03.a,,,,,,,,P334167.15.1.0 (ANŠE; {anšed}KUR.RA-MEŠ),ANŠE,d,,,,d,displaced wedge(s),P334167.15.1.0,{anšed}KUR.RA-MEŠ,ANŠE,,Ch. 3,K 00526,,,,{ANŠE}KUR.RA-MEŠ,akk.r01dea,akk.r01de0,sisû[horse]N,sisû,P334167.15.1,horse,N,horse,N,r 4,
Recruitment officers ,[a-na] ⸢LUGAL⸣ KUR.KUR EN-i-ni [ARAD-MEŠ-ka LÚv].mu-šar-ki-sa-a-ni [ša ANŠE.KUR.RA]-MEŠ* lu-u DI-mu [a-na LUGAL EN-i]-⸢ni⸣,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334689,ABL 1036,SAA 1,162,Assyria,SAA01.07.18.a,,,,,,,,P334689.4.2.3 (|ME.U.U.U|; {anše}KUR.RA]-MEŠ\t),|ME.U.U.U|,t,,,,t,tilted wedge(s),P334689.4.2.3,{anše}KUR.RA]-MEŠ\t,MEŠ,,Ch. 7,K 12996,,,,{ANŠE}KUR.RA-MEŠ,akk.r01dea,akk.r01de0,sisû[horse]N,sisû,P334689.4.2,horse,N,horse,N,o 3,
Remutu,a-na mdPA—BÀD—PAB EN-ia ARAD-ka mri-mu-te lu DI-mu a-na EN-ia,,ana PN/LÚ-* bēlīya (urdaka) PN,,,P334621,ABL 0910,SAA 1,221,Lower Habur Region,SAA01.11.02.a,,,,,,,,P334621.9.3.2 (DA; a-sa-ṭa\d-ra),DA,d,,,,d,displaced wedge(s),P334621.9.3.2,a-sa-ṭa\d-ra,ṭa,,Ch. 11,K 01194,,,,a-sa-ṭa-ra,akk.r0259d,akk.r0259c,šaṭāru[write]V,šaṭāru,P334621.9.3,write,V,write,V,o 8,
Ša-Aššur-dubbu,[a-na] ⸢LUGAL⸣ EN-[ia] [ARAD-ka] m*šá—aš-šur—du-bu [lu DI-mu] a-na LUGAL EN-ía a—dan-niš [DI-mu a-na] URU.bi-rat a-⸢na⸣ [KUR ša LUGAL EN-ía],19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P313510,CT 53 095,SAA 5,34,Tušhan,SAA05.02.02.a,,,,,,,,P313510.18.1.0 (A₂; it\m-tab-ši),A₂,m,,,,m,missing wedge(s),P313510.18.1.0,it\m-tab-ši,it,,Ch. 2,K 13008+,,,,it-tab-ši,akk.r0059e,akk.r00590,bašû[exist]V,bašû,P313510.18.1,exist,V,occur,V,o 24,
Ša-Aššur-dubbu,a-na LUGAL ⸢EN⸣-ia ARAD-ka mša—aš-šur—du-ub-bulu DI-mu a-na LUGAL EN-ia a—dan-niš DI-mu a-na URU.bi-ra-a-ti a-na KUR ša LUGAL EN-ia,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Forts, Land",P313472,ABL 0139+,SAA 5,31,Tušhan,SAA05.02.02.a,,,,Watch on Urartu,,,,P313472.55.1.2 (BU; a-⸢qa⸣-bu\tp-u-ni),BU,tp,,,,tp,"tilted wedge(s), additional wedge(s)",P313472.55.1.2,a-⸢qa⸣-bu\tp-u-ni,bu,,Ch. 2,K 01886+,,,,a-qa-bu-u-ni,akk.r01a54,akk.r01a4a,qabû[say]V,qabû,P313472.55.1,say,V,say,V,r.e. 27,
Ša-Aššur-dubbu,a-na LUGAL EN-ia ARAD-ka mša—aš-šur—du-bu lu DI-mu a-na LUGAL [EN-ia a—dan-niš] DI-mu a-na URU.bi-ra-[a-ti] a-na KUR ša LUGAL ⸢EN⸣-[ia],19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334498,ABL 0705,SAA 5,33,Tušhan,SAA05.02.02.a,,,,,,,,P334498.23.1.1 (DA; ug\dt-da\d-mir),DA,d,,,,d,displaced wedge(s),P334498.23.1.1,ug\dt-da\d-mir,da,,Ch. 2,"82-5-22,0109",,,,ug-da-mir,akk.r00b92,akk.r00b75,gamāru[complete]V,gamāru,P334498.23.1,complete,V,finish,V,r 7',
Ša-Aššur-dubbu,LUGAL EN-ia ARAD-ka mšá—aš-šur—du-bu lu DI-mu a-na LUGAL EN-ia a—dan-niš DI-mu a-na URU.bi-rat a-na KUR ša LUGAL EN-ia,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334084,ABL 0138,SAA 5,32,Tušhan,SAA05.02.02.a,,,,,,,,P334084.38.3.1 (BU; liš-pu\p-ra),BU,p,,,,p,additional wedge(s),P334084.38.3.1,liš-pu\p-ra,pu,,Ch. 2,K 00469,,,,liš-pu-ra,akk.r0247b,akk.r023f0,šapāru[send]V,šapāru,P334084.38.3,send,V,write,V,r 14,
Šamaš-abu-uṣur,a-na LÚv.EN.NAM EN-ía IM mdUTU—AD—PAB,,IM PN ana PN/LÚ-*,,,P334583,ABL 0830,SAA 15,186,Northern Babylonia,SAA15.06.04.a,,,,,,,,P334583.15.2.2 (AL; {uru]}ap-al\d-la-a),AL,d,,,,d,displaced wedge(s),P334583.15.2.2,{uru]}ap-al\d-la-a,al,,Ch. 6,K 01376,,,,{URU}ap-al-la-a,qpn.r0004b,qpn.r0004b,Apalla[1]GN,Apalla,P334583.15.2,1,GN,1,GN,r 1,
Šamaš-abu-uṣur,a-na LÚv.EN.NAM EN-ía IM mdUTU—AD—PAB,,IM PN ana PN/LÚ-*,,,P334583,ABL 0830,SAA 15,186,Northern Babylonia,SAA15.06.04.a,,,,,,,,P334583.8.2.2 (KUL; DUMU—{1}NUMUN\d-i),KUL,d,,,,d,displaced wedge(s),P334583.8.2.2,DUMU—{1}NUMUN\d-i,NUMUN,,Ch. 6,K 01376,,,,DUMU-{1}NUMUN-i,qpn.r00377,qpn.r00377,Mar-Zeri[1]PN,Mar-Zeri,P334583.8.2,1,PN,1,PN,o 7,
Šamaš-belu-uṣur,[a-na LUGAL be]-lí-ía [ARAD-ka m]dUTU-EN-PAB [lu-u DI-mu a]-na LUGAL EN-ía [DI-mu a-na] URU.de-ri [DI-mu a-na] URU.ḪAL.ṢU,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Der, Fort",P334562,ABL 0800,SAA 15,115,Der,SAA15.05.01.a,,,,,,,,P334562.30.4.3 (TI; x]+⸢x⸣-a-ti\t),TI,t,,,,t,tilted wedge(s),P334562.30.4.3,x]+⸢x⸣-a-ti\t,ti,,Ch. 5,K 07424,,,,x+x-a-ti,,,,,P334562.30.4,,,,,r.e. 14,
Šamaš-belu-uṣur,[a]-⸢na⸣ LUGAL be-lí-ia [ARAD]-⸢ka⸣ mdUTU-EN-PAB [lu-u DI]-mu a-na LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334563,ABL 0801,SAA 15,127,Der,SAA15.05.01.a,,,,,,,,P334563.4.4.0 (LUGAL; LUGAL\t),LUGAL,t,,,,t,tilted wedge(s),P334563.4.4.0,LUGAL\t,LUGAL,,Ch. 5,K 13077,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334563.4.4,king,N,king,N,o 3,
Šamaš-belu-uṣur,a-na LUGAL BE-[ia] ARAD-ka mdUTU-⸢EN⸣-PAB lu DI-mu a-na LUGAL BE-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334367,ABL 0537,SAA 15,121,Der,SAA15.05.01.a,,,,,,,,P334367.8.1.1 (BU; aq-bu\t-u₂\p-ni),BU,t,,,,t,tilted wedge(s),P334367.8.1.1,aq-bu\t-u₂\p-ni,bu,,Ch. 5,K 08535,,,,aq-bu-u₂-ni,akk.r01a5b,akk.r01a4a,qabû[say]V,qabû,P334367.8.1,say,V,say,V,o 7,
Šamaš-belu-uṣur,a-na LUGAL BE-ia ARAD-ka mdUTU-EN-PAB lu-u DI-mu a-na LUGAL BE-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334561,ABL 0798,SAA 15,122,Der,SAA15.05.01.a,,,,,,,,P334561.9.4.1 (BU; gab-bu\t),BU,t,,,,t,tilted wedge(s),P334561.9.4.1,gab-bu\t,bu,,Ch. 5,K 01023,,,,gab-bu,akk.r00b30,akk.r00b29,gabbu[totality]N,gabbu,P334561.9.4,totality,N,all,N,o 8,
