sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
Adda-hati,a-na ⸢LUGAL⸣ EN-⸢ia⸣ ARAD-ka m10—⸢ḫa⸣-ti ⸢lu⸣ DI-mu ⸢a-na LUGAL EN⸣-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,X900005,NL 019; ND 2381; SAA 19 174,SAA 1,175,Hamath,SAA01.08.02.a,,,,,,,,X900005.2.1.1 (NA; a-na\t),NA,t,,,,t,tilted wedge(s),X900005.2.1.1,a-na\t,na,,Ch. 8,IM 64018,,,,a-na,akk.r002e5,akk.r002dd,ana[to]PRP,ana,X900005.2.1,to,PRP,to,PRP,o 1,
Adda-hati,a-na LUGAL EN-ia ARAD-ka m10—ḫa-ti ⸢lu⸣ DI-mu a-⸢na⸣ LUGAL EN-⸢ia⸣,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,X900007,NL 020; ND 2437; SAA 19 173,SAA 1,,Hamath,SAA01.08.02.a,,,,,,,,X900007.3.1.0 (ARAD; ARAD\d-ka),ARAD,d,,,,d,displaced wedge(s),X900007.3.1.0,ARAD\d-ka,ARAD,,Ch. 8,IM 64042,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,X900007.3.1,slave,N,servant,N,o 2,
Adda-hati,a-na LUGAL EN-ia ARAD-ka m10—ḫa-ti lu ⸢DI-mu⸣ a-⸢na⸣ LUGAL EN-ia DI-⸢mu⸣ [a-na EN.NUN]-ia a—dan-niš DI-⸢mu⸣ [a-na KUR.na-gi]-ie ša [KUR.ḫa-ma-te gab]-bu ⸢lib⸣-[bu ša LUGAL EN]-⸢ia⸣ ⸢lu⸣-[u DÙG.GA-ba],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Guard, District of Hamath",P334165,ABL 0224,SAA 1,173,Hamath,SAA01.08.02.a,,,,,,,,P334165.3.2.3 (TI; {1}10—ha-ti\t),TI,t,,,,t,tilted wedge(s),P334165.3.2.3,{1}10—ha-ti\t,ti,,Ch. 8,K 00586,,,,{1}10-ha-ti,qpn.r0001d,qpn.r0001d,Adda-hati[1]PN,Adda-hati,P334165.3.2,1,PN,1,PN,o 2,
Arihu,a-na mdPA—BÀD—PAB IM ma-ri-ḫi lu DI-mu a-na ⸢DUMU⸣,,ana PN/LÚ-* bēlīya (urdaka) PN,,,P334789,ABL 1201,SAA 1,220,Lower Habur Region,SAA01.11.01.a,,,,,,,,P334789.20.2.1 (BA; i-ba\t-aš₂-ši),BA,t,,,,t,tilted wedge(s),P334789.20.2.1,i-ba\t-aš₂-ši,ba,,Ch. 11,"81-2-4,051",,,,i-ba-aš₂-ši,akk.r00591,akk.r00590,bašû[exist]V,bašû,P334789.20.2,exist,V,exist,V,r.e. 9,
"Ariye, Ariṣa",a-na ⸢LÚv⸣.[IGI.DUB EN-ni] ARAD-ka ma-[ri-e] ma-ri-za-a [lu DI-mu] a-na LÚv.IGI.⸢DUB⸣ [EN-ni],,ana PN/LÚ-* bēlīya (urdaka) PN,,,P313542,CT 53 127,SAA 5,110,Kumme,SAA05.06.04.a,,,,,,,,P313542.5.2.0 (LU₂; {lu₂vy}IGI.⸢DUB⸣),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P313542.5.2.0,{lu₂vy}IGI.⸢DUB⸣,LU₂,,Ch. 6,Sm 1162,,,,{LU₂}IGI.DUB,akk.r0138a,akk.r01388,mašennu[(an administrator)]N,mašennu,P313542.5.2,(an administrator),N,treasurer,N,o 4,
Ašipa,[a-na LUGAL] EN-ia [ARAD-ka m]a-ši-pa-a ⸢lu⸣ DI-mu a-na LUGAL DI-mu a-na URU.bi-rat a-na KUR ša LUGAL EN-ía,17,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"forts, Land",P334347,ABL 0506,SAA 5,21,Tušhan,SAA05.02.01.a,,,,,,,,P334347.12.4.1 (BU; {uru}pu\p-lu-a),BU,p,,,,p,additional wedge(s),P334347.12.4.1,{uru}pu\p-lu-a,pu,,Ch. 2,K 00678,,,,{URU}pu-lu-a,qpn.r00431,qpn.r00430,Pulua[1]GN,Pulua,P334347.12.4,1,GN,1,GN,o 11,
Ašipa,[a-na LUGAL] EN-ia [ARAD-ka m]a-ši-pa-a ⸢lu⸣ DI-mu a-na LUGAL EN-ia a—dan-niš DI-mu a-na URU.bi-rat a-na KUR ša LUGAL EN-ía,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334347,ABL 0506,SAA 5,21,Tušhan,SAA05.02.01.a,,,,,,,,P334347.15.1.0 (BU; pu\p-uh-ru\d),BU,p,,,,p,additional wedge(s),P334347.15.1.0,pu\p-uh-ru\d,pu,,Ch. 2,K 00678,,,,pu-uh-ru,akk.r017c7,akk.r017c3,pahru[gathered]AJ,pahru,P334347.15.1,gathered,AJ,assembled,AJ,o 14,
Ašipa,[a-na] ⸢LUGAL⸣ [EN-ia] ⸢ARAD⸣-ka ma-ši-pa-[a] ⸢lu⸣ DI-mu a-na ⸢LUGAL⸣ EN-ia a—dan-[niš] DI-mu a-na URU.bi-[rat] a-na KUR ša LUGAL ⸢EN⸣-[ia],19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334351,ABL 0510,SAA 5,27,Tušhan,SAA05.02.01.a,,,,,,,,P334351.11.1.1 (AK; ša₂-ak\dt-na-ku-u-ni),AK,dt,,,Two of the horizontal wedges are diagonal wedges and the middle horizontal wedges overlap the final vertical wedge.,dt,"displaced wedge(s), tilted wedge(s)",P334351.11.1.1,ša₂-ak\dt-na-ku-u-ni,ak,Screen Shot 2018-06-06 at 08.47.25.png,Ch. 2,"81-7-27,035",,Word Medial,Complete,ša₂-ak-na-ku-u-ni,akk.r022c1,akk.r022b7,šaknu[placed]AJ,šaknu,P334351.11.1,placed,AJ,placed,AJ,o 10,
Ašipa,[a-na] LUGAL EN-ia ⸢ARAD⸣-ka ma-ši-pa-a ⸢lu⸣ DI-mu a-na LUGAL ⸢EN⸣-ia a—dan-niš ⸢DI⸣-mu a-na URU.bi-rat ⸢a⸣-na KUR ša LUGAL ⸢EN⸣-ia,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334350,ABL 0509,SAA 5,24,Tušhan,SAA05.02.01.a,,,,,,,,P334350.7.3.0 (ŠA; ša\dm),ŠA,dm,,,"There are three (rather than four) horizontal wedges and the Winkelhacken is low, placed at the middle horizontal wedge.",dm,"displaced wedge(s), missing wedge(s)",P334350.7.3.0,ša\dm,ša,P334350.7.3.0.png,Ch. 2,"81-2-4,123",,Isolate,Complete,ša,akk.r00a97,akk.r00a85,erēšu[sow]V,ša,P334350.7.3,of,DET,of,DET,o 6,
Ašipa,a-na ⸢LUGAL EN⸣-ia ARAD-ka ma-⸢ši⸣-pa-⸢a⸣ lu DI-mu ⸢a-na⸣ [LUGAL] EN-ia a—⸢dan-niš⸣ DI-mu a-na URU.bi-⸢rat⸣ a-na KUR ⸢ša⸣ LUGAL ⸢EN*⸣-[ia],19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334348,ABL 0507,SAA 5,25,Tušhan,SAA05.02.01.a,,,,,,,,P334348.23.2.1 (BU; gab-bu\p),BU,p,,,There are four (rather than three) wedges. ,p,additional wedge(s),P334348.23.2.1,gab-bu\p,bu,P334348.23.2.1.png,Ch. 2,K 01077,,Word Final,Complete,gab-bu,akk.r00b30,akk.r00b29,gabbu[totality]N,gabbu,P334348.23.2,totality,N,all,N,r 4',
