,sign_form,f,a,m,all_locs,count
25,ARAD,p,,,"P313421.3.1.0 (o 2),P313421.6.1.1 (o 5),P313474.25.2.0 (r 2'),P313504.3.1.0 (o 2),P313516.31.6.1 (o 29),P313516.34.8.1 (o 32),P313541.6.3.1 (o 4'),P313546.3.1.0 (o 2),P313587.14.4.0 (o 12),P313640.3.1.0 (o 2),P313814.66.7.1 (r 22),P313853.9.5.1 (o 7'),P313856.3.1.0 (o 2),P313922.3.1.0 (o 2),P314245.4.1.0 (o 3),P314257.3.1.0 (o 2),P314257.6.2.1 (o 5),P314302.3.1.0 (o 2),P334020.4.1.0 (o 3),P334222.3.1.0 (o 2),P334222.8.3.1 (o 7),P334258.3.1.0 (o 2),P334302.3.1.0 (o 2),P334361.3.1.0 (o 2),P334400.3.1.0 (o 2),P334612.3.1.0 (o 2),P334612.24.1.1 (r 9),P334921.3.1.0 (o 2)",28
26,A₂,d,,,"P314061.5.7.0 (o 3'),P314292.11.2.0 (r 1),P334598.19.1.0 (r 5),P334598.21.1.3 (r 7)",4
27,A₂,m,,,"P313474.16.2.1 (o 15),P313510.18.1.0 (o 24),P313822.10.1.4 (o 11),P313867.7.3.0 (o 5'),P313894.13.2.1 (r 1),P334143.33.3.0 (o 32)",6
28,A₂,p,,,"P314022.9.6.0 (o 7'),P314043.16.6.1 (r 2'),P334398.11.2.0 (o 10)",3
29,BA,d,,,"P334113.14.1.1 (o 13),P334586.21.2.1 (o 18),P334839.13.2.1 (o 12),X900010.21.4.2 (o 20)",4
30,BA,p,,,P334199.14.3.0 (o 13),1
31,BA,t,,,"P313417.32.3.2 (r 2),P313417.33.4.5 (r 3),P313417.48.3.1 (r 18),P313422.9.2.2 (o 8),P313444.12.11.0 (o 10'),P313448.22.2.1 (r 3),P313450.9.1.1 (o 8),P313452.5.2.2 (o 4),P313452.21.4.2 (o 20),P313452.40.1.1 (r 5),P313452.47.1.2 (r 12),P313452.59.4.2 (r 24),P313473.8.4.3 (o 7),P313487.15.2.1 (o 13'),P313498.8.2.2 (o 7),P313511.26.4.1 (r 15),P313539.19.5.1 (r 3),P313541.9.2.2 (o 7'),P313541.17.2.1 (o 15'),P313547.18.1.0 (o 16'),P313571.13.4.2 (o 11'),P313571.33.3.2 (r 10),P313578.4.2.0 (o 2'),P313610.9.1.1 (o 7'),P313620.30.5.2 (r 12),P313620.30.5.3 (r 12),P313626.23.2.1 (r 4),P313647.13.2.1 (o 12),P313660.24.1.1 (r 8),P313698.12.4.2 (o 11),P313738.5.3.1 (o 3'),P313785.10.6.2 (b.e. 7'),P313883.11.2.0 (o 10),P313895.14.8.0 (o 12'),P313917.5.1.2 (o 3'),P313980.15.6.1 (o 14),P314056.7.1.1 (b.e. 4'),P314061.13.7.2 (r 1'),P314231.5.1.3 (o 3'),P314242.6.1.2 (o 4'),P314243.2.5.1 (1'),P314272.5.1.1 (o 3'),P314280.10.2.2 (o 8'),P314281.7.1.3 (o 5'),P314281.17.3.1 (r 5'),P314281.18.2.1 (r 6'),P314288.11.7.1 (o 9'),P314288.12.8.1 (o 10'),P314289.21.1.1 (r 7'),P314311.10.3.1 (r 7'),P334044.15.1.2 (o 14),P334051.33.1.1 (r 12),P334055.8.3.3 (o 7),P334069.28.2.2 (r 5),P334071.8.4.2 (o 7),P334081.22.1.2 (r 7),P334103.16.2.2 (o 15),P334116.34.4.1 (r 10),P334124.17.1.1 (r 3),P334125.11.1.1 (o 10),P334136.12.1.3 (o 11),P334137.24.1.1 (r 6),P334141.17.1.1 (o 16),P334143.29.4.2 (o 28),P334143.33.4.2 (o 32),P334150.31.4.1 (r 11),P334152.24.1.1 (r 5),P334155.9.4.2 (o 8),P334155.10.1.3 (o 9),P334155.19.1.1 (o 18),P334158.14.3.2 (o 13),P334163.17.4.2 (o 16),P334163.27.3.2 (r 7),P334166.11.2.2 (o 10),P334178.36.1.1 (r 10'),P334180.8.3.0 (o 7),P334180.8.3.2 (o 7),P334204.5.2.2 (o 4),P334257.10.1.2 (o 9),P334257.12.1.3 (o 11),P334279.46.4.1 (r 18),P334291.41.2.3 (r 18),P334298.6.2.2 (o 5),P334298.27.2.1 (r 5),P334298.33.2.1 (r 11),P334302.19.3.1 (o 18),P334321.24.1.1 (r 9),P334333.23.1.2 (r 3'),P334333.26.4.2 (r 6'),P334333.34.2.3 (r 14'),P334355.30.1.0 (r 11),P334355.32.1.0 (r 13),P334386.32.1.1 (r 8),P334386.35.2.1 (r 11),P334388.9.2.1 (o 7'),P334390.46.9.2 (r 19'),P334394.9.1.1 (o 8),P334403.23.2.2 (r 8),P334412.7.3.0 (o 5'),P334413.6.2.1 (o 5),P334421.11.2.0 (o 9'),P334421.23.1.2 (r 6),P334443.9.2.2 (o 8),P334447.22.1.1 (r 4),P334502.25.6.1 (r 9'),P334519.24.6.1 (r.e. 12),P334555.33.2.1 (r 3),P334555.36.3.1 (r 6),P334564.10.3.1 (o 9),P334607.10.2.2 (o 9),P334607.38.2.2 (r 17),P334656.8.2.2 (o 7),P334668.10.1.1 (r 2),P334696.9.7.2 (o 7'),P334705.19.1.3 (b.e. 16'),P334710.4.3.1 (o 2'),P334710.24.6.0 (r 2),P334726.9.2.2 (o 8),P334726.23.2.1 (r 2),P334789.20.2.1 (r.e. 9),P334848.5.1.2 (o 3'),P334848.8.3.3 (o 6'),P334857.22.6.2 (r 4'),P334865.15.2.2 (o 13'),P334892.5.2.1 (o 4),P334892.16.1.0 (r 5'),P334894.19.2.1 (r 2'),P334910.28.3.1 (r 5),P334910.30.3.1 (r 7)",129
32,BA,td,,,"P314249.7.2.1 (o 5'),P334055.22.1.3 (r 8')",2
33,BA,y,,,"P313739.12.2.2 (o 11),P314327.11.2.2 (o 9'),P334116.9.6.3 (o 8),P334499.6.1.2 (o 5),P334830.45.2.2 (r 16),X900009.41.6.4 (r 13')",6
34,BAD,d,,,"P313478.2.3.0 (o 1),P313478.4.5.0 (o 3),P313478.5.6.0 (o 4)",3
