,sign_form,f,a,m,all_locs,count
266,RA,td,,,P313447.10.5.1 (o 9),1
267,RA,tdp,,,P334037.3.2.6 (o 2),1
268,RA,tp,,,"P334213.13.1.2 (o 12),P334213.17.3.2 (o 16),P334330.11.2.0 (o 10)",3
269,RA,y,,,"P313776.7.9.0 (o 5'),P313776.10.6.1 (o 8')",2
270,RA,yd,,,"P313427.26.2.1 (r 7),P334337.12.3.2 (r 3)",2
271,RA,yp,,,"P314026.6.1.3 (o 5),P334709.12.4.1 (r.e. 2)",2
272,RAB,d,,,P313779.16.2.1 (r 3),1
273,RAB,t,,,P334163.16.4.2 (o 15),1
274,RI,d,,,"P313425.13.4.1 (o 12),P313491.32.2.2 (r 5'),P313553.16.1.1 (o 14'),P313614.11.2.3 (o 9'),P313614.18.1.1 (r 1),P313643.14.6.1 (r 1),P313886.11.2.1 (r 7'),P313993.3.1.2 (o 1'),P314272.4.4.2 (o 2'),P334060.31.2.2 (r 10),P334257.3.2.3 (o 2),P334284.8.5.2 (o 7),P334284.30.1.2 (r 6),P334298.24.3.2 (r 2),P334328.24.5.3 (r 3),P334328.26.4.0 (r 5),P334335.5.3.3 (o 4),P334715.13.1.1 (o 12),P334715.15.1.2 (o 14),P334715.18.2.1 (o 17),P334727.9.4.1 (o 7'),P334772.9.4.2 (o 7'),P334830.14.1.1 (o 13'),P334830.24.1.2 (o 23'),P334848.4.1.2 (o 2'),P334918.20.2.0 (r 7')",26
275,RI,t,,,P334786.13.2.2 (o 12),1
276,RU,d,,,"P238649.7.5.1 (o 5'),P313444.4.8.1 (o 2'),P313444.22.1.3 (r 7'),P313452.61.4.2 (r 26),P313454.25.1.3 (r 8),P313500.10.1.3 (o 8'),P313511.23.1.3 (r 12),P313511.27.2.3 (r 16),P313541.37.3.1 (nolabel),P313575.30.1.3 (o 29),P313576.23.4.2 (r 7'),P313578.11.1.3 (b.e. 8'),P313601.9.2.3 (o 7'),P313612.8.6.2 (o 6'),P313619.14.5.0 (r 1'),P313619.15.3.2 (r 2'),P313619.19.4.1 (r 6'),P313620.9.7.2 (o 7'),P313620.28.6.2 (r 10),P313647.10.1.2 (o 9),P313647.11.5.2 (o 10),P313647.14.1.3 (o 13),P313653.18.2.1 (o 17),P313667.3.5.1 (o 1'),P313698.6.4.2 (o 5),P313701.4.3.1 (o 2'),P313759.3.5.1 (o 1'),P313774.9.7.2 (o 7'),P313785.8.6.2 (o 6'),P313911.10.2.2 (r 4'),P314014.8.1.2 (o 6'),P314039.10.1.1 (r 6'),P314227.9.5.3 (o 8),P314246.11.9.3 (o 9'),P314275.17.1.3 (r 1),P314288.5.9.1 (o 3'),P314288.6.9.2 (o 4'),P314288.25.7.3 (r 6'),P314290.13.2.1 (b.e. 10'),P314292.19.3.0 (r 9),P314296.26.5.0 (r.e. 10),P314301.11.5.2 (o 10),P314312.14.2.2 (o 12'),P314312.19.3.3 (b.e. 16'),P334046.15.5.1 (o 14),P334060.30.2.3 (r 9),P334069.11.1.1 (o 10),P334069.13.2.2 (o 12),P334071.9.1.1 (o 8),P334071.19.1.1 (o 18),P334071.24.3.2 (r 4),P334074.27.1.3 (r 9),P334076.26.3.1 (r 2'),P334076.37.1.3 (r 13'),P334076.37.2.1 (r 13'),P334077.7.1.3 (o 6),P334077.11.5.2 (o 10),P334077.36.5.0 (r 3),P334077.37.5.1 (r 4),P334097.10.2.3 (o 9),P334100.9.1.3 (o 8),P334100.11.4.1 (o 10),P334100.32.1.2 (r 7),P334104.42.1.2 (r 15'),P334104.45.2.2 (r 18'),P334119.44.2.3 (r 16),P334136.15.3.0 (o 14),P334141.18.1.3 (o 17),P334143.35.5.1 (b.e. 33),P334143.55.6.1 (r 17),P334163.8.4.1 (o 7),P334163.31.1.1 (r 11),P334163.35.3.1 (r 15),P334213.10.1.4 (o 9),P334256.10.1.2 (o 9),P334279.35.1.2 (r 7),P334312.8.1.4 (o 7),P334318.24.5.2 (r 7'),P334331.14.1.2 (o 13),P334344.38.2.2 (r 11),P334347.15.1.2 (o 14),P334347.42.1.1 (r 17),P334347.44.2.2 (r 19),P334348.21.2.1 (r 2'),P334355.14.1.2 (o 13),P334398.19.2.0 (r 4),P334446.27.2.3 (r 6),P334446.31.1.1 (r 10),P334555.38.3.3 (r 8),P334592.11.2.3 (o 9),P334606.26.1.3 (o 25),P334606.27.1.2 (o 26),P334609.17.1.3 (o 16),P334609.27.4.3 (r 6),P334663.5.4.1 (o 4),P334671.6.1.3 (o 4'),P334671.29.1.3 (r 8'),P334676.6.4.1 (o 5),P334676.12.1.3 (o 11),P334692.21.1.3 (r 4'),P334693.19.3.2 (r 4),P334695.30.1.3 (r 8'),P334695.32.1.3 (r 10'),P334708.35.3.3 (r 9),P334711.12.1.3 (r 8'),P334771.13.6.1 (o 11'),P334792.21.1.2 (r 4'),P334794.5.1.2 (o 4),P334804.7.2.2 (o 6),P334830.12.1.3 (o 11'),P334887.17.1.2 (r 4),P334917.27.2.2 (r 1),P334917.31.3.3 (r 5),P334918.17.2.3 (r 4'),P337151.21.3.0 (r 2),X900007.17.2.1 (o 16)",116
277,RU,dp,,,"P334037.6.1.1 (o 5),P334163.3.1.3 (o 2),P334163.7.1.4 (o 6),P334213.6.1.1 (o 5),P334328.6.2.1 (o 5),P334331.6.1.1 (o 5),P334331.7.3.2 (o 6),P334344.14.3.2 (o 13),P334344.35.3.3 (r 8),P334695.28.2.2 (r 6')",10
278,RU,dy,,,"P313753.5.1.2 (o 3'),P314260.4.6.3 (o 2'),P334536.9.4.1 (o 8)",3
279,RU,m,,,"P313510.58.2.1 (r 22),P313511.35.6.1 (e. 2),P314215.4.5.2 (o 2'),P337150.35.2.3 (r 13)",4
280,RU,p,,,"P314248.8.2.3 (r 4'),P334043.17.2.1 (r 1),P334079.6.4.1 (o 5),P334079.11.1.2 (o 10),P334081.19.2.0 (r 4),P334141.19.3.2 (o 18),X900009.15.4.1 (o 14)",7
281,RU,t,,,"P313425.7.4.1 (o 6),P334104.5.3.1 (o 4)",2
282,RU,y,,,"P334264.10.1.0 (o 9),P334264.10.1.1 (o 9)",2
283,SA,d,,,"P313643.15.7.1 (r 2),P314275.14.1.1 (b.e. 11')",2
284,SA,m,,,P334412.21.3.1 (r 4),1
285,SA,p,,,"P313699.12.2.3 (o 16),P314257.19.1.1 (r 6'),P334163.2.1.1 (o 1),P334163.6.4.2 (o 5),P334163.7.1.1 (o 6),P334210.6.2.4 (o 5),P334857.12.2.3 (o 11)",7
286,SAG,d,,,"P313626.6.3.1 (o 5),P313659.30.5.1 (r 9'),P314246.8.9.1 (o 6'),P334422.11.2.1 (o 9'),P334847.40.7.0 (r 6),P336171.7.1.0 (o 5')",6
287,SAG,t,,,"P224485.31.2.1 (o 30),P313452.21.3.0 (o 20),P313452.44.1.1 (r 9),P313452.67.1.1 (e. 2),P313458.7.1.1 (o 6),P313814.48.6.1 (r 4),P313840.9.4.1 (o 7'),P314155.4.3.3 (o 2'),P314207.13.1.1 (o 12),P314272.6.1.1 (o 4'),P314278.7.2.1 (o 5'),P314288.26.9.1 (r 7'),P314289.4.2.1 (o 2'),P334075.23.1.0 (r 9),P334344.17.5.1 (o 16),P334386.39.1.1 (r 15),P334887.16.1.1 (r 3)",17
288,SAG,td,,,"P313447.23.1.1 (r 4),P334346.11.3.1 (o 10),P334502.4.5.2 (o 3),P334683.25.1.2 (r 12'),P334705.22.1.1 (r 2),P334849.14.1.1 (o 12')",6
289,SAG,tt,,,P313547.15.3.1 (o 13'),1
290,SAR,m,,,"P224485.19.5.2 (o 18),P313425.9.4.3 (o 8),P313516.50.5.1 (r 9),P313516.53.6.1 (r 12),P313808.9.4.1 (o 7'),P334099.31.1.2 (r 8),P334113.12.1.2 (o 11),P334135.5.5.2 (o 4),P334135.13.4.2 (o 12),P334386.28.1.3 (r 4),P334401.5.2.1 (o 3'),P334435.16.2.2 (o 14'),P334739.7.1.2 (o 5')",13
291,SAR,p,,,"P313442.19.3.4 (r 4),P313632.19.1.1 (r 5),P313655.6.3.1 (o 4'),P313837.11.4.1 (b.e. 8'),P314294.27.6.1 (e. 1),P314316.14.2.0 (o 14),P334187.13.5.1 (o 12),P334187.32.2.1 (r 5),P334305.20.3.1 (b.e. 18),P334390.41.6.1 (r 14'),P334846.15.2.2 (o 14)",11
292,SI,d,,,"P313480.24.5.1 (nolabel),P313652.8.6.2 (o 6'),P313654.8.4.0 (o 6'),P313657.29.5.1 (r 11),P314289.10.1.1 (o 8')",5
293,SIG,d,,,"P313866.7.1.2 (o 5'),P314218.6.6.2 (o 4'),P334193.11.3.2 (o 10)",3
294,SIG₄,p,,,"P313889.7.5.0 (o 5'),P313924.13.4.0 (r 4),P334182.19.3.0 (r 6'),P334776.17.1.0 (o 15')",4
295,SIK₂,m,,,P334606.18.3.0 (o 17),1
296,SIK₂,t,,,P334296.10.2.0 (o 9),1
297,SILA₃,d,,,"P313417.13.4.1 (o 12),P313417.32.2.0 (r 2),P313417.33.5.0 (r 3),P313469.18.2.0 (r 4'),P313470.12.5.1 (o 11),P313470.17.7.1 (o 16),P313491.35.5.0 (r 8'),P313494.10.3.1 (o 9),P313551.12.3.0 (o 11),P313551.24.1.1 (r 10),P313560.5.4.3 (o 3'),P313571.35.3.3 (r 12),P313600.16.1.2 (r 5),P313614.15.2.0 (b.e. 12'),P313623.18.1.1 (r 2'),P313624.5.1.1 (o 3'),P313644.37.3.2 (r 7),P313644.46.5.2 (r 16),P313722.32.1.1 (r 13),P313738.9.1.1 (o 7'),P313808.8.1.1 (o 6'),P313815.19.4.1 (r 8'),P313835.16.2.0 (r 4'),P313848.3.5.1 (o 1'),P313924.11.4.0 (r 2),P313952.15.1.2 (r 2'),P314033.6.1.1 (o 4'),P314042.5.1.1 (o 3'),P314051.4.1.0 (o 2'),P314051.5.2.0 (o 3'),P314086.5.5.1 (o 3'),P314086.16.5.2 (r 5'),P314087.12.2.0 (o 9'),P314129.8.6.0 (o 6'),P314151.7.4.3 (o 5'),P314238.19.1.1 (r 6),P314266.8.9.1 (o 7),P314311.10.3.0 (r 7'),P314312.15.1.2 (o 13'),P314312.18.3.2 (b.e. 15'),P314327.11.2.1 (o 9'),P334049.18.1.0 (o 17),P334083.18.1.1 (r 5'),P334113.40.1.1 (r 15),P334113.41.2.0 (r 16),P334113.42.2.0 (r 17),P334113.47.4.1 (r.e. 21),P334200.30.1.0 (r 8'),P334200.36.2.0 (r 14'),P334279.61.2.0 (e. 4),P334298.23.4.1 (r 1),P334298.29.4.1 (r 7),P334314.14.1.3 (o 13),P334333.30.3.0 (r 10'),P334405.8.2.2 (o 6'),P334405.18.3.0 (r 3),P334499.16.1.2 (o 15),P334519.17.3.1 (r 6'),P334567.32.2.1 (r 13),P334673.27.2.0 (r 7'),P334698.20.1.2 (r 3'),P334705.28.1.0 (r 8),P334782.18.3.0 (r 2'),P334820.39.2.0 (r 13),P334864.6.3.3 (o 4'),X900006.6.3.2 (o 5)",66
298,SILA₃,dp,,,P334050.20.2.1 (o 19),1
299,SILA₃,t,,,P314287.8.6.2 (o 6'),1
300,SU,d,,,"P313937.9.1.2 (o 7'),P334298.32.5.2 (r 10),P334367.25.1.3 (r 8),P334367.29.2.3 (r 12),P334499.11.2.2 (o 10)",5
301,SU,dm,,,P334825.37.3.3 (r 10),1
302,SU,m,,,P313560.5.4.2 (o 3'),1
303,SU,p,,,P313458.7.1.3 (o 6),1
304,SU,t,,,"P313417.13.1.1 (o 12),P313420.33.1.1 (r 15'),P313425.49.5.1 (r 17),P313439.18.1.1 (o 17),P313453.7.5.1 (o 5'),P313462.47.4.1 (r 21'),P313470.8.1.2 (o 7),P313479.7.4.2 (o 6),P313492.33.2.0 (r 3),P313543.7.3.1 (o 5'),P313548.15.2.1 (o 13'),P313620.21.5.1 (r 3),P313655.4.5.1 (o 2'),P313699.13.2.3 (o 17),P313723.20.5.1 (r 4'),P313809.10.5.1 (o 7'),P313827.20.1.2 (r 6),P313878.13.1.1 (o 12),P313924.8.1.1 (o 6'),P314008.20.2.1 (r 8),P314086.5.5.0 (o 3'),P314086.16.5.0 (r 5'),P314241.14.2.2 (r 2'),P314251.8.6.2 (o 6'),P314260.5.4.1 (o 3'),P314281.5.2.1 (o 3'),P314281.14.1.1 (r 2'),P314288.25.7.1 (r 6'),P314289.18.1.1 (r 4'),P314304.23.7.2 (r 6),P334049.24.3.0 (r 4),P334049.34.1.1 (r 14),P334050.24.3.2 (r 3),P334050.28.2.1 (r 7),P334100.5.2.3 (o 4),P334100.7.2.4 (o 6),P334100.12.4.4 (o 11),P334100.14.1.3 (o 13),P334100.15.3.2 (o 14),P334100.19.2.4 (o 18),P334100.28.1.2 (r 3),P334100.29.1.4 (r 4),P334100.33.1.1 (r 8),P334100.35.1.1 (r 10),P334100.40.1.3 (r 15),P334100.42.1.4 (r 17),P334100.46.1.2 (r.e. 20),P334100.46.3.1 (r.e. 20),P334103.6.1.3 (o 5),P334116.34.1.1 (r 10),P334118.7.3.3 (o 6),P334136.13.1.1 (o 12),P334141.3.2.5 (o 2),P334143.3.2.4 (o 2),P334143.51.1.0 (r 13),P334150.9.1.3 (o 8),P334158.10.3.5 (o 9),P334163.15.1.1 (o 14),P334179.29.1.2 (r 4),P334180.23.5.2 (r 5),P334187.43.2.4 (r 16),P334193.10.3.2 (o 9),P334193.25.3.2 (r 4),P334298.29.1.1 (r 7),P334302.52.2.1 (e. 2),P334333.15.1.1 (o 14),P334343.10.1.2 (o 9),P334343.11.4.2 (o 10),P334343.17.2.3 (o 16),P334343.35.1.2 (r 14),P334344.37.4.2 (r 10),P334344.39.4.1 (r 12),P334348.26.1.3 (r 7'),P334355.25.1.1 (r 6),P334361.29.2.3 (r 12),P334386.18.2.0 (o 16'),P334388.27.3.2 (r 5),P334388.29.1.2 (r 7),P334390.47.6.3 (r 20'),P334394.13.1.1 (o 12),P334400.18.3.2 (r 4'),P334412.7.1.1 (o 5'),P334412.8.1.2 (o 6'),P334421.11.1.4 (o 9'),P334421.25.5.2 (r 8),P334432.24.1.0 (r 9),P334439.23.2.2 (r 6),P334483.52.1.1 (r 19),P334502.8.5.2 (o 7),P334502.20.2.2 (r 4'),P334502.32.3.2 (r.e. 15),P334504.26.1.1 (r 8'),P334519.2.5.4 (o 1),P334529.8.3.0 (o 7),P334555.41.3.0 (r 11),P334555.49.5.1 (r 18),P334564.6.1.2 (o 5),P334564.9.3.2 (o 8),P334595.23.5.2 (r 7),P334609.15.1.2 (o 14),P334609.18.4.2 (o 17),P334633.12.1.1 (r 3'),P334644.7.1.4 (o 5'),P334644.13.1.1 (o 11'),P334668.9.1.1 (r 1),P334683.27.1.3 (r.e. 13),P334692.28.4.1 (r 11'),P334693.16.4.3 (r 1),P334695.8.2.2 (o 6'),P334695.32.1.1 (r 10'),P334705.10.3.3 (o 8'),P334705.11.4.3 (o 9'),P334705.24.2.1 (r 4),P334710.6.1.3 (o 4'),P334771.13.6.2 (o 11'),P334837.22.5.1 (r 2),P334857.7.1.1 (o 6),P334858.24.3.1 (r 10'),P334894.10.1.1 (o 9),P334904.8.2.1 (o 7),P336772.5.4.1 (o 3'),X900005.34.2.1 (r 30),X900008.28.4.1 (r 25)",123
305,SU,td,,,P314249.25.3.0 (r 8),1
306,SU,y,,,"P313442.6.8.0 (o 4'),P313665.6.5.2 (o 4'),P313665.9.2.1 (o 7'),P334075.21.1.3 (r 7),P334075.23.1.1 (r 9),P334187.7.2.1 (o 6),P334187.33.4.4 (r 6),P334772.17.9.2 (o 15'),P334772.45.8.1 (r 18),P334896.7.4.1 (o 5'),X900008.6.2.1 (o 5),X900008.25.3.1 (r 22)",12
307,SUD,p,,,P313776.6.9.0 (o 4'),1
308,SUD,t,,,P334502.34.4.3 (r.e. 17),1
309,SUM,m,,,"P313450.17.2.0 (o 16),P313450.21.1.0 (o 20),P313476.37.1.0 (r 14),P313504.19.2.0 (o 18),P313516.12.1.0 (o 10),P313553.24.6.0 (o 22'),P313667.7.4.0 (b.e. 4'),P313802.23.3.0 (r 6),P313814.18.1.0 (o 17),P313814.30.9.0 (o 29),P313814.31.1.0 (o 30),P313814.32.2.0 (o 31),P313814.41.7.0 (b.e. 39),P313814.45.7.0 (r 1),P313814.51.5.0 (r 7),P313814.53.7.0 (r 9),P313814.58.2.0 (r 14),P313814.59.1.0 (r 15),P314265.8.6.0 (o 6'),P314280.8.4.0 (o 6'),P314293.10.5.5 (o 8'),P314313.12.2.0 (b.e. 9'),P314327.24.2.0 (r 8'),P334135.14.2.0 (o 13),P334279.46.2.2 (r 18),P334279.50.3.0 (r 22),P334284.26.2.3 (r 2),P334435.6.3.3 (o 4'),P334588.25.1.0 (r 8),P334612.18.2.0 (r 3),P334674.28.2.0 (r.e. 12),P334703.26.5.0 (r 4),P334703.27.3.0 (r 5),P334847.15.7.0 (o 14),P334847.37.9.0 (r 3),P334887.15.1.0 (r 2),P336166.5.1.2 (o 4),X900011.24.3.0 (r 22),X900011.36.1.0 (r 34)",39
310,SUM,p,,,"P313491.32.3.0 (r 5'),P313491.34.2.0 (r 7'),P313506.12.3.0 (o 10'),P313576.18.6.0 (r 2'),P313885.5.3.0 (o 3'),P313898.18.2.0 (r 3),P314232.7.2.0 (o 5'),P314268.5.4.0 (r 2'),P334090.29.3.0 (r 2),P334090.30.2.0 (r 3),P334119.15.3.0 (o 14),P334152.12.3.3 (o 11),P334152.16.2.3 (o 15),P334157.16.6.0 (r 3'),P334200.7.4.0 (o 6),P334200.27.3.2 (r 5'),P334381.21.1.0 (o 19'),P334381.33.4.0 (r 7),P334381.34.1.0 (r 8),P334381.43.2.0 (r 17),P334535.23.1.0 (r 6'),P334586.17.3.0 (o 14),P334586.18.2.0 (o 15),P334648.12.1.0 (r 7),P334671.5.2.0 (o 3'),P334772.34.8.0 (r 7)",26
311,SUM,pp,,,"P334143.46.1.0 (r 8),P334143.47.1.0 (r 9)",2
312,SUR,p,,,"P334568.10.3.1 (o 9),P334568.22.2.1 (r 8')",2
313,TA,,,v,"P224485.30.5.0 (o 29),P224485.38.1.0 (o 37),P224485.48.1.0 (r 46),P313425.11.1.0 (o 10),P313427.13.6.0 (o 12),P313434.14.2.0 (o 13),P313492.62.2.0 (e. 1),P313502.14.1.0 (o 12),P313523.6.4.0 (o 5),P313747.20.1.0 (r 6),P313747.22.3.0 (r 8),P313748.31.4.0 (r 11),P313750.9.5.0 (o 8),P313788.22.1.0 (r 10'),P313796.7.2.0 (o 5'),P313796.9.1.0 (o 7'),P313796.10.3.0 (o 8'),P313796.12.1.0 (o 10'),P313796.16.1.0 (b.e. 13'),P313796.19.2.0 (r 2),P313812.5.1.0 (o 3'),P313822.12.4.0 (o 13),P313822.23.2.0 (r 6'),P313822.25.2.0 (r 8'),P313915.6.3.0 (o 4'),P313945.6.1.0 (r 2'),P314000.4.2.0 (o 2'),P314245.6.2.0 (o 5),P314278.19.1.0 (r 5'),P314326.26.1.0 (r 9'),P334039.14.1.0 (o 13),P334045.10.1.0 (o 9),P334048.8.3.0 (o 7),P334056.20.4.0 (r 5'),P334077.51.4.0 (r 18),P334100.17.3.0 (o 16),P334103.19.1.0 (o 18),P334104.6.2.0 (o 5),P334114.36.3.0 (r 9),P334114.46.2.0 (r 19),P334116.31.2.0 (r 7),P334135.12.3.0 (o 11),P334143.54.2.0 (r 16),P334165.10.1.0 (o 9),P334166.12.1.0 (o 11),P334171.9.1.0 (o 8),P334174.5.1.0 (o 4),P334210.7.1.0 (o 6),P334263.40.2.0 (r 19'),P334318.18.1.0 (r 1'),P334322.25.3.0 (o 23),P334332.17.1.0 (o 16),P334375.14.1.0 (b.e. 12),P334496.10.4.0 (o 9),P334500.6.1.0 (o 5),P334543.13.3.0 (nolabel),P334596.12.1.0 (o 10'),P334596.16.1.0 (r 3),P334616.14.1.0 (r 2'),P334635.8.4.0 (o 7),P334638.7.1.0 (o 6),P334695.11.6.0 (o 9'),P334695.12.3.0 (o 10'),P334716.11.2.0 (o 10),P334718.4.1.0 (o 2'),P334773.15.1.0 (o 13'),P334779.9.2.0 (o 7'),P334781.15.4.0 (o 14),P334806.5.1.0 (o 4),P334807.14.1.0 (o 13),P334822.7.4.0 (r 3'),P334830.42.3.0 (r 13),P334864.4.4.0 (o 2'),P334887.19.1.0 (r 6),P334916.11.4.0 (o 10),P334916.14.4.0 (o 13),P334917.15.4.0 (o 13'),P334917.35.3.0 (r 9),P336635.5.3.0 (o 3'),X900012.5.6.0 (o 3'),X900012.20.7.0 (o 18')",81
314,TA,d,,,"P313417.16.1.1 (o 15),P313425.11.4.1 (o 10),P313425.13.1.1 (o 12),P313476.13.2.0 (o 12),P313476.16.1.2 (o 15),P313487.23.3.1 (o 21'),P313492.39.2.1 (r 9),P313514.13.2.0 (o 11'),P313516.49.6.0 (r 8),P313610.5.1.1 (o 3'),P313612.11.2.1 (o 9'),P313628.18.1.0 (r 2),P313887.7.1.1 (o 5'),P314296.11.6.1 (o 10),P334135.8.3.0 (o 7),P334135.22.1.0 (o 21),P334163.42.7.1 (e. 1),P334658.5.3.3 (o 4),X900005.17.4.1 (o 16)",19
315,TA,dm,,,P334606.11.1.1 (o 10),1
316,TA,dm,,v,"P313417.40.1.0 (r 10),P313607.4.2.0 (o 2'),P334136.5.1.0 (o 4),P334442.9.1.0 (o 7'),P334442.24.1.0 (r 5)",5
317,TA,dmy,,,P334606.9.5.0 (o 8),1
318,TA,dp,,,"P313417.10.2.2 (o 9),P313417.12.2.1 (o 11),P313779.8.1.2 (o 6'),P313887.5.1.2 (o 3')",4
319,TA,m,,,"P313420.29.2.0 (r 11'),P313422.21.3.1 (r 6'),P313450.30.1.0 (r 4),P313470.6.2.0 (o 5),P313470.11.2.0 (o 10),P313498.7.4.0 (o 6),P313498.21.2.0 (r 6'),P313498.28.3.0 (r 13'),P313721.19.4.0 (r 3),P313725.18.1.0 (r 5'),P313773.27.6.0 (r 11),P313823.5.4.1 (o 3'),P313871.16.1.1 (r 2),P313872.19.7.0 (r 5'),P313937.5.3.0 (o 3'),P314207.16.1.0 (o 15),P314242.5.1.0 (o 3'),P314289.20.1.0 (r 6'),P334036.26.3.0 (r 7),P334036.30.1.0 (r 11),P334076.19.2.0 (o 18),P334079.28.4.0 (r 4'),P334100.32.2.0 (r 7),P334111.12.1.0 (o 11),P334145.15.1.0 (r 1),P334177.13.3.0 (o 12),P334177.31.2.0 (r 10'),P334177.32.1.0 (r 11'),P334177.38.3.0 (r 17'),P334178.6.3.0 (o 5),P334178.8.3.0 (o 7),P334178.11.1.0 (o 10),P334179.10.3.0 (o 9),P334179.32.1.0 (r 7),P334263.46.5.0 (e. 1),P334372.18.1.0 (o 17),P334381.24.2.0 (b.e. 21'),P334381.30.1.0 (r 4),P334397.15.1.0 (r 6),P334400.6.1.0 (o 5),P334400.18.1.0 (r 4'),P334606.22.2.0 (o 21),P334692.11.3.0 (o 9'),P334692.21.2.0 (r 4'),P334904.12.2.0 (o 11),P334916.10.7.0 (o 9)",46
