,headword,xis_entry,form,xis_form,instances_all
1535,alpu[ox]N,akk.r0012b,GUD.NITA₂-MEŠ-šu₂-nu,akk.r00134,"saao/sargonletters:P334726.15.2,saao/sargonletters:P334726.29.2"
1536,alāku[go]V,akk.r00138,DU-MEŠ-ni,akk.r00139,"saao/sargonletters:P334695.14.5,saao/sargonletters:P334695.33.3"
1537,alāku[go]V,akk.r00138,DU-MEŠ-u-ni,akk.r0013a,saao/sargonletters:X900012.45.5
1538,alāku[go]V,akk.r00138,DU-a-ni,akk.r0013b,saao/sargonletters:P334222.32.1
1539,alāku[go]V,akk.r00138,DU-ak,akk.r0013c,saao/sargonletters:P334612.6.1
1540,alāku[go]V,akk.r00138,DU-an-ni,akk.r0013d,saao/sargonletters:P334143.55.4
1541,alāku[go]V,akk.r00138,DU-ka,akk.r0013e,"saao/sargonletters:P334040.33.1,saao/sargonletters:P334607.28.3"
1542,alāku[go]V,akk.r00138,DU-ku-ni,akk.r0013f,saao/sargonletters:X900015.34.1
1543,alāku[go]V,akk.r00138,DU-u-ni,akk.r00140,"saao/sargonletters:P313837.18.4,saao/sargonletters:P313904.12.4,saao/sargonletters:P334149.5.2,saao/sargonletters:P334149.8.1,saao/sargonletters:P334149.9.1,saao/sargonletters:P334607.38.1"
1544,alāku[go]V,akk.r00138,DU-u-ni-ni,akk.r00141,saao/sargonletters:P313450.19.1
1545,alāku[go]V,akk.r00138,DU-u₂-ni,akk.r00142,saao/sargonletters:P314316.28.1
1546,alāku[go]V,akk.r00138,a-la-ak,akk.r00143,saao/sargonletters:P313952.9.1
1547,alāku[go]V,akk.r00138,a-la-ku,akk.r00144,saao/sargonletters:P334104.12.1
1548,alāku[go]V,akk.r00138,a-lak-a-ni,akk.r00145,saao/sargonletters:P334307.6.1
1549,alāku[go]V,akk.r00138,a-li-ku-u-ni,akk.r00146,saao/sargonletters:P313575.39.5
1550,alāku[go]V,akk.r00138,a-lik,akk.r00147,"saao/sargonletters:P313450.33.2,saao/sargonletters:P313821.9.6,saao/sargonletters:P334050.25.8,saao/sargonletters:P334074.8.1,saao/sargonletters:P334076.10.2,saao/sargonletters:P334104.34.2,saao/sargonletters:P334113.26.2,saao/sargonletters:P334152.30.2,saao/sargonletters:P334179.11.3,saao/sargonletters:P334186.12.5,saao/sargonletters:P334186.19.5,saao/sargonletters:P334186.27.2,saao/sargonletters:P334195.19.3,saao/sargonletters:P334195.26.2,saao/sargonletters:P334200.9.1,saao/sargonletters:P334568.7.2,saao/sargonletters:P334847.12.6,saao/sargonletters:P334907.5.4,saao/sargonletters:P334916.9.4,saao/sargonletters:P336167.10.4"
1551,alāku[go]V,akk.r00138,a-lik-u-ni,akk.r00148,saao/sargonletters:P334892.19.1
1552,alāku[go]V,akk.r00138,a-ta-al-ka,akk.r00149,"saao/sargonletters:P334037.27.1,saao/sargonletters:P334136.7.1,saao/sargonletters:P334543.13.1,saao/sargonletters:P334588.12.1"
1553,alāku[go]V,akk.r00138,a-ta-la-ka,akk.r0014a,saao/sargonletters:P334715.16.4
1554,alāku[go]V,akk.r00138,a-ta-lak,akk.r0014b,"saao/sargonletters:P313454.13.3,saao/sargonletters:P313498.10.2,saao/sargonletters:P313646.24.1,saao/sargonletters:P334053.8.2,saao/sargonletters:P334646.14.2"
1555,alāku[go]V,akk.r00138,al-ka,akk.r0014c,"saao/sargonletters:P313444.10.7,saao/sargonletters:P313452.40.3,saao/sargonletters:P313470.10.2,saao/sargonletters:P313500.5.3,saao/sargonletters:P313660.23.2,saao/sargonletters:P313660.26.1,saao/sargonletters:P313750.14.5,saao/sargonletters:P334077.51.7,saao/sargonletters:P334113.27.2,saao/sargonletters:P334152.30.3,saao/sargonletters:P334178.7.2,saao/sargonletters:P334204.10.1,saao/sargonletters:P334333.12.2,saao/sargonletters:P334344.40.7,saao/sargonletters:P334586.9.9,saao/sargonletters:P334587.16.3,saao/sargonletters:P334903.18.5,saao/sargonletters:X900004.29.2"
1556,alāku[go]V,akk.r00138,al-ka-a-ni,akk.r0014d,"saao/sargonletters:P313491.5.2,saao/sargonletters:P334143.19.7,saao/sargonletters:P334422.15.2,saao/sargonletters:P334422.7.3,saao/sargonletters:P334731.11.3,saao/sargonletters:P334731.18.2"
1557,alāku[go]V,akk.r00138,al-ka-ni,akk.r0014e,"saao/sargonletters:P313442.9.2,saao/sargonletters:P313551.24.2,saao/sargonletters:P313660.25.3,saao/sargonletters:P313726.13.3,saao/sargonletters:P334692.26.6,saao/sargonletters:P334831.20.2"
1558,alāku[go]V,akk.r00138,al-la-ak,akk.r0014f,saao/sargonletters:P334543.12.2
1559,alāku[go]V,akk.r00138,al-la-ka,akk.r00150,"saao/sargonletters:P313434.16.1,saao/sargonletters:P313548.11.1,saao/sargonletters:P313814.31.6,saao/sargonletters:P313832.6.4,saao/sargonletters:P313832.8.8,saao/sargonletters:P334177.41.1,saao/sargonletters:P334186.28.2,saao/sargonletters:P334316.35.5,saao/sargonletters:P334369.37.1,saao/sargonletters:P334435.14.1,saao/sargonletters:P334568.21.2,saao/sargonletters:P334699.12.1,saao/sargonletters:P334791.3.4,saao/sargonletters:X900004.30.1"
1560,alāku[go]V,akk.r00138,al-la-kam-ma,akk.r00151,saao/sargonletters:P334114.43.1
1561,alāku[go]V,akk.r00138,al-la-ku-u-ni,akk.r00152,saao/sargonletters:P313472.53.1
1562,alāku[go]V,akk.r00138,al-lak,akk.r00153,"saao/sargonletters:P313434.12.3,saao/sargonletters:P313444.11.9,saao/sargonletters:P313721.27.6,saao/sargonletters:P313802.23.1,saao/sargonletters:P313802.24.1,saao/sargonletters:P313923.22.1,saao/sargonletters:P334036.29.2,saao/sargonletters:P334116.37.2,saao/sargonletters:P334137.12.1,saao/sargonletters:P334199.14.1,saao/sargonletters:P334200.16.2,saao/sargonletters:P334282.22.3,saao/sargonletters:P334372.24.3,saao/sargonletters:P334422.26.5,saao/sargonletters:P334561.19.2,saao/sargonletters:P334606.45.3"
1563,alāku[go]V,akk.r00138,al-lak-an-ni,akk.r00154,"saao/sargonletters:P224485.57.6,saao/sargonletters:P314232.29.4,saao/sargonletters:P334195.37.6,saao/sargonletters:P334344.11.4"
1564,alāku[go]V,akk.r00138,al-lak-u-ni,akk.r00155,"saao/sargonletters:P313667.10.1,saao/sargonletters:P334043.12.2"
1565,alāku[go]V,akk.r00138,al-li-kan-ni,akk.r00156,"saao/sargonletters:P313548.32.4,saao/sargonletters:P314000.5.1,saao/sargonletters:P334385.9.1"
1566,alāku[go]V,akk.r00138,al-lik,akk.r00157,saao/sargonletters:P334049.14.4
1567,alāku[go]V,akk.r00138,al-lik-an-ni,akk.r00158,"saao/sargonletters:P313655.6.4,saao/sargonletters:P334114.38.4,saao/sargonletters:P334446.23.1,saao/sargonletters:P334718.4.4"
1568,alāku[go]V,akk.r00138,al-lik-u-ni,akk.r00159,"saao/sargonletters:P313628.19.2,saao/sargonletters:P334077.8.5,saao/sargonletters:P334139.15.2,saao/sargonletters:P334695.10.3"
1569,alāku[go]V,akk.r00138,at-ta-al-ka,akk.r0015a,saao/sargonletters:P313437.16.1
1570,alāku[go]V,akk.r00138,at-ta-lak,akk.r0015b,"saao/sargonletters:P313420.34.1,saao/sargonletters:P313444.20.1,saao/sargonletters:P313509.25.1,saao/sargonletters:P313684.18.1,saao/sargonletters:P313773.24.4,saao/sargonletters:P313806.5.1,saao/sargonletters:P314000.7.1,saao/sargonletters:P334049.25.2,saao/sargonletters:P334074.8.2,saao/sargonletters:P334076.14.3,saao/sargonletters:P334084.33.1,saao/sargonletters:P334113.11.3,saao/sargonletters:P334116.32.3,saao/sargonletters:P334163.42.7,saao/sargonletters:P334333.13.4,saao/sargonletters:P334422.13.6"
1571,alāku[go]V,akk.r00138,at-tal-ka,akk.r0015c,"saao/sargonletters:P313420.31.1,saao/sargonletters:P313516.26.5,saao/sargonletters:P313625.15.1,saao/sargonletters:P314244.9.1,saao/sargonletters:P314304.14.5,saao/sargonletters:P334204.21.1,saao/sargonletters:P334718.33.1,saao/sargonletters:P334781.7.5,saao/sargonletters:P334837.27.1,saao/sargonletters:P334903.42.13"
1572,alāku[go]V,akk.r00138,e-lak,akk.r0015d,saao/sargonletters:P313667.3.6
1573,alāku[go]V,akk.r00138,i-la-ka,akk.r0015e,"saao/sargonletters:P334186.10.6,saao/sargonletters:P334200.13.1,saao/sargonletters:P334200.35.4,saao/sargonletters:P334321.21.1,saao/sargonletters:P334321.4.1,saao/sargonletters:P334607.31.5,saao/sargonletters:P336171.4.1,saao/sargonletters:P337151.7.2"
1574,alāku[go]V,akk.r00138,i-la-ku-ni-ni,akk.r0015f,saao/sargonletters:P313540.25.1
1575,alāku[go]V,akk.r00138,i-la-ku-u-ni,akk.r00160,"saao/sargonletters:P313425.42.2,saao/sargonletters:P313575.14.8,saao/sargonletters:P313575.37.1,saao/sargonletters:P313923.15.3,saao/sargonletters:P313993.5.2,saao/sargonletters:P334280.18.1,saao/sargonletters:P334607.43.1,saao/sargonletters:P334633.14.2,saao/sargonletters:P334782.25.1"
1576,alāku[go]V,akk.r00138,i-lak,akk.r00161,"saao/sargonletters:P313581.13.1,saao/sargonletters:P313587.16.1,saao/sargonletters:P334093.14.1,saao/sargonletters:P334280.15.1,saao/sargonletters:P334280.8.3,saao/sargonletters:P334705.26.3,saao/sargonletters:P334786.13.1"
1577,alāku[go]V,akk.r00138,i-lak-ka,akk.r00162,saao/sargonletters:P334179.30.2
1578,alāku[go]V,akk.r00138,i-lak-u-ni,akk.r00163,"saao/sargonletters:P334187.31.4,saao/sargonletters:P334361.26.1"
1579,alāku[go]V,akk.r00138,i-li-ka,akk.r00164,saao/sargonletters:P334145.16.2
1580,alāku[go]V,akk.r00138,i-li-kan-a-ni,akk.r00165,"saao/sargonletters:P334279.22.3,saao/sargonletters:P334279.9.1"
1581,alāku[go]V,akk.r00138,i-li-ki,akk.r00166,saao/sargonletters:P334200.28.5
1582,alāku[go]V,akk.r00138,i-li-ku-ni,akk.r00167,"saao/sargonletters:P313523.7.2,saao/sargonletters:P334069.29.1,saao/sargonletters:P334385.11.5,saao/sargonletters:P334385.18.4,saao/sargonletters:P334776.31.3,saao/sargonletters:P334830.7.4"
1583,alāku[go]V,akk.r00138,i-li-ku-ni-ni,akk.r00168,saao/sargonletters:P313739.13.1
1584,alāku[go]V,akk.r00138,i-li-ku-u₂-ni,akk.r00169,saao/sargonletters:P334830.21.7
1585,alāku[go]V,akk.r00138,i-lik-an-ni,akk.r0016a,saao/sargonletters:P334280.28.1
1586,alāku[go]V,akk.r00138,i-lik-ku-u-ni,akk.r0016b,saao/sargonletters:P334381.18.4
1587,alāku[go]V,akk.r00138,i-lik-u-ni-ni,akk.r0016c,saao/sargonletters:P334198.18.2
1588,alāku[go]V,akk.r00138,i-lu-ku,akk.r0016d,"saao/sargonletters:P313575.36.3,saao/sargonletters:P334411.9.2"
1589,alāku[go]V,akk.r00138,i-lu-ku-u-ni,akk.r0016e,saao/sargonletters:P313546.19.1
1590,alāku[go]V,akk.r00138,i-ta-al-ka,akk.r0016f,saao/sargonletters:P334036.28.1
1591,alāku[go]V,akk.r00138,i-ta-al-ku-u-ni,akk.r00170,"saao/sargonletters:P334367.21.1,saao/sargonletters:P334381.6.3"
1592,alāku[go]V,akk.r00138,i-ta-at-ku,akk.r00171,"saao/sargonletters:P313750.8.5,saao/sargonletters:P334084.12.2,saao/sargonletters:P334222.10.1"
1593,alāku[go]V,akk.r00138,i-ta-la-ak,akk.r00172,saao/sargonletters:P313858.4.2
1594,alāku[go]V,akk.r00138,i-ta-la-ka,akk.r00173,"saao/sargonletters:P313866.4.3,saao/sargonletters:P334705.6.1"
1595,alāku[go]V,akk.r00138,i-ta-lak,akk.r00174,"saao/sargonletters:P313546.22.1,saao/sargonletters:P313699.11.1,saao/sargonletters:P314294.16.1,saao/sargonletters:P334103.32.2,saao/sargonletters:P334202.12.1,saao/sargonletters:P334202.9.1,saao/sargonletters:P334279.14.3,saao/sargonletters:P334305.10.2,saao/sargonletters:P334375.12.1,saao/sargonletters:P334384.17.1,saao/sargonletters:P334410.12.2"
1596,alāku[go]V,akk.r00138,i-ta-ta-ka,akk.r00175,saao/sargonletters:P334281.32.1
1597,alāku[go]V,akk.r00138,i-ta-ta-ku,akk.r00176,saao/sargonletters:P313578.6.4
1598,alāku[go]V,akk.r00138,i-tal-ka,akk.r00177,"saao/sargonletters:P313425.13.4,saao/sargonletters:P313457.13.4,saao/sargonletters:P313560.15.7,saao/sargonletters:P313607.12.5,saao/sargonletters:P313614.18.1,saao/sargonletters:P313614.21.1,saao/sargonletters:P313626.30.1,saao/sargonletters:P313672.7.1,saao/sargonletters:P313782.3.1,saao/sargonletters:P313810.26.5,saao/sargonletters:P313937.7.2,saao/sargonletters:P313980.11.7,saao/sargonletters:P314273.7.1,saao/sargonletters:P314280.22.1,saao/sargonletters:P314288.10.7,saao/sargonletters:P314288.23.7,saao/sargonletters:P334039.13.1,saao/sargonletters:P334079.19.1,saao/sargonletters:P334080.13.1,saao/sargonletters:P334080.23.1,saao/sargonletters:P334090.18.1,saao/sargonletters:P334102.14.3,saao/sargonletters:P334111.6.3,saao/sargonletters:P334143.56.6,saao/sargonletters:P334202.12.3,saao/sargonletters:P334271.11.1,saao/sargonletters:P334284.36.1,saao/sargonletters:P334305.22.1,saao/sargonletters:P334355.24.2,saao/sargonletters:P334400.15.3,saao/sargonletters:P334411.6.1,saao/sargonletters:P334499.23.1,saao/sargonletters:P334499.29.3,saao/sargonletters:P334583.7.1,saao/sargonletters:P334612.9.1,saao/sargonletters:P334692.3.6,saao/sargonletters:P334698.11.4,saao/sargonletters:P334715.13.1,saao/sargonletters:P334715.9.1,saao/sargonletters:P334825.28.1,saao/sargonletters:P334825.31.1,saao/sargonletters:P334904.12.1,saao/sargonletters:P334904.14.4,saao/sargonletters:P334917.27.3,saao/sargonletters:X900005.13.2"
1599,alāku[go]V,akk.r00138,i-tal-ku,akk.r00178,"saao/sargonletters:P313420.21.1,saao/sargonletters:P313492.57.1,saao/sargonletters:P313575.45.3,saao/sargonletters:P314275.15.1,saao/sargonletters:P334257.16.3,saao/sargonletters:P334305.9.1,saao/sargonletters:P336166.16.3,saao/sargonletters:X900004.26.1"
1600,alāku[go]V,akk.r00138,i-tal-ku-ni,akk.r00179,"saao/sargonletters:P313425.56.1,saao/sargonletters:P313498.26.1,saao/sargonletters:P313622.15.6,saao/sargonletters:P313923.19.1,saao/sargonletters:P313940.7.1,saao/sargonletters:P334039.21.2,saao/sargonletters:P334069.37.3,saao/sargonletters:P334150.7.1,saao/sargonletters:P334198.32.2,saao/sargonletters:P334308.28.2,saao/sargonletters:P334396.22.1,saao/sargonletters:P334612.27.1,saao/sargonletters:X900011.30.4"
1601,alāku[go]V,akk.r00138,i-tal-ku-u-ni,akk.r0017a,"saao/sargonletters:P313492.54.1,saao/sargonletters:P314097.9.1,saao/sargonletters:P334111.17.1,saao/sargonletters:P334263.31.3,saao/sargonletters:P334263.37.1,saao/sargonletters:P334280.12.1,saao/sargonletters:P334355.9.1,saao/sargonletters:P334410.10.1,saao/sargonletters:P334708.14.1,saao/sargonletters:P334904.17.1"
1602,alāku[go]V,akk.r00138,i-tal-ku-u₂-ni,akk.r0017b,"saao/sargonletters:P334708.4.1,saao/sargonletters:P334825.47.3"
1603,alāku[go]V,akk.r00138,i-tal-lak,akk.r0017c,"saao/sargonletters:P313587.4.7,saao/sargonletters:P334092.34.1,saao/sargonletters:P334305.24.4,saao/sargonletters:P334308.24.1,saao/sargonletters:P334339.10.2,saao/sargonletters:P334339.8.1"
1604,alāku[go]V,akk.r00138,i-tal-lu-ku,akk.r0017d,saao/sargonletters:P334179.33.1
1605,alāku[go]V,akk.r00138,i-ṣal-ka,akk.r0017e,saao/sargonletters:P334783.13.1
1606,alāku[go]V,akk.r00138,il-la-ak,akk.r0017f,"saao/sargonletters:P313814.33.1,saao/sargonletters:P334044.9.3"
1607,alāku[go]V,akk.r00138,il-la-ka,akk.r00180,"saao/sargonletters:P313419.30.6,saao/sargonletters:P313477.45.5,saao/sargonletters:P313487.10.3,saao/sargonletters:P313491.33.4,saao/sargonletters:P313632.18.1,saao/sargonletters:P313721.25.5,saao/sargonletters:P313814.14.1,saao/sargonletters:P313814.24.7,saao/sargonletters:P313814.32.1,saao/sargonletters:P313814.46.5,saao/sargonletters:P313871.11.1,saao/sargonletters:P313895.15.9,saao/sargonletters:P314053.7.1,saao/sargonletters:P314275.22.2,saao/sargonletters:P314302.17.1,saao/sargonletters:P334044.18.4,saao/sargonletters:P334044.8.1,saao/sargonletters:P334143.46.4,saao/sargonletters:P334143.47.4,saao/sargonletters:P334177.38.1,saao/sargonletters:P334195.32.5,saao/sargonletters:P334271.25.1,saao/sargonletters:P334282.20.1,saao/sargonletters:P334483.19.4,saao/sargonletters:P334518.6.1,saao/sargonletters:P334543.10.4,saao/sargonletters:P334568.20.2,saao/sargonletters:P334671.5.5,saao/sargonletters:P334820.43.1,saao/sargonletters:P334837.13.5,saao/sargonletters:P334837.23.5,saao/sargonletters:P336169.7.1,saao/sargonletters:P393866.29.1,saao/sargonletters:X900014.49.3"
1608,alāku[go]V,akk.r00138,il-la-kan-ni,akk.r00181,"saao/sargonletters:P314039.12.1,saao/sargonletters:P334152.37.1,saao/sargonletters:P334193.17.1"
1609,alāku[go]V,akk.r00138,il-la-ku-ni,akk.r00182,"saao/sargonletters:P313491.15.4,saao/sargonletters:P313827.12.1,saao/sargonletters:P314151.16.4,saao/sargonletters:P314208.6.4,saao/sargonletters:P334104.11.4,saao/sargonletters:P334205.38.1,saao/sargonletters:P334377.8.1,saao/sargonletters:P334711.11.5,saao/sargonletters:P334731.14.4,saao/sargonletters:P334731.17.2"
1610,alāku[go]V,akk.r00138,il-la-ku-ni-ni,akk.r00183,saao/sargonletters:P334322.47.3
1611,alāku[go]V,akk.r00138,il-la-ku-nu,akk.r00184,saao/sargonletters:P334203.30.1
1612,alāku[go]V,akk.r00138,il-la-ku-u-ni,akk.r00185,"saao/sargonletters:P313419.26.3,saao/sargonletters:P313487.38.3,saao/sargonletters:P313507.40.5,saao/sargonletters:P313507.46.7,saao/sargonletters:P313827.17.2,saao/sargonletters:P313885.6.2,saao/sargonletters:P334071.14.2,saao/sargonletters:P334197.8.3,saao/sargonletters:P334369.20.3,saao/sargonletters:P334607.16.1,saao/sargonletters:P334664.28.1,saao/sargonletters:P334728.25.1"
1613,alāku[go]V,akk.r00138,il-lak,akk.r00186,"saao/sargonletters:P224485.67.4,saao/sargonletters:P313417.12.4,saao/sargonletters:P313420.29.1,saao/sargonletters:P313474.8.1,saao/sargonletters:P313504.17.4,saao/sargonletters:P313504.24.1,saao/sargonletters:P313552.29.3,saao/sargonletters:P313587.8.3,saao/sargonletters:P313652.6.4,saao/sargonletters:P313753.7.2,saao/sargonletters:P313774.8.6,saao/sargonletters:P313814.59.5,saao/sargonletters:P334055.18.5,saao/sargonletters:P334055.22.2,saao/sargonletters:P334104.20.2,saao/sargonletters:P334114.56.10,saao/sargonletters:P334143.10.6,saao/sargonletters:P334163.40.3,saao/sargonletters:P334256.22.1,saao/sargonletters:P334272.17.2,saao/sargonletters:P334322.26.4,saao/sargonletters:P334344.42.4,saao/sargonletters:P334497.10.1,saao/sargonletters:P334671.9.2,saao/sargonletters:P334705.10.4,saao/sargonletters:P334792.9.3,saao/sargonletters:P334905.6.4"
1614,alāku[go]V,akk.r00138,il-lak-a,akk.r00187,saao/sargonletters:P337151.17.1
1615,alāku[go]V,akk.r00138,il-lak-an-ni,akk.r00188,"saao/sargonletters:P313601.15.5,saao/sargonletters:X900004.7.3"
1616,alāku[go]V,akk.r00138,il-lak-ma,akk.r00189,saao/sargonletters:P334497.10.4
1617,alāku[go]V,akk.r00138,il-lak-ni,akk.r0018a,saao/sargonletters:P313817.25.6
1618,alāku[go]V,akk.r00138,il-lak-u-ni,akk.r0018b,"saao/sargonletters:P313612.30.1,saao/sargonletters:P313710.18.1,saao/sargonletters:P313738.8.5,saao/sargonletters:P313747.18.4,saao/sargonletters:P313778.6.5,saao/sargonletters:P313976.5.4,saao/sargonletters:P314128.8.1,saao/sargonletters:P314288.14.7,saao/sargonletters:P334049.22.1,saao/sargonletters:P334187.14.3,saao/sargonletters:P334187.37.3,saao/sargonletters:P334187.42.4,saao/sargonletters:P334586.28.1,saao/sargonletters:X900012.4.4"
1619,alāku[go]V,akk.r00138,il-lak-u-ni-ni,akk.r0018c,saao/sargonletters:P334595.15.1
1620,alāku[go]V,akk.r00138,il-lak-u₂-ni,akk.r0018d,"saao/sargonletters:P334435.20.1,saao/sargonletters:P334708.34.1,saao/sargonletters:X900004.14.2"
1621,alāku[go]V,akk.r00138,il-li-ka,akk.r0018e,"saao/sargonletters:P313452.11.3,saao/sargonletters:P313487.6.4,saao/sargonletters:P313822.7.2,saao/sargonletters:P314144.12.2,saao/sargonletters:P314274.16.5,saao/sargonletters:P314292.12.4,saao/sargonletters:P314304.11.7,saao/sargonletters:P334186.7.6,saao/sargonletters:P334223.24.2,saao/sargonletters:P334498.38.2,saao/sargonletters:P334543.31.1,saao/sargonletters:P334772.13.4,saao/sargonletters:P334792.12.2"
1622,alāku[go]V,akk.r00138,il-li-ka-ni,akk.r0018f,saao/sargonletters:P334622.6.3
1623,alāku[go]V,akk.r00138,il-li-kam-ma,akk.r00190,saao/sargonletters:P334727.18.3
1624,alāku[go]V,akk.r00138,il-li-kan-a-ni,akk.r00191,saao/sargonletters:P334186.7.4
1625,alāku[go]V,akk.r00138,il-li-kan-ni,akk.r00192,"saao/sargonletters:P313472.45.3,saao/sargonletters:P313477.11.1,saao/sargonletters:P313773.22.4,saao/sargonletters:P313844.9.2,saao/sargonletters:P334347.9.2,saao/sargonletters:P334507.7.5,saao/sargonletters:P334836.6.1,saao/sargonletters:P334917.9.1"
1626,alāku[go]V,akk.r00138,il-li-ku,akk.r00193,"saao/sargonletters:P334120.12.1,saao/sargonletters:P334179.13.2,saao/sargonletters:P334291.35.4,saao/sargonletters:P334381.20.1"
1627,alāku[go]V,akk.r00138,il-li-ku-na-ni,akk.r00194,saao/sargonletters:P334680.8.1
1628,alāku[go]V,akk.r00138,il-li-ku-ni,akk.r00195,"saao/sargonletters:P313547.9.6,saao/sargonletters:P313782.8.2,saao/sargonletters:P334422.10.5,saao/sargonletters:P334917.24.4,saao/sargonletters:X900009.13.5"
1629,alāku[go]V,akk.r00138,il-li-ku-ni-ni,akk.r00196,"saao/sargonletters:P313573.16.2,saao/sargonletters:P313594.7.1,saao/sargonletters:P313626.10.1,saao/sargonletters:P313665.8.2,saao/sargonletters:P313747.29.3,saao/sargonletters:P334039.15.1,saao/sargonletters:P334202.25.3,saao/sargonletters:P334205.15.1"
1630,alāku[go]V,akk.r00138,il-li-ku-u-ni,akk.r00197,"saao/sargonletters:P313498.16.1,saao/sargonletters:P313995.5.2,saao/sargonletters:P334037.15.2,saao/sargonletters:P334347.46.1,saao/sargonletters:P334369.19.3,saao/sargonletters:P334772.12.1,saao/sargonletters:P334917.11.1"
1631,alāku[go]V,akk.r00138,il-li-ku-u-ni-ni,akk.r00198,saao/sargonletters:P334386.17.2
1632,alāku[go]V,akk.r00138,il-lik,akk.r00199,saao/sargonletters:P313866.9.5
1633,alāku[go]V,akk.r00138,il-lik-an-ni,akk.r0019a,"saao/sargonletters:P313483.13.3,saao/sargonletters:P313747.23.1,saao/sargonletters:P313778.26.6,saao/sargonletters:P313814.54.7,saao/sargonletters:P334104.18.5,saao/sargonletters:P334142.17.7"
1634,alāku[go]V,akk.r00138,il-lik-ni-ni,akk.r0019b,saao/sargonletters:P334708.32.3
1635,alāku[go]V,akk.r00138,il-lik-u-ni,akk.r0019c,"saao/sargonletters:P313437.12.4,saao/sargonletters:P313507.24.6,saao/sargonletters:P313514.6.4,saao/sargonletters:P313515.13.2,saao/sargonletters:P313539.21.3,saao/sargonletters:P313543.16.4,saao/sargonletters:P313553.29.4,saao/sargonletters:P313559.31.3,saao/sargonletters:P313711.8.4,saao/sargonletters:P313729.6.5,saao/sargonletters:P313917.6.2,saao/sargonletters:P334092.10.4,saao/sargonletters:P334104.12.3,saao/sargonletters:P334115.15.2,saao/sargonletters:P334135.23.1,saao/sargonletters:P334142.42.4,saao/sargonletters:P334165.11.4,saao/sargonletters:P334187.14.5,saao/sargonletters:P334284.38.4,saao/sargonletters:P334344.19.1,saao/sargonletters:P334528.8.4,saao/sargonletters:P334903.13.5"
1636,alāku[go]V,akk.r00138,il-lik-u-ni-ni,akk.r0019d,"saao/sargonletters:P313513.12.7,saao/sargonletters:P334115.13.9,saao/sargonletters:P334187.35.2,saao/sargonletters:P334187.41.1,saao/sargonletters:P334501.6.2"
1637,alāku[go]V,akk.r00138,il-lik-u₂-ni,akk.r0019e,"saao/sargonletters:P224485.46.2,saao/sargonletters:P313417.41.1,saao/sargonletters:P334142.11.2,saao/sargonletters:P334721.8.4"
1638,alāku[go]V,akk.r00138,il-lu-ku,akk.r0019f,"saao/sargonletters:P313427.27.2,saao/sargonletters:P313502.13.2,saao/sargonletters:P313553.21.4,saao/sargonletters:P313714.6.1,saao/sargonletters:P313802.14.2,saao/sargonletters:P314232.8.5,saao/sargonletters:P334071.14.1,saao/sargonletters:P334092.35.2,saao/sargonletters:P334205.37.3,saao/sargonletters:P334344.47.1,saao/sargonletters:P334496.39.1,saao/sargonletters:P334497.11.1,saao/sargonletters:P334607.39.4,saao/sargonletters:P334644.12.1,saao/sargonletters:P334644.9.1,saao/sargonletters:P334721.19.4,saao/sargonletters:P334789.12.3,saao/sargonletters:P336776.8.2,saao/sargonletters:P337150.11.1,saao/sargonletters:X900012.25.10"
1639,alāku[go]V,akk.r00138,il-lu-ku-u-ni,akk.r001a0,saao/sargonletters:P313910.12.1
1640,alāku[go]V,akk.r00138,it-ta-al-ka,akk.r001a1,"saao/sargonletters:P313719.8.5,saao/sargonletters:P313973.6.1"
1641,alāku[go]V,akk.r00138,it-ta-al-ku,akk.r001a2,"saao/sargonletters:P313814.16.1,saao/sargonletters:P334331.11.1"
1642,alāku[go]V,akk.r00138,it-ta-al-ku-u-ni,akk.r001a3,saao/sargonletters:P334847.19.1
1643,alāku[go]V,akk.r00138,it-ta-at-lak,akk.r001a4,"saao/sargonletters:P313507.33.5,saao/sargonletters:P334143.41.4"
1644,alāku[go]V,akk.r00138,it-ta-la-ak,akk.r001a5,"saao/sargonletters:P313427.32.4,saao/sargonletters:P334114.53.1,saao/sargonletters:P334142.54.1"
1645,alāku[go]V,akk.r00138,it-ta-la-ka,akk.r001a6,"saao/sargonletters:P334186.20.4,saao/sargonletters:P334772.10.1"
