,headword,xis_entry,form,xis_form,instances_all
40,Adinni[1]GN,qpn.r0002f,{URU}a-di-ni,qpn.r0002f,saao/sargonletters:P334202.23.6
41,Ahat-abiša[1]PN,qpn.r00030,{MI₂}NIN-AD-ša₂,qpn.r00030,saao/sargonletters:P334142.59.3
42,Ahhešaya[1]PN,qpn.r00031,{1}ah-he-ša₂-a.a,qpn.r00031,saao/sargonletters:P313769.14.2
43,Ahhutun[1]PN,qpn.r00032,{1}a-hu-tu-un,qpn.r00032,saao/sargonletters:P334783.27.1
44,Ahi-yaqar[1]PN,qpn.r00033,{1}PAB-ia-qar,qpn.r00033,saao/sargonletters:P334731.8.1
45,Ahu-bani[1]PN,qpn.r00034,{1}PAB-ba-ni,qpn.r00034,saao/sargonletters:P334537.5.1
46,Ahu-illika[1]PN,qpn.r00035,{1}PAB-DU-ka,qpn.r00035,saao/sargonletters:P334567.15.2
47,Ahu-leʾi[1]PN,qpn.r00036,{1}PAB-le-e,qpn.r00036,"saao/sargonletters:P334695.14.2,saao/sargonletters:P334695.38.1"
48,Ahu-lurši[1]PN,qpn.r00037,{1}PAB-TUKU-ši,qpn.r00038,saao/sargonletters:P334113.32.2
49,Ahu-lurši[1]PN,qpn.r00037,{1}ŠEŠ-lu-ur-ši,qpn.r00039,"saao/sargonletters:P334586.5.2,saao/sargonletters:P334587.4.2"
50,Ahu-nuri[1]PN,qpn.r0003a,{1}PAB-ZALAG₂,qpn.r0003a,saao/sargonletters:P334421.7.3
51,Aira[1]GN,qpn.r0003b,{URU}a-i-ra,qpn.r0003b,saao/sargonletters:P337150.18.3
52,Akburu[1]PN,qpn.r0003c,{1}ak-bur,qpn.r0003c,saao/sargonletters:P334214.9.1
53,Akkadayu[1]PN,qpn.r0003d,{1}ak-ka-da-a.a,qpn.r0003d,saao/sargonletters:P334861.6.3
54,Akkuddu[1]GN,qpn.r0003e,{URU}ak-ku-du,qpn.r0003f,saao/sargonletters:P314301.9.5
55,Akkuddu[1]GN,qpn.r0003e,{URU}ak-ku-du-ma,qpn.r00040,saao/sargonletters:P314301.7.2
56,Al-Aššur[Assur]GN,qpn.r00041,URU-aš-šur,qpn.r00041,saao/sargonletters:P334332.15.4
57,Al-šukkalli[1]GN,qpn.r00042,URU-{LU₂}SUKKAL,qpn.r00042,saao/sargonletters:P314084.8.5
58,Alamu[1]GN,qpn.r00043,{URU}a-la-mu,qpn.r00043,saao/sargonletters:P334613.6.2
59,Alu-ša-tamkari[Merchant Town]GN,qpn.r00044,URU-ša₂-{LU₂}DAM.QAR,qpn.r00044,saao/sargonletters:P334397.17.3
60,Alzi[1]GN,qpn.r00045,{KUR}al-zi,qpn.r00045,saao/sargonletters:P334308.11.2
61,Alzunu[1]GN,qpn.r00046,{KUR}al-zu-nu,qpn.r00046,saao/sargonletters:P313472.18.7
62,Amakani[1]PN,qpn.r00047,{1}a-ma-ka-ni,qpn.r00047,saao/sargonletters:P334917.20.3
63,Amantu[1]GN,qpn.r00048,{URU}am-an-te,qpn.r00048,saao/sargonletters:P336167.9.2
64,Amar-ili[1]PN,qpn.r00049,{1}a-mar-DINGIR,qpn.r00049,"saao/sargonletters:P334124.3.2,saao/sargonletters:P334212.3.2,saao/sargonletters:P334444.3.2,saao/sargonletters:P334774.3.2"
65,Amat-Bel-uṣur[1]PN,qpn.r0004a,{1}a-mat-EN-PAB,qpn.r0004a,saao/sargonletters:P334155.15.1
66,Amiru[1]PN,qpn.r0004b,{1}a-me-ri,qpn.r0004c,"saao/sargonletters:P313425.10.4,saao/sargonletters:P334284.34.3"
67,Amiru[1]PN,qpn.r0004b,{1}a-mi-ri,qpn.r0004d,saao/sargonletters:X900005.5.2
68,Ammi-leti[1]PN,qpn.r00051,{1}a-mi-li-iʾ-ti,qpn.r00051,"saao/sargonletters:P313425.10.2,saao/sargonletters:P313614.12.1,saao/sargonletters:P334284.34.1"
69,Ammi-raʾi[1]PN,qpn.r00052,{1}am-ra-i,qpn.r00052,saao/sargonletters:P313607.11.4
70,Ammi-yataʾ[1]PN,qpn.r00053,{1}am-ia-ta-aʾ,qpn.r00053,"saao/sargonletters:P334386.11.2,saao/sargonletters:P334386.26.4,saao/sargonletters:P334386.42.2,saao/sargonletters:P334386.6.1"
71,Ampihabi[1]GN,qpn.r00054,{KUR}am-pi-ha-a-bi,qpn.r00054,saao/sargonletters:P334564.7.2
72,Amqarrunaya[Ekronite]EN,qpn.r00055,{KUR}an-qar-ru-na-a.a,qpn.r00055,saao/sargonletters:X900014.46.1
73,Anat[1]GN,qpn.r00056,{URU}ana-te,qpn.r00056,saao/sargonletters:P334692.19.4
74,Andia[1]GN,qpn.r00057,{KUR}an-di-a,qpn.r00057,saao/sargonletters:P313548.7.2
75,Andiaya[Andian]EN,qpn.r00058,{KUR}an-di-a.a,qpn.r00058,"saao/sargonletters:P313537.5.4,saao/sargonletters:P334321.17.1,saao/sargonletters:P334321.3.2,saao/sargonletters:P334355.6.3"
76,Anisu[1]GN,qpn.r00059,{URU}a-ni-su,qpn.r00059,"saao/sargonletters:P334118.7.3,saao/sargonletters:P334118.9.3,saao/sargonletters:P334612.26.3,saao/sargonletters:P334612.7.3"
77,Anu-ereš[1]PN,qpn.r0005a,{1}{d}a-nu-APIN-eš,qpn.r0005a,saao/sargonletters:P334155.18.1
78,Anu[1]DN,qpn.r0005b,{d}a-num,qpn.r0005b,saao/sargonletters:P334055.6.2
79,Apalla[1]GN,qpn.r0005c,{URU}ap-al-la-a,qpn.r0005c,saao/sargonletters:P334583.15.2
80,Aparu[1]GN,qpn.r0005d,{URU}a-pa-ri,qpn.r0005d,saao/sargonletters:P313766.7.3
81,Apku[1]GN,qpn.r0005e,{URU}ap-ku,qpn.r0005e,"saao/sargonletters:P313766.2.4,saao/sargonletters:P334621.11.3"
82,Aplaya[1]PN,qpn.r0005f,{1}DUMU.UŠ-a.a,qpn.r00060,"saao/sargonletters:P313617.16.5,saao/sargonletters:P313617.5.2"
83,Aplaya[1]PN,qpn.r0005f,{1}DUMU.UŠ-ia,qpn.r00061,"saao/sargonletters:P224485.68.2,saao/sargonletters:P334211.3.2"
84,Appa[1]PN,qpn.r00062,{1}ap-pa-a,qpn.r00062,saao/sargonletters:P334214.14.2
85,Appina[1]GN,qpn.r00063,{URU}ap-pi-na,qpn.r00063,"saao/sargonletters:P334223.13.2,saao/sargonletters:P334223.5.2"
86,Aqaba[1]PN,qpn.r00064,{1}a-qa-ba,qpn.r00064,saao/sargonletters:P334163.2.2
87,Aradataya[1]EN,qpn.r00065,{LU₂}a-ra-da-ta-a-a,qpn.r00065,saao/sargonletters:P313747.27.2
88,Arahsamnu[Marchesvan]MN,qpn.r00066,{ITI}APIN,qpn.r00066,"saao/sargonletters:P334157.9.8,saao/sargonletters:P334223.18.5,saao/sargonletters:P334314.12.3"
89,Arazaya[Arazean]EN,qpn.r00067,{URU}a-ra-za-a.a,qpn.r00067,saao/sargonletters:P314088.4.6
90,Araši[1]GN,qpn.r00068,{KUR}a-ra-ši,qpn.r00068,saao/sargonletters:P334115.9.5
91,Arbail[Arbela]GN,qpn.r00069,{URU}arba-il₃,qpn.r00069,"saao/sargonletters:P313474.40.2,saao/sargonletters:P313523.8.5,saao/sargonletters:P313546.21.3,saao/sargonletters:P313748.26.5,saao/sargonletters:P313748.6.3,saao/sargonletters:P314049.7.4,saao/sargonletters:P314227.17.5,saao/sargonletters:P334124.8.2,saao/sargonletters:P334160.11.3,saao/sargonletters:P334555.29.4,saao/sargonletters:P334588.30.2,saao/sargonletters:P334613.10.4,saao/sargonletters:P334773.12.3,saao/sargonletters:P334825.17.5"
92,Arbailayu[1]PN,qpn.r0006a,{1}arba-il₃-a.a,qpn.r0006b,"saao/sargonletters:P334049.29.1,saao/sargonletters:P334049.9.2"
93,Arbailayu[1]PN,qpn.r0006a,{1}{URU}arba-il₃-a.a,qpn.r0006c,"saao/sargonletters:P334279.13.3,saao/sargonletters:P334279.6.2"
94,Arbaya[Arab]EN,qpn.r0006d,{KUR}ar-pa-a.a,qpn.r0006e,"saao/sargonletters:P334372.32.4,saao/sargonletters:P334372.6.3"
95,Arbaya[Arab]EN,qpn.r0006d,{KUR}ar₂-pa-a.a,qpn.r0006f,saao/sargonletters:P334037.20.1
96,Arbaya[Arab]EN,qpn.r0006d,{LU₂}ar-ba-a.a,qpn.r00070,"saao/sargonletters:P313425.24.1,saao/sargonletters:P313425.31.2,saao/sargonletters:P313425.34.3,saao/sargonletters:P313425.41.2,saao/sargonletters:P313425.6.1,saao/sargonletters:P334165.13.2,saao/sargonletters:P334284.31.3,saao/sargonletters:P334643.7.1"
97,Arbayu[1]PN,qpn.r00072,{1}ar₂-ba-a.a,qpn.r00072,saao/sargonletters:P334443.9.2
98,Argada[1]GN,qpn.r00073,{URU}ar-ga-da,qpn.r00073,saao/sargonletters:P334400.6.3
99,Argisti[1]RN,qpn.r00074,{1}ar-gi-is-ta,qpn.r00074,saao/sargonletters:P334291.16.4
100,Argistiani[1]GN,qpn.r00075,{URU}ir-gi-is-ti-a-ni,qpn.r00075,"saao/sargonletters:P313711.7.2,saao/sargonletters:P334528.7.2"
101,Argite[1]GN,qpn.r00076,{URU}ar-gi-te,qpn.r00076,"saao/sargonletters:P334284.15.3,saao/sargonletters:X900007.24.2"
102,Arhi[1]GN,qpn.r00077,{URU}ar-hi,qpn.r00077,saao/sargonletters:P334060.44.2
103,Ariawate[1]GN,qpn.r00078,{URU}ar-ia-u-a-te,qpn.r00078,"saao/sargonletters:P313571.25.5,saao/sargonletters:P313571.32.5"
104,Ariaza[1]PN,qpn.r00079,{1}a-ri-a-za-a,qpn.r0007a,"saao/sargonletters:P313585.6.3,saao/sargonletters:P337150.7.5"
105,Ariaza[1]PN,qpn.r00079,{1}a-ri-ia-za-a,qpn.r0007b,saao/sargonletters:P334688.17.3
106,Ariaza[1]PN,qpn.r00079,{1}a-ri-za-a,qpn.r0007c,"saao/sargonletters:P313542.4.1,saao/sargonletters:P313587.26.3,saao/sargonletters:P334093.9.2,saao/sargonletters:P334786.12.1"
107,Ariaza[1]PN,qpn.r00079,{1}u₂-ri-za-a,qpn.r0007d,"saao/sargonletters:P313529.17.3,saao/sargonletters:P334337.6.3"
108,Aridu[1]GN,qpn.r0007f,{URU}a-ri-di,qpn.r0007f,saao/sargonletters:P313417.31.5
109,Arihu[1]PN,qpn.r00080,{1}a-ri-hi,qpn.r00080,"saao/sargonletters:P314272.4.4,saao/sargonletters:P334789.3.2"
110,Ariye[1]PN,qpn.r00081,{1}a-ri-e,qpn.r00082,"saao/sargonletters:P313457.11.1,saao/sargonletters:P313513.5.4,saao/sargonletters:P313542.3.2,saao/sargonletters:P313550.3.1,saao/sargonletters:P313585.4.3,saao/sargonletters:P313587.25.4,saao/sargonletters:P313711.8.1,saao/sargonletters:P313905.16.3,saao/sargonletters:P334050.16.1,saao/sargonletters:P334050.22.4,saao/sargonletters:P334093.9.1,saao/sargonletters:P334337.5.3,saao/sargonletters:P334528.8.1,saao/sargonletters:P334786.13.2,saao/sargonletters:P337150.9.5"
111,Ariye[1]PN,qpn.r00081,{1}a-ri-ia-e,qpn.r00083,saao/sargonletters:P334688.3.6
112,Ariye[1]PN,qpn.r00081,{1}ar-ie-e,qpn.r00084,"saao/sargonletters:P334143.11.3,saao/sargonletters:P334143.23.4"
113,Armaya[Aramean]EN,qpn.r00085,{LU₂}ar₂-ma-a-a,qpn.r00085,saao/sargonletters:X900009.22.5
114,Armiraliu[1]GN,qpn.r00086,{KUR}ar₂-mir-a-li-u,qpn.r00086,saao/sargonletters:P334308.12.2
115,Arpadda[Arpad]GN,qpn.r00087,{URU}ar-pad-da,qpn.r00088,"saao/sargonletters:P313453.18.4,saao/sargonletters:P334807.13.2"
116,Arpadda[Arpad]GN,qpn.r00087,{URU}ar-pad-du,qpn.r00089,saao/sargonletters:P314001.3.2
117,Arpadda[Arpad]GN,qpn.r00087,{URU}ar₂-pad-da,qpn.r0008a,"saao/sargonletters:P314282.4.4,saao/sargonletters:P334830.17.2"
118,Arpaddaya[from Arpad]EN,qpn.r0008c,{URU}ar-pad-da-a.a,qpn.r0008c,saao/sargonletters:P313915.6.4
119,Arrakdi[1]GN,qpn.r0008d,{URU}a-ra-ak-di,qpn.r0008d,"saao/sargonletters:P334279.21.4,saao/sargonletters:P334279.37.1"
120,Arranu[1]GN,qpn.r0008e,{URU}ar₂-ra-nu,qpn.r0008e,"saao/sargonletters:P334343.12.2,saao/sargonletters:P334343.15.3"
121,Arrapha[1]GN,qpn.r0008f,arrap-ha{KI},qpn.r00090,saao/sargonletters:P334100.17.2
