,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
33,senderloc,allpair,"['NI:..', 'NI:.d.', 'šu', 'šu₂']",4,60,0.17529411764705882,0.16941176470588235,0.0058823529411764774,1.0347222222222223
34,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'šu', 'šu₂']",6,60,0.19294117647058823,0.17647058823529413,0.016470588235294098,1.0933333333333333
35,senderloc,allpair,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'šu', 'šu₂']",4,60,0.17411764705882352,0.16705882352941176,0.007058823529411756,1.0422535211267605
36,senderloc,allpair,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'šu', 'šu₂']",6,60,0.1988235294117647,0.16941176470588235,0.02941176470588236,1.1736111111111112
37,senderloc,allpair,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'šu', 'šu₂']",6,60,0.18235294117647058,0.17176470588235293,0.010588235294117648,1.0616438356164384
38,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'šu', 'šu₂']",8,60,0.19411764705882353,0.16588235294117648,0.028235294117647053,1.1702127659574468
39,senderloc,allpair,"['ia', 'ia₂', 'šu', 'šu₂']",4,60,0.2011764705882353,0.16588235294117648,0.03529411764705881,1.2127659574468084
40,senderloc,allpair,"['NA:..', 'NA:.t.', 'ia', 'ia₂', 'šu', 'šu₂']",6,60,0.21176470588235294,0.18588235294117647,0.025882352941176467,1.139240506329114
41,senderloc,allpair,"['NI:..', 'NI:.d.', 'ia', 'ia₂', 'šu', 'šu₂']",6,60,0.18823529411764706,0.1623529411764706,0.025882352941176467,1.1594202898550725
42,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'ia', 'ia₂', 'šu', 'šu₂']",8,60,0.21529411764705883,0.17529411764705882,0.04000000000000001,1.2281879194630874
43,senderloc,allpair,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂', 'šu', 'šu₂']",6,60,0.19647058823529412,0.17529411764705882,0.021176470588235297,1.1208053691275168
44,senderloc,allpair,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂', 'šu', 'šu₂']",8,60,0.21411764705882352,0.17176470588235293,0.04235294117647059,1.2465753424657535
45,senderloc,allpair,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂', 'šu', 'šu₂']",8,60,0.1976470588235294,0.17176470588235293,0.025882352941176467,1.1506849315068493
46,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂', 'šu', 'šu₂']",10,60,0.20941176470588235,0.17058823529411765,0.0388235294117647,1.2275862068965517
47,senderloc,allpair,"['ša', 'ša₂', 'šu', 'šu₂']",4,60,0.18352941176470589,0.16823529411764707,0.01529411764705882,1.0909090909090908
48,senderloc,allpair,"['NA:..', 'NA:.t.', 'ša', 'ša₂', 'šu', 'šu₂']",6,60,0.2,0.16823529411764707,0.031764705882352945,1.1888111888111887
49,senderloc,allpair,"['NI:..', 'NI:.d.', 'ša', 'ša₂', 'šu', 'šu₂']",6,60,0.18,0.17529411764705882,0.004705882352941171,1.0268456375838926
50,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'ša', 'ša₂', 'šu', 'šu₂']",8,60,0.1988235294117647,0.17411764705882352,0.02470588235294119,1.1418918918918919
51,senderloc,allpair,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ša', 'ša₂', 'šu', 'šu₂']",6,60,0.18352941176470589,0.1776470588235294,0.0058823529411764774,1.033112582781457
52,senderloc,allpair,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ša', 'ša₂', 'šu', 'šu₂']",8,60,0.1952941176470588,0.18235294117647058,0.012941176470588234,1.070967741935484
53,senderloc,allpair,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ša', 'ša₂', 'šu', 'šu₂']",8,60,0.18588235294117647,0.18,0.0058823529411764774,1.0326797385620916
