senderloc,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
Naṣibina,11.0,3.0,28.0,0.0,11.0,5.0,18.0,2.0,19.0,1.0,28.0,4.0,54.0,3.0,88.0,4.0,9.0,1.0,13.0,7.0,36.0,2.0,42.0,6.0,11.0,5.0,31.0,5.0,21.0,26.0,33.0,8.0,51.0,49.0,9.0,10.0,19.0,44.0,25.0,0.0,22.0,1.0,4.0,6.0,21.0,4.0,10.0,1.0,1.0,36.0,17.0,1.0,9.0,0.0,4.0,2.0
Nineveh,2.0,0.0,12.0,0.0,4.0,0.0,18.0,1.0,5.0,0.0,5.0,2.0,31.0,0.0,47.0,0.0,3.0,1.0,4.0,1.0,16.0,0.0,24.0,1.0,14.0,0.0,17.0,9.0,4.0,21.0,21.0,11.0,2.0,13.0,4.0,4.0,17.0,18.0,8.0,0.0,6.0,5.0,0.0,1.0,4.0,4.0,6.0,5.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,5.0
Northeastern Assyria,14.0,3.0,42.0,4.0,13.0,12.0,42.0,7.0,18.0,11.0,43.0,27.0,91.0,10.0,200.0,7.0,5.0,3.0,13.0,16.0,42.0,5.0,71.0,20.0,50.0,21.0,93.0,12.0,39.0,50.0,137.0,12.0,31.0,68.0,31.0,27.0,67.0,61.0,28.0,4.0,41.0,15.0,15.0,13.0,23.0,9.0,20.0,5.0,4.0,50.0,49.0,10.0,3.0,8.0,25.0,2.0
Northern Babylonia,12.0,12.0,22.0,9.0,23.0,12.0,30.0,3.0,11.0,11.0,43.0,9.0,82.0,2.0,151.0,6.0,5.0,6.0,15.0,6.0,30.0,15.0,27.0,14.0,30.0,0.0,47.0,19.0,22.0,51.0,78.0,6.0,26.0,88.0,11.0,8.0,45.0,53.0,25.0,2.0,7.0,12.0,2.0,19.0,12.0,3.0,10.0,8.0,0.0,76.0,22.0,3.0,4.0,10.0,11.0,0.0
Parsua,7.0,0.0,6.0,0.0,2.0,2.0,3.0,0.0,10.0,2.0,5.0,15.0,22.0,5.0,50.0,4.0,2.0,0.0,2.0,5.0,12.0,0.0,10.0,8.0,7.0,0.0,15.0,5.0,13.0,12.0,22.0,1.0,7.0,13.0,2.0,9.0,16.0,16.0,2.0,1.0,4.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,9.0,5.0,1.0,2.0,1.0,3.0,1.0
"Parsua, Bit-Hamban, or Bit-Sangibuti",7.0,3.0,6.0,2.0,3.0,4.0,3.0,0.0,1.0,1.0,3.0,3.0,13.0,5.0,27.0,2.0,1.0,1.0,2.0,5.0,7.0,7.0,9.0,9.0,0.0,3.0,3.0,4.0,2.0,3.0,13.0,12.0,10.0,18.0,8.0,2.0,12.0,17.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,2.0,2.0,0.0,3.0,17.0,4.0,0.0,1.0,1.0,1.0,0.0
Qunbuna,1.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,6.0,5.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,1.0,4.0,13.0,0.0,4.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Rab Šaqê Province,9.0,2.0,26.0,2.0,16.0,4.0,21.0,0.0,6.0,1.0,5.0,7.0,69.0,0.0,155.0,5.0,6.0,2.0,4.0,15.0,18.0,10.0,43.0,5.0,21.0,3.0,71.0,0.0,21.0,48.0,60.0,17.0,16.0,71.0,8.0,18.0,68.0,41.0,28.0,1.0,21.0,18.0,4.0,9.0,23.0,2.0,8.0,12.0,1.0,36.0,19.0,0.0,3.0,6.0,11.0,8.0
Raṣappa,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,13.0,0.0,14.0,0.0,42.0,0.0,0.0,14.0,1.0,5.0,10.0,0.0,4.0,1.0,2.0,2.0,1.0,16.0,3.0,22.0,14.0,0.0,7.0,14.0,0.0,4.0,8.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,4.0,0.0
Royal Court,59.0,21.0,113.0,11.0,68.0,18.0,92.0,29.0,49.0,18.0,204.0,11.0,335.0,40.0,569.0,51.0,39.0,17.0,51.0,58.0,173.0,35.0,206.0,59.0,180.0,18.0,199.0,1.0,70.0,84.0,424.0,52.0,89.0,227.0,94.0,107.0,152.0,240.0,51.0,10.0,81.0,33.0,39.0,28.0,93.0,6.0,84.0,7.0,7.0,217.0,94.0,9.0,11.0,9.0,47.0,30.0
