	group	group_len	purity
66	['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.']	4	0.19858989424206816
67	['NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']	4	0.20211515863689777
68	['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']	4	0.19623971797884843
69	['NA:..', 'NA:.t.', 'ŠA:..', 'ŠA:.dm.']	4	0.2009400705052879
70	['NA:..', 'NA:.t.', 'ia', 'ia₂']	4	0.20329024676850763
71	['NA:..', 'NA:.t.', 'li', 'li₂']	4	0.20681551116333724
72	['NA:..', 'NA:.t.', 'ša', 'ša₂']	4	0.19623971797884843
73	['NA:..', 'NA:.t.', 'šu', 'šu₂']	4	0.1891891891891892
74	['NA:..', 'NA:.t.', 'u', 'u₂']	4	0.20329024676850763
75	['NA:..', 'NA:.t.', 'bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	4	0.20329024676850763
76	['NA:..', 'NA:.t.', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	4	0.21151586368977673
77	['NA:..', 'NA:.t.', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']	4	0.19741480611045828
78	['NA:..', 'NA:.t.', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']	4	0.209165687426557
79	['NA:..', 'NA:.t.', 'šulmu[completeness]N:šulmu:DI-mu', 'šulmu[completeness]N:šulmu:šul-mu']	4	0.22326674500587543
80	['NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']	4	0.19388954171562867
81	['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']	4	0.18566392479435959
82	['NI:..', 'NI:.d.', 'ŠA:..', 'ŠA:.dm.']	4	0.1927144535840188
83	['NI:..', 'NI:.d.', 'ia', 'ia₂']	4	0.2009400705052879
84	['NI:..', 'NI:.d.', 'li', 'li₂']	4	0.2044653349001175
85	['NI:..', 'NI:.d.', 'ša', 'ša₂']	4	0.19506462984723855
86	['NI:..', 'NI:.d.', 'šu', 'šu₂']	4	0.18683901292596944
87	['NI:..', 'NI:.d.', 'u', 'u₂']	4	0.19858989424206816
88	['NI:..', 'NI:.d.', 'bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	4	0.2056404230317274
89	['NI:..', 'NI:.d.', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	4	0.209165687426557
90	['NI:..', 'NI:.d.', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']	4	0.18566392479435959
91	['NI:..', 'NI:.d.', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']	4	0.19623971797884843
92	['NI:..', 'NI:.d.', 'šulmu[completeness]N:šulmu:DI-mu', 'šulmu[completeness]N:šulmu:šul-mu']	4	0.21739130434782608
93	['RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']	4	0.17508813160987075
94	['RU:..', 'RU:.d.', 'ŠA:..', 'ŠA:.dm.']	4	0.19153936545240893
95	['RU:..', 'RU:.d.', 'ia', 'ia₂']	4	0.1927144535840188
96	['RU:..', 'RU:.d.', 'li', 'li₂']	4	0.1891891891891892
97	['RU:..', 'RU:.d.', 'ša', 'ša₂']	4	0.19153936545240893
