,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
34,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'RU:..', 'RU:.d.']",6,161,0.1808622502628812,0.15772870662460567,0.023133543638275522,1.1466666666666667
35,dossier,paleo,"['LI:..', 'LI:.d.', 'RU:..', 'RU:.d.']",4,161,0.1366982124079916,0.12197686645636173,0.014721345951629869,1.120689655172414
36,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.']",6,161,0.17665615141955837,0.1587802313354364,0.017875920084121977,1.1125827814569536
37,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.']",6,161,0.1882229232386961,0.17455310199789695,0.013669821240799157,1.0783132530120483
38,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.']",8,161,0.24079915878023134,0.22292323869610936,0.017875920084121977,1.080188679245283
39,dossier,paleo,"['NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",4,161,0.17034700315457413,0.15247108307045215,0.017875920084121977,1.1172413793103448
40,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",6,161,0.21240799158780233,0.19453207150368035,0.017875920084121977,1.0918918918918918
41,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",6,161,0.22082018927444794,0.19137749737118823,0.02944269190325971,1.1538461538461537
42,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",8,161,0.2555205047318612,0.231335436382755,0.02418506834910622,1.1045454545454547
43,dossier,paleo,"['LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",6,161,0.23449001051524712,0.21451104100946372,0.0199789695057834,1.093137254901961
44,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",8,161,0.2513144058885384,0.23449001051524712,0.01682439537329125,1.0717488789237668
45,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",8,161,0.2555205047318612,0.23764458464773922,0.017875920084122005,1.0752212389380533
46,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.']",10,161,0.24815983175604628,0.22712933753943218,0.0210304942166141,1.0925925925925926
47,dossier,paleo,"['NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",4,161,0.17245005257623555,0.1587802313354364,0.013669821240799157,1.086092715231788
48,dossier,paleo,"['BU:..', 'BU:.p.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",6,161,0.21766561514195584,0.20189274447949526,0.01577287066246058,1.078125
49,dossier,paleo,"['DI:..', 'DI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",6,161,0.21871713985278654,0.20609884332281808,0.012618296529968459,1.0612244897959184
50,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.25236593059936907,0.22923238696109358,0.023133543638275494,1.1009174311926606
51,dossier,paleo,"['LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",6,161,0.21556256572029442,0.20189274447949526,0.013669821240799157,1.0677083333333333
52,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.24710830704521555,0.2302839116719243,0.01682439537329125,1.0730593607305936
53,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.25236593059936907,0.23554153522607782,0.01682439537329125,1.0714285714285714
54,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",10,161,0.2502628811777077,0.22607781282860148,0.024185068349106192,1.1069767441860465
55,dossier,paleo,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",6,161,0.2513144058885384,0.24185068349106204,0.009463722397476337,1.0391304347826087
56,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.2502628811777077,0.24079915878023134,0.009463722397476337,1.039301310043668
57,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.25341745531019977,0.23764458464773922,0.015772870662460553,1.0663716814159292
58,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",10,161,0.24290220820189273,0.21766561514195584,0.02523659305993689,1.115942028985507
59,dossier,paleo,"['LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",8,161,0.2513144058885384,0.231335436382755,0.019978969505783373,1.0863636363636362
60,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",10,161,0.24710830704521555,0.24290220820189273,0.00420609884332282,1.0173160173160174
61,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",10,161,0.2513144058885384,0.22607781282860148,0.02523659305993689,1.111627906976744
62,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'RU:..', 'RU:.d.']",12,161,0.24605678233438485,0.2302839116719243,0.015772870662460553,1.0684931506849313
63,dossier,paleo,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",2,161,0.12828601472134596,0.11777076761303891,0.01051524710830705,1.0892857142857144
64,dossier,paleo,"['BU:..', 'BU:.p.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.16824395373291273,0.15352260778128285,0.014721345951629883,1.0958904109589043
65,dossier,paleo,"['DI:..', 'DI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.17455310199789695,0.1598317560462671,0.014721345951629855,1.0921052631578947
66,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.22712933753943218,0.20609884332281808,0.0210304942166141,1.1020408163265307
67,dossier,paleo,"['LI:..', 'LI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.1661409043112513,0.15141955835962145,0.014721345951629855,1.097222222222222
68,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.22502628811777076,0.20399579390115669,0.02103049421661407,1.1030927835051545
69,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2323869610935857,0.22607781282860148,0.006309148264984216,1.027906976744186
