ancient_author,aš,aš₂,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,Sin[1]DN:Sin:30,Sin[1]DN:Sin:{d}30,ana[to]PRP:ana:a-na,ana[to]PRP:ana:ana,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:NU,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,u[and]CNJ:u:u,u[and]CNJ:u:u₃,ša[of]DET:ša:ša,ša[of]DET:ša:ša₂,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu,šarru[king]N:šarru:LUGAL,šarru[king]N:šarru:MAN
Nabu-šuma-iškun,0.0,3.0,0.0,2.0,0.0,2.0,1.0,23.0,5.0,25.0,2.0,3.0,22.0,13.0,23.0,4.0,3.0,14.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,19.0,0.0,0.0,8.0,0.0
Nabu-šuma-lišir to the Queen Mother,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Nabu-šumu-iddina of Nineveh,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Nabu-šumu-iddina of Nineveh to the Palace Scribe,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
Nabu’a of Assur,3.0,0.0,26.0,1.0,0.0,13.0,30.0,9.0,0.0,0.0,18.0,1.0,25.0,5.0,0.0,20.0,30.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,11.0,15.0,29.0,0.0,0.0,0.0,1.0,0.0
Nadinu,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
Naṣiru,0.0,0.0,4.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
Nergal-eṭir,2.0,14.0,15.0,1.0,12.0,5.0,1.0,80.0,14.0,75.0,16.0,5.0,21.0,54.0,82.0,17.0,17.0,28.0,25.0,0.0,4.0,7.0,0.0,0.0,2.0,1.0,19.0,27.0,0.0,58.0,2.0,2.0,20.0,0.0
Nergal-šumu-iddina,0.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
Ninurta-aha-iddin,0.0,0.0,2.0,8.0,2.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Rašil,2.0,0.0,3.0,5.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0
Rašil (no title),0.0,1.0,3.0,0.0,1.0,3.0,1.0,13.0,4.0,16.0,2.0,2.0,5.0,8.0,10.0,0.0,3.0,5.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0
Rašil the Older,1.0,6.0,14.0,0.0,6.0,15.0,8.0,83.0,13.0,57.0,8.0,6.0,41.0,36.0,42.0,2.0,16.0,18.0,15.0,6.0,6.0,1.0,10.0,0.0,3.0,0.0,22.0,3.0,3.0,64.0,1.0,0.0,8.0,0.0
"Rašil, Son of Nurzanu",0.0,3.0,0.0,1.0,2.0,1.0,0.0,11.0,3.0,6.0,2.0,2.0,3.0,8.0,6.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,6.0,0.0,1.0,2.0,0.0
Rimutu,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
Tabni,2.0,1.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
The Scribes of Kilizi,0.0,0.0,1.0,0.0,1.0,3.0,6.0,2.0,1.0,0.0,3.0,2.0,6.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0
Urad-Dagana,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Urad-Ea,0.0,2.0,14.0,16.0,5.0,14.0,9.0,6.0,2.0,9.0,3.0,1.0,21.0,9.0,3.0,10.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0,12.0,0.0,8.0,2.0,7.0,0.0,3.0,0.0
Urad-Gula,2.0,19.0,39.0,6.0,28.0,29.0,52.0,19.0,15.0,59.0,22.0,7.0,44.0,53.0,0.0,0.0,42.0,0.0,13.0,6.0,19.0,0.0,0.0,8.0,7.0,0.0,2.0,41.0,33.0,4.0,5.0,0.0,27.0,0.0
Urad-Nanaya,6.0,10.0,54.0,1.0,22.0,20.0,71.0,18.0,20.0,49.0,6.0,18.0,64.0,49.0,0.0,0.0,66.0,0.0,4.0,8.0,14.0,0.0,14.0,2.0,18.0,1.0,14.0,6.0,43.0,7.0,7.0,15.0,29.0,0.0
Zakir,0.0,4.0,3.0,13.0,12.0,0.0,2.0,51.0,4.0,49.0,10.0,11.0,19.0,39.0,22.0,1.0,15.0,22.0,4.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,19.0,6.0,1.0,34.0,2.0,0.0,17.0,0.0
[...]i to the Crown Prince,1.0,3.0,13.0,0.0,2.0,9.0,2.0,22.0,8.0,15.0,7.0,2.0,10.0,13.0,0.0,0.0,10.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,14.0,1.0,0.0,2.0,0.0
Šapiku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Šapiku of Borsippa,0.0,2.0,0.0,0.0,1.0,1.0,0.0,21.0,1.0,14.0,2.0,0.0,4.0,5.0,7.0,0.0,3.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0
Šuma-iddin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Šumaya,0.0,1.0,2.0,0.0,1.0,2.0,9.0,10.0,16.0,7.0,0.0,1.0,9.0,15.0,11.0,1.0,5.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,8.0,6.0,0.0,1.0,3.0,0.0
Šumaya or Bamaya,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,3.0,1.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Ṭab-ṣilli-Marduk,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,2.0,5.0,4.0,4.0,1.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
Ṭabiya,0.0,2.0,10.0,0.0,3.0,2.0,0.0,12.0,3.0,9.0,2.0,3.0,5.0,9.0,10.0,3.0,4.0,5.0,1.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0
