,headword,xis_entry,instances_all
32,Ahat-abiša[1]PN,qpn.r00030,saao/sargonletters:P334142.59.3 ({MI₂}NIN-AD-ša₂)
33,Ahhešaya[1]PN,qpn.r00031,saao/sargonletters:P313769.14.2 ({1}ah-he-ša₂-a.a)
34,Ahhutun[1]PN,qpn.r00032,saao/sargonletters:P334783.27.1 ({1}a-hu-tu-un)
35,Ahi-yaqar[1]PN,qpn.r00033,saao/sargonletters:P334731.8.1 ({1}PAB-ia-qar)
36,Ahu-bani[1]PN,qpn.r00034,saao/sargonletters:P334537.5.1 ({1}PAB-ba-ni)
37,Ahu-illika[1]PN,qpn.r00035,saao/sargonletters:P334567.15.2 ({1}PAB-DU-ka)
38,Ahu-leʾi[1]PN,qpn.r00036,"saao/sargonletters:P334695.14.2 ({1}PAB-le-e),saao/sargonletters:P334695.38.1 ({1}PAB-le-e)"
39,Ahu-lurši[1]PN,qpn.r00037,"saao/sargonletters:P334113.32.2 ({1}PAB-TUKU-ši),saao/sargonletters:P334586.5.2 ({1}ŠEŠ-lu-ur-ši),saao/sargonletters:P334587.4.2 ({1}ŠEŠ-lu-ur-ši)"
40,Ahu-nuri[1]PN,qpn.r0003a,saao/sargonletters:P334421.7.3 ({1}PAB-ZALAG₂)
41,Aira[1]GN,qpn.r0003b,saao/sargonletters:P337150.18.3 ({URU}a-i-ra)
42,Akburu[1]PN,qpn.r0003c,saao/sargonletters:P334214.9.1 ({1}ak-bur)
43,Akkadayu[1]PN,qpn.r0003d,saao/sargonletters:P334861.6.3 ({1}ak-ka-da-a.a)
44,Akkuddu[1]GN,qpn.r0003e,"saao/sargonletters:P314301.9.5 ({URU}ak-ku-du),saao/sargonletters:P314301.7.2 ({URU}ak-ku-du-ma)"
45,Al-Aššur[Assur]GN,qpn.r00041,saao/sargonletters:P334332.15.4 (URU-aš-šur)
46,Al-šukkalli[1]GN,qpn.r00042,saao/sargonletters:P314084.8.5 (URU-{LU₂}SUKKAL)
47,Alamu[1]GN,qpn.r00043,saao/sargonletters:P334613.6.2 ({URU}a-la-mu)
48,Alu-ša-tamkari[Merchant Town]GN,qpn.r00044,saao/sargonletters:P334397.17.3 (URU-ša₂-{LU₂}DAM.QAR)
49,Alzi[1]GN,qpn.r00045,saao/sargonletters:P334308.11.2 ({KUR}al-zi)
50,Alzunu[1]GN,qpn.r00046,saao/sargonletters:P313472.18.7 ({KUR}al-zu-nu)
51,Amakani[1]PN,qpn.r00047,saao/sargonletters:P334917.20.3 ({1}a-ma-ka-ni)
52,Amantu[1]GN,qpn.r00048,saao/sargonletters:P336167.9.2 ({URU}am-an-te)
53,Amar-ili[1]PN,qpn.r00049,"saao/sargonletters:P334124.3.2 ({1}a-mar-DINGIR),saao/sargonletters:P334212.3.2 ({1}a-mar-DINGIR),saao/sargonletters:P334444.3.2 ({1}a-mar-DINGIR),saao/sargonletters:P334774.3.2 ({1}a-mar-DINGIR)"
54,Amat-Bel-uṣur[1]PN,qpn.r0004a,saao/sargonletters:P334155.15.1 ({1}a-mat-EN-PAB)
55,Amiru[1]PN,qpn.r0004b,"saao/sargonletters:P313425.10.4 ({1}a-me-ri),saao/sargonletters:P334284.34.3 ({1}a-me-ri),saao/sargonletters:X900005.5.2 ({1}a-mi-ri)"
56,Ammi-leti[1]PN,qpn.r00051,"saao/sargonletters:P313425.10.2 ({1}a-mi-li-iʾ-ti),saao/sargonletters:P313614.12.1 ({1}a-mi-li-iʾ-ti),saao/sargonletters:P334284.34.1 ({1}a-mi-li-iʾ-ti)"
57,Ammi-raʾi[1]PN,qpn.r00052,saao/sargonletters:P313607.11.4 ({1}am-ra-i)
58,Ammi-yataʾ[1]PN,qpn.r00053,"saao/sargonletters:P334386.11.2 ({1}am-ia-ta-aʾ),saao/sargonletters:P334386.26.4 ({1}am-ia-ta-aʾ),saao/sargonletters:P334386.42.2 ({1}am-ia-ta-aʾ),saao/sargonletters:P334386.6.1 ({1}am-ia-ta-aʾ)"
59,Ampihabi[1]GN,qpn.r00054,saao/sargonletters:P334564.7.2 ({KUR}am-pi-ha-a-bi)
60,Amqarrunaya[Ekronite]EN,qpn.r00055,saao/sargonletters:X900014.46.1 ({KUR}an-qar-ru-na-a.a)
61,Anat[1]GN,qpn.r00056,saao/sargonletters:P334692.19.4 ({URU}ana-te)
62,Andia[1]GN,qpn.r00057,saao/sargonletters:P313548.7.2 ({KUR}an-di-a)
63,Andiaya[Andian]EN,qpn.r00058,"saao/sargonletters:P313537.5.4 ({KUR}an-di-a.a),saao/sargonletters:P334321.17.1 ({KUR}an-di-a.a),saao/sargonletters:P334321.3.2 ({KUR}an-di-a.a),saao/sargonletters:P334355.6.3 ({KUR}an-di-a.a)"
64,Anisu[1]GN,qpn.r00059,"saao/sargonletters:P334118.7.3 ({URU}a-ni-su),saao/sargonletters:P334118.9.3 ({URU}a-ni-su),saao/sargonletters:P334612.26.3 ({URU}a-ni-su),saao/sargonletters:P334612.7.3 ({URU}a-ni-su)"
