,headword,xis_entry,instances_all
1071,bēru[double hour]N,akk.r006a5,"saao/sargonletters:P313507.14.4 (KASKAL.GID₂),saao/sargonletters:P313518.8.3 (KASKAL.GID₂),saao/sargonletters:P313652.12.5 (KASKAL.GID₂),saao/sargonletters:P313702.13.2 (KASKAL.GID₂),saao/sargonletters:P334421.28.3 (KASKAL.GID₂),saao/sargonletters:P334439.10.1 (KASKAL.GID₂)"
1072,bīt[where]SBJ,akk.r006a6,"saao/sargonletters:P313427.34.1 (E₂),saao/sargonletters:P313452.41.2 (E₂),saao/sargonletters:P313454.24.3 (E₂),saao/sargonletters:P313491.16.5 (E₂),saao/sargonletters:P313507.44.6 (E₂),saao/sargonletters:P313571.11.6 (E₂),saao/sargonletters:P313738.8.3 (E₂),saao/sargonletters:P313887.3.1 (E₂),saao/sargonletters:P313887.3.3 (E₂),saao/sargonletters:P313887.8.1 (E₂),saao/sargonletters:P313898.21.1 (E₂),saao/sargonletters:P313932.7.5 (E₂),saao/sargonletters:P314287.12.8 (E₂),saao/sargonletters:P314313.17.2 (E₂),saao/sargonletters:P334077.5.4 (E₂),saao/sargonletters:P334090.26.1 (E₂),saao/sargonletters:P334116.36.2 (E₂),saao/sargonletters:P334143.26.2 (E₂),saao/sargonletters:P334150.11.3 (E₂),saao/sargonletters:P334279.23.1 (E₂),saao/sargonletters:P334318.24.4 (E₂),saao/sargonletters:P334369.16.3 (E₂),saao/sargonletters:P334381.9.1 (E₂),saao/sargonletters:P334385.17.4 (E₂),saao/sargonletters:P334403.22.1 (E₂),saao/sargonletters:P334439.14.1 (E₂),saao/sargonletters:P334496.14.3 (E₂),saao/sargonletters:P334496.33.2 (E₂),saao/sargonletters:P334607.11.4 (E₂),saao/sargonletters:P334607.5.2 (E₂),saao/sargonletters:P334622.9.1 (E₂),saao/sargonletters:P334634.9.1 (E₂),saao/sargonletters:P334634.9.3 (E₂),saao/sargonletters:P334638.17.2 (E₂),saao/sargonletters:P334638.9.2 (E₂),saao/sargonletters:P334644.11.2 (E₂),saao/sargonletters:P334676.24.3 (E₂),saao/sargonletters:P334676.9.4 (E₂),saao/sargonletters:P334723.19.2 (E₂),saao/sargonletters:P334774.7.2 (E₂),saao/sargonletters:P334807.23.1 (E₂),saao/sargonletters:P334831.23.3 (E₂),saao/sargonletters:P334894.19.1 (E₂),saao/sargonletters:P313422.7.1 (be₂-et),saao/sargonletters:P313473.15.3 (be₂-et),saao/sargonletters:P313474.16.2 (be₂-et),saao/sargonletters:P313514.6.3 (be₂-et),saao/sargonletters:P313560.7.2 (be₂-et),saao/sargonletters:P313560.7.5 (be₂-et),saao/sargonletters:P313560.7.8 (be₂-et),saao/sargonletters:P313571.35.1 (be₂-et),saao/sargonletters:P313802.7.4 (be₂-et),saao/sargonletters:P313894.13.2 (be₂-et),saao/sargonletters:P313945.7.1 (be₂-et),saao/sargonletters:P313995.5.1 (be₂-et),saao/sargonletters:P334044.32.2 (be₂-et),saao/sargonletters:P334097.6.2 (be₂-et),saao/sargonletters:P334103.17.1 (be₂-et),saao/sargonletters:P334142.11.1 (be₂-et),saao/sargonletters:P334142.42.3 (be₂-et),saao/sargonletters:P334193.25.1 (be₂-et),saao/sargonletters:P334322.47.2 (be₂-et),saao/sargonletters:P334322.56.3 (be₂-et),saao/sargonletters:P334687.12.1 (be₂-et),saao/sargonletters:P334708.39.1 (be₂-et),saao/sargonletters:P334711.16.3 (be₂-et),saao/sargonletters:P334721.8.3 (be₂-et),saao/sargonletters:P334806.9.2 (be₂-et),saao/sargonletters:P393866.22.2 (be₂-et),saao/sargonletters:P393866.23.2 (be₂-et),saao/sargonletters:X900009.13.4 (be₂-et),saao/sargonletters:P334348.24.3 (be₂-te),saao/sargonletters:P334348.25.1 (be₂-te)"
1073,bītu[house]N,akk.r006ba,"saao/sargonletters:P313439.11.4 (E₂),saao/sargonletters:P313470.13.5 (E₂),saao/sargonletters:P313474.5.3 (E₂),saao/sargonletters:P313480.13.2 (E₂),saao/sargonletters:P313504.15.1 (E₂),saao/sargonletters:P313508.27.6 (E₂),saao/sargonletters:P313571.21.3 (E₂),saao/sargonletters:P313571.28.3 (E₂),saao/sargonletters:P313575.52.3 (E₂),saao/sargonletters:P313628.18.2 (E₂),saao/sargonletters:P313640.7.5 (E₂),saao/sargonletters:P313683.14.2 (E₂),saao/sargonletters:P313706.20.3 (E₂),saao/sargonletters:P313773.27.7 (E₂),saao/sargonletters:P313777.15.4 (E₂),saao/sargonletters:P313788.22.2 (E₂),saao/sargonletters:P313814.49.6 (E₂),saao/sargonletters:P313814.54.2 (E₂),saao/sargonletters:P313822.4.3 (E₂),saao/sargonletters:P313863.3.8 (E₂),saao/sargonletters:P313874.13.2 (E₂),saao/sargonletters:P313887.9.3 (E₂),saao/sargonletters:P313893.3.1 (E₂),saao/sargonletters:P313898.24.1 (E₂),saao/sargonletters:P313973.8.2 (E₂),saao/sargonletters:P314051.10.1 (E₂),saao/sargonletters:P314070.11.4 (E₂),saao/sargonletters:P314108.7.5 (E₂),saao/sargonletters:P314157.5.2 (E₂),saao/sargonletters:P314200.13.1 (E₂),saao/sargonletters:P314232.29.2 (E₂),saao/sargonletters:P314265.9.7 (E₂),saao/sargonletters:P314276.10.3 (E₂),saao/sargonletters:P314312.12.2 (E₂),saao/sargonletters:P334039.14.2 (E₂),saao/sargonletters:P334041.38.2 (E₂),saao/sargonletters:P334042.11.2 (E₂),saao/sargonletters:P334048.11.2 (E₂),saao/sargonletters:P334048.9.2 (E₂),saao/sargonletters:P334071.8.2 (E₂),saao/sargonletters:P334074.13.1 (E₂),saao/sargonletters:P334077.6.4 (E₂),saao/sargonletters:P334114.38.2 (E₂),saao/sargonletters:P334124.5.3 (E₂),saao/sargonletters:P334124.9.1 (E₂),saao/sargonletters:P334135.34.1 (E₂),saao/sargonletters:P334135.35.1 (E₂),saao/sargonletters:P334137.17.2 (E₂),saao/sargonletters:P334139.14.2 (E₂),saao/sargonletters:P334141.13.1 (E₂),saao/sargonletters:P334143.55.2 (E₂),saao/sargonletters:P334155.27.3 (E₂),saao/sargonletters:P334163.13.5 (E₂),saao/sargonletters:P334163.36.3 (E₂),saao/sargonletters:P334165.10.2 (E₂),saao/sargonletters:P334166.12.2 (E₂),saao/sargonletters:P334193.18.2 (E₂),saao/sargonletters:P334195.37.4 (E₂),saao/sargonletters:P334209.6.2 (E₂),saao/sargonletters:P334279.56.2 (E₂),saao/sargonletters:P334279.60.5 (E₂),saao/sargonletters:P334291.36.3 (E₂),saao/sargonletters:P334291.36.5 (E₂),saao/sargonletters:P334298.31.2 (E₂),saao/sargonletters:P334302.36.4 (E₂),saao/sargonletters:P334317.4.7 (E₂),saao/sargonletters:P334318.22.4 (E₂),saao/sargonletters:P334318.27.2 (E₂),saao/sargonletters:P334328.18.6 (E₂),saao/sargonletters:P334328.8.3 (E₂),saao/sargonletters:P334343.23.3 (E₂),saao/sargonletters:P334344.11.2 (E₂),saao/sargonletters:P334344.18.2 (E₂),saao/sargonletters:P334386.11.1 (E₂),saao/sargonletters:P334405.17.3 (E₂),saao/sargonletters:P334496.23.2 (E₂),saao/sargonletters:P334504.20.1 (E₂),saao/sargonletters:P334504.23.2 (E₂),saao/sargonletters:P334504.27.3 (E₂),saao/sargonletters:P334535.5.2 (E₂),saao/sargonletters:P334556.6.2 (E₂),saao/sargonletters:P334565.13.2 (E₂),saao/sargonletters:P334631.17.5 (E₂),saao/sargonletters:P334680.13.4 (E₂),saao/sargonletters:P334696.7.7 (E₂),saao/sargonletters:P334703.26.3 (E₂),saao/sargonletters:P334703.36.6 (E₂),saao/sargonletters:P334705.25.2 (E₂),saao/sargonletters:P334705.4.1 (E₂),saao/sargonletters:P334710.32.7 (E₂),saao/sargonletters:P334718.4.2 (E₂),saao/sargonletters:P334721.20.3 (E₂),saao/sargonletters:P334772.11.3 (E₂),saao/sargonletters:P334782.10.4 (E₂),saao/sargonletters:P334791.18.3 (E₂),saao/sargonletters:P334793.15.1 (E₂),saao/sargonletters:P334837.30.7 (E₂),saao/sargonletters:P334892.15.2 (E₂),saao/sargonletters:P334910.33.4 (E₂),saao/sargonletters:P334921.21.1 (E₂),saao/sargonletters:P337150.12.2 (E₂),saao/sargonletters:P337150.19.1 (E₂),saao/sargonletters:X900008.16.2 (E₂),saao/sargonletters:X900008.33.1 (E₂),saao/sargonletters:X900010.19.6 (E₂),saao/sargonletters:X900012.39.3 (E₂),saao/sargonletters:X900012.40.2 (E₂),saao/sargonletters:X900012.5.7 (E₂),saao/sargonletters:X900014.14.4 (E₂),saao/sargonletters:P313894.8.2 (E₂-02-e),saao/sargonletters:P334046.13.2 (E₂-02-i),saao/sargonletters:P313920.9.3 (E₂-AD-ia),saao/sargonletters:P334693.4.6 (E₂-AD-ia),saao/sargonletters:P313480.36.3 (E₂-AD-šu₂),saao/sargonletters:P313480.9.2 (E₂-AD-šu₂),saao/sargonletters:P314177.7.1 (E₂-AD-šu₂),saao/sargonletters:P334100.27.3 (E₂-AD-šu₂),saao/sargonletters:P334100.47.3 (E₂-AD-šu₂),saao/sargonletters:P313609.5.2 (E₂-AD-šu₂-u-ni),saao/sargonletters:X900007.41.3 (E₂-BAD₃),saao/sargonletters:P334347.18.2 (E₂-BAD₃-MEŠ-ni),saao/sargonletters:P334403.21.2 (E₂-BAD₃-MEŠ-ni),saao/sargonletters:P334307.8.2 (E₂-BAD₃-a-ni),saao/sargonletters:P313427.10.8 (E₂-DINGIR),saao/sargonletters:P313458.27.4 (E₂-DINGIR),saao/sargonletters:P334039.22.4 (E₂-DINGIR),saao/sargonletters:P334103.23.2 (E₂-DINGIR),saao/sargonletters:P334103.30.2 (E₂-DINGIR),saao/sargonletters:P334280.13.2 (E₂-DINGIR),saao/sargonletters:P334314.22.2 (E₂-DINGIR),saao/sargonletters:P334444.7.2 (E₂-DINGIR),saao/sargonletters:P334708.17.3 (E₂-DINGIR),saao/sargonletters:P334388.28.5 (E₂-DINGIR-MEŠ),saao/sargonletters:P334136.20.3 (E₂-DINGIR-MEŠ-te),saao/sargonletters:P334177.12.4 (E₂-EN-MEŠ-a),saao/sargonletters:P313472.53.3 (E₂-EN-MEŠ-ka),saao/sargonletters:P313510.17.2 (E₂-EN-MEŠ-ku-nu),saao/sargonletters:P313502.30.2 (E₂-EN-MEŠ-šu₂),saao/sargonletters:P334693.19.5 (E₂-EN-MEŠ-šu₂),saao/sargonletters:P334558.15.2 (E₂-EN-MEŠ-šu₂-nu),saao/sargonletters:P313653.10.2 (E₂-EN-e-a),saao/sargonletters:P313757.9.3 (E₂-EN-e-ni),saao/sargonletters:P334040.11.3 (E₂-GIŠ-MEŠ),saao/sargonletters:P313439.14.6 (E₂-LUGAL),saao/sargonletters:P313439.17.4 (E₂-LUGAL),saao/sargonletters:P313777.13.7 (E₂-LUGAL),saao/sargonletters:P313417.6.6 (E₂-MEŠ),saao/sargonletters:P313573.13.2 (E₂-MEŠ),saao/sargonletters:P313573.6.2 (E₂-MEŠ),saao/sargonletters:P313587.16.3 (E₂-MEŠ),saao/sargonletters:P313648.10.3 (E₂-MEŠ),saao/sargonletters:P334135.13.1 (E₂-MEŠ),saao/sargonletters:P334135.14.3 (E₂-MEŠ),saao/sargonletters:P334135.19.3 (E₂-MEŠ),saao/sargonletters:P334135.27.3 (E₂-MEŠ),saao/sargonletters:P334135.45.1 (E₂-MEŠ),saao/sargonletters:P334135.5.3 (E₂-MEŠ),saao/sargonletters:P334135.6.6 (E₂-MEŠ),saao/sargonletters:P334136.24.2 (E₂-MEŠ),saao/sargonletters:P334187.32.3 (E₂-MEŠ),saao/sargonletters:P334284.9.4 (E₂-MEŠ),saao/sargonletters:P334318.12.2 (E₂-MEŠ),saao/sargonletters:P334338.5.3 (E₂-MEŠ),saao/sargonletters:P334369.15.1 (E₂-MEŠ),saao/sargonletters:P334381.11.4 (E₂-MEŠ),saao/sargonletters:P334825.20.3 (E₂-MEŠ),saao/sargonletters:P313706.16.1 (E₂-MEŠ-ni),saao/sargonletters:P334163.12.5 (E₂-MEŠ-ni),saao/sargonletters:P334728.18.1 (E₂-MEŠ-ni),saao/sargonletters:P334695.31.5 (E₂-MEŠ-te-ni),saao/sargonletters:P313706.19.1 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P314304.21.6 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P334135.21.1 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P334135.24.2 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P334182.17.1 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P334202.26.1 (E₂-MEŠ-šu₂-nu),saao/sargonletters:P313644.39.4 (E₂-MI₂-MEŠ),saao/sargonletters:P313807.13.4 (E₂-aš-šur),saao/sargonletters:P334298.24.2 (E₂-aš-šur),saao/sargonletters:P334298.31.5 (E₂-aš-šur),saao/sargonletters:P334396.7.5 (E₂-aš-šur),saao/sargonletters:P334317.2.7 (E₂-dan-ni),saao/sargonletters:P334314.13.3 (E₂-hi-il-la-na-ni),saao/sargonletters:P334314.8.2 (E₂-hi-il-la-na-te),saao/sargonletters:P334314.15.3 (E₂-hi-il-la-ni),saao/sargonletters:P334334.6.2 (E₂-hi-la-ni),saao/sargonletters:P334072.14.2 (E₂-i-si-te-ia),saao/sargonletters:P334692.25.5 (E₂-ia),saao/sargonletters:P334721.3.4 (E₂-ia),saao/sargonletters:P334693.19.2 (E₂-im-ma),saao/sargonletters:P334046.8.4 (E₂-ka-ma),saao/sargonletters:P334212.10.1 (E₂-kar-me),saao/sargonletters:P314230.10.2 (E₂-mar-di-a-te),saao/sargonletters:P334284.29.2 (E₂-mar-di-a-te),saao/sargonletters:P334284.5.2 (E₂-mar-di-ti-ia),saao/sargonletters:P313640.6.1 (E₂-na-kam-ti),saao/sargonletters:P334334.5.5 (E₂-ra-ma-ki),saao/sargonletters:P334699.13.1 (E₂-ra-ma-ki),saao/sargonletters:P336168.6.3 (E₂-ra-ma-ki),saao/sargonletters:P334568.18.2 (E₂-rim-ki),saao/sargonletters:P334202.28.1 (E₂-su),saao/sargonletters:P334412.7.1 (E₂-su),saao/sargonletters:P334820.34.3 (E₂-su),saao/sargonletters:P336168.5.3 (E₂-tu-ʾi-in-te),saao/sargonletters:P334120.19.2 (E₂-ub-re-e-šu₂),saao/sargonletters:P334113.31.4 (E₂-{d}PA),saao/sargonletters:P334729.9.5 (E₂-{d}PA),saao/sargonletters:P313640.10.3 (E₂-ŠU.2),saao/sargonletters:P334212.11.1 (E₂-ŠU.2),saao/sargonletters:P334212.18.2 (E₂-ŠU.2),saao/sargonletters:P334212.19.2 (E₂-ŠU.2),saao/sargonletters:P334779.6.3 (E₂-ŠU.2),saao/sargonletters:P313551.13.1 (E₂-šu),saao/sargonletters:P313551.18.2 (E₂-šu),saao/sargonletters:P313498.19.4 (E₂-šu-ub-te),saao/sargonletters:P334498.28.2 (E₂-šu-ub-te-šu₂-nu),saao/sargonletters:P224485.67.6 (E₂-šu₂),saao/sargonletters:P313812.16.2 (E₂-šu₂),saao/sargonletters:P334081.17.2 (E₂-šu₂),saao/sargonletters:P334135.37.4 (E₂-šu₂),saao/sargonletters:P334152.22.2 (E₂-šu₂),saao/sargonletters:P334202.29.3 (E₂-šu₂),saao/sargonletters:P334386.19.2 (E₂-šu₂),saao/sargonletters:P334693.11.2 (E₂-šu₂),saao/sargonletters:P334820.33.1 (E₂-šu₂),saao/sargonletters:P314084.7.5 (E₂-šu₂-nu-ma),saao/sargonletters:P334543.30.1 (a-be₂-e-ti),saao/sargonletters:P334543.6.1 (a-be₂-e-ti),saao/sargonletters:P224485.16.7 (be₂-et),saao/sargonletters:P224485.57.4 (be₂-et),saao/sargonletters:P313457.30.2 (be₂-et),saao/sargonletters:P313587.5.7 (be₂-et),saao/sargonletters:P314039.11.2 (be₂-et),saao/sargonletters:P314295.4.3 (be₂-et),saao/sargonletters:P334708.15.4 (be₂-et),saao/sargonletters:P313511.21.1 (be₂-ta-a-ti-šu₂-nu),saao/sargonletters:P334847.14.8 (ib-E₂),saao/sargonletters:P313416.9.2 ({GIŠ}E₂-gi-ṣi-te),saao/sargonletters:P334039.32.2 ({LU₂}A.BA-E₂-DINGIR),saao/sargonletters:P313510.73.5 ({LU₂}GAL-E₂),saao/sargonletters:P334142.59.1 ({LU₂}GAL-E₂),saao/sargonletters:P334178.39.3 ({LU₂}GAL-E₂),saao/sargonletters:P334284.27.1 ({LU₂}GAL-E₂),saao/sargonletters:P334398.10.2 ({LU₂}GAL-E₂),saao/sargonletters:P334422.14.1 ({LU₂}GAL-E₂),saao/sargonletters:P334555.11.3 ({LU₂}GAL-E₂),saao/sargonletters:P313500.12.1 ({LU₂}GAL-E₂-ia),saao/sargonletters:P313629.15.1 ({LU₂}GAL-E₂-ia),saao/sargonletters:X900010.31.1 ({LU₂}GAL-E₂-ia),saao/sargonletters:P334179.35.3 ({LU₂}GAL-E₂-ka),saao/sargonletters:P334721.3.2 ({LU₂}GAL-E₂-ka)"
1074,bītānu[interior]N,akk.r00700,"saao/sargonletters:P334643.8.2 (E₂-a-ni),saao/sargonletters:P314200.15.1 (E₂-a-ni-ia),saao/sargonletters:P314295.5.2 (E₂-an-ni),saao/sargonletters:P334695.29.4 (E₂-an-nu)"
1075,bītūtu[of the house]N,akk.r00705,saao/sargonletters:P334693.9.4 ({LU₂}GAL-E₂-u₂-te)
1076,būlu[animals]N,akk.r00706,saao/sargonletters:P334534.15.2 (bu-li)
1077,būrtu[cistern]N,akk.r00707,saao/sargonletters:P313871.15.3 (PU₂)
1078,būṣu[fine linen]N,akk.r00708,saao/sargonletters:P334390.12.9 (bu-ṣi)
1079,dabābu[speak]V,akk.r00709,"saao/sargonletters:P334205.24.3 (a-da-bu-bu-ni),saao/sargonletters:P314100.6.5 (a-da-bu-bu-u-ni),saao/sargonletters:P334077.55.2 (a-da-bu-ub),saao/sargonletters:P334422.27.2 (a-da-bu-ub),saao/sargonletters:P334697.14.2 (a-da-bu-ub),saao/sargonletters:P334710.29.3 (a-da-bu-ub),saao/sargonletters:P334715.37.1 (a-da-bu-ub),saao/sargonletters:P334607.10.2 (a-du-ba-šu₂-nu),saao/sargonletters:P313735.15.6 (a-du-bu-ub),saao/sargonletters:P334695.15.2 (a-du-bu-ub),saao/sargonletters:P334695.23.1 (a-du-bu-ub),saao/sargonletters:P334715.17.2 (a-du-bu-ub),saao/sargonletters:P334728.16.1 (a-du-bu-ub),saao/sargonletters:P334835.12.2 (a-du-bu-ub),saao/sargonletters:P313644.46.4 (ad-bu-ba),saao/sargonletters:P313587.13.2 (ad-da-bu-ub),saao/sargonletters:P334907.4.2 (ad-da-bu-ub),saao/sargonletters:P334135.10.5 (ad-da-bu-ub-u₂-ni),saao/sargonletters:P313897.9.1 (ad-du-bu-bu),saao/sargonletters:P313477.7.1 (ad-du-bu-ub),saao/sargonletters:P313508.13.2 (ad-du-bu-ub),saao/sargonletters:P313810.10.2 (ad-du-bu-ub),saao/sargonletters:P334152.14.1 (ad-du-bu-ub),saao/sargonletters:P334820.39.3 (da-ba-bu),saao/sargonletters:P334692.9.3 (da-bu-bi-šu-nu),saao/sargonletters:P334917.4.4 (du-bu),saao/sargonletters:P313491.36.2 (du-ub-ba),saao/sargonletters:P313720.5.6 (du-ub-ba),saao/sargonletters:P334728.11.2 (du-ub-ba),saao/sargonletters:P313692.8.4 (du-ub-bu),saao/sargonletters:P313735.14.4 (du-ub-bu),saao/sargonletters:P313837.9.4 (du-ub-bu),saao/sargonletters:P313915.7.2 (du-ub-bu),saao/sargonletters:P334263.14.2 (du-ub-bu),saao/sargonletters:P334697.12.3 (du-ub-bu),saao/sargonletters:P334917.17.5 (du-ub-bu),saao/sargonletters:P334388.5.4 (i-da-ab-bu-bu),saao/sargonletters:P334683.4.3 (i-da-ab-bu-bu-u-ni),saao/sargonletters:P313506.9.4 (i-da-ab-bu-ub),saao/sargonletters:P313635.14.1 (i-da-ab-bu-ub),saao/sargonletters:P314232.16.1 (i-da-ab-bu-ub),saao/sargonletters:P334693.5.1 (i-da-ab-bu-ub),saao/sargonletters:P314061.13.7 (i-da-ba-bu-ni),saao/sargonletters:P313513.7.3 (i-da-bu-bu),saao/sargonletters:P313517.16.5 (i-da-bu-bu),saao/sargonletters:P313782.7.1 (i-da-bu-bu),saao/sargonletters:P334318.28.1 (i-da-bu-bu),saao/sargonletters:P334369.11.2 (i-da-bu-bu),saao/sargonletters:P334718.28.7 (i-da-bu-bu),saao/sargonletters:P334917.38.4 (i-da-bu-bu),saao/sargonletters:X900012.41.4 (i-da-bu-bu),saao/sargonletters:P313487.10.2 (i-da-bu-bu-ni),saao/sargonletters:P313487.37.5 (i-da-bu-bu-ni),saao/sargonletters:P313889.5.4 (i-da-bu-bu-ni),saao/sargonletters:P313814.23.1 (i-da-bu-ub),saao/sargonletters:P313827.19.3 (i-da-bu-ub),saao/sargonletters:P334280.14.1 (i-da-bu-ub),saao/sargonletters:P334442.13.1 (i-da-bu-ub),saao/sargonletters:P334502.29.5 (i-da-bu-ub),saao/sargonletters:P334502.6.6 (i-da-bu-ub),saao/sargonletters:P334588.10.1 (i-da-bu-ub),saao/sargonletters:P334825.30.1 (i-da-bu-ub),saao/sargonletters:P334825.41.3 (i-da-bu-ub),saao/sargonletters:P334837.14.6 (i-da-bu-ub),saao/sargonletters:P336166.5.2 (i-da-bu-ub),saao/sargonletters:P334135.12.6 (i-da-bu-ub-u-ni),saao/sargonletters:P334170.23.1 (i-da-bu-ub-u-ni),saao/sargonletters:P313587.24.4 (i-di-bu-ub-u-ni),saao/sargonletters:P313698.12.4 (i-du-ba-ka-nu-ni),saao/sargonletters:P313452.54.1 (i-du-bu),saao/sargonletters:P313510.16.2 (i-du-bu-bu),saao/sargonletters:P313510.21.2 (i-du-bu-bu),saao/sargonletters:P334079.32.3 (i-du-bu-bu),saao/sargonletters:P334281.24.3 (i-du-bu-bu),saao/sargonletters:P334343.18.1 (i-du-bu-bu),saao/sargonletters:P334847.19.3 (i-du-bu-bu),saao/sargonletters:X900012.39.5 (i-du-bu-bu),saao/sargonletters:P313477.41.4 (i-du-bu-ub),saao/sargonletters:P313587.28.1 (i-du-bu-ub),saao/sargonletters:P314008.7.1 (i-du-bu-ub),saao/sargonletters:P334483.40.2 (i-du-bu-ub),saao/sargonletters:P334905.4.5 (i-du-bu-ub),saao/sargonletters:P313506.10.3 (i-sa-ad-bi-ib),saao/sargonletters:P313452.23.1 (id-bu-bu-ni),saao/sargonletters:P334537.11.1 (id-da-ab-bu-bu),saao/sargonletters:P313587.12.2 (id-di-bu-ub),saao/sargonletters:P334090.7.5 (id-di-bu-ub-u-ni),saao/sargonletters:P334373.12.1 (id-du-ba-aš₂-šu₂),saao/sargonletters:P334830.14.2 (id-du-bu),saao/sargonletters:P314292.13.1 (id-du-bu-ub),saao/sargonletters:P334104.15.1 (id-du-bu-ub),saao/sargonletters:P334386.37.5 (id-du-bu-ub),saao/sargonletters:P334779.9.4 (id-du-bu-ub),saao/sargonletters:P313698.10.1 (id-du-ub-bu),saao/sargonletters:P334731.11.1 (id-du-ub-bu),saao/sargonletters:P224485.65.5 (la-ad-bu-ub),saao/sargonletters:P334422.16.1 (la-ad-bu-ub),saao/sargonletters:P334558.19.1 (la-ad-bu-ub),saao/sargonletters:P334181.34.2 (la-da-bu-ub),saao/sargonletters:P334612.37.2 (la-da-bu-ub),saao/sargonletters:P313553.26.2 (lid-bu-bu),saao/sargonletters:P314292.18.1 (lid-bu-bu),saao/sargonletters:P314292.9.1 (lid-bu-bu),saao/sargonletters:P334103.13.2 (lid-bu-bu),saao/sargonletters:P334386.45.1 (lid-bu-bu),saao/sargonletters:P334421.10.2 (lid-bu-bu),saao/sargonletters:P313457.15.1 (lid-bu-ub),saao/sargonletters:P314019.8.5 (lid-bu-ub),saao/sargonletters:P314326.26.4 (lid-bu-ub),saao/sargonletters:P334728.30.2 (lid-bu-ub),saao/sargonletters:P313622.17.7 (lid-di-bu-bu),saao/sargonletters:P334187.46.1 (lid-di-bu-bu),saao/sargonletters:P313976.8.2 (ni-da-bu-ub),saao/sargonletters:P334728.27.2 (ni-da-bu-ub),saao/sargonletters:P334369.9.1 (ni-du-ba-aš₂-šu₂-nu),saao/sargonletters:P334114.31.1 (ni-id-bu-ub),saao/sargonletters:P334114.37.2 (ni-id-bu-ub),saao/sargonletters:P334114.47.1 (ni-id-bu-ub),saao/sargonletters:P334671.14.1 (ni-id-du-bu-ub),saao/sargonletters:P334193.15.2 (ta-ad-bu-u₂-bu),saao/sargonletters:P313452.25.2 (ta-da-bu-bu),saao/sargonletters:P334318.7.3 (ta-da-bu-bu),saao/sargonletters:P334135.18.4 (ta-da-bu-ub),saao/sargonletters:P334143.54.5 (ta-da-bu-ub),saao/sargonletters:P334586.13.2 (ta-da-bu-ub),saao/sargonletters:P334658.8.6 (u₂-ša-ad-bi-bu-šu₂),saao/sargonletters:P314171.5.6 (u₂-šad-ba-bu-u-ni),saao/sargonletters:P334805.23.1 (u₂-ša₂-ad-bu-bu),saao/sargonletters:P313829.7.1 (u₂-ša₂-da-bu-bu-ni-šu₂-nu)"
1080,dagālu[see]V,akk.r00751,"saao/sargonletters:P334543.10.1 (a-da-ga-la),saao/sargonletters:P314037.20.5 (a-da-gal),saao/sargonletters:P334197.9.3 (a-da-gal),saao/sargonletters:P334198.16.1 (a-da-gal),saao/sargonletters:P334199.27.4 (a-da-gal),saao/sargonletters:P334200.25.3 (a-da-gal),saao/sargonletters:P334298.42.3 (a-da-gal),saao/sargonletters:P334322.46.4 (a-da-gal),saao/sargonletters:P334385.9.2 (a-da-gal),saao/sargonletters:P334792.13.3 (a-da-gal),saao/sargonletters:P334864.21.7 (a-da-gal),saao/sargonletters:P334695.43.1 (a-dag-gal),saao/sargonletters:P334837.33.1 (a-dag-gal),saao/sargonletters:P314276.10.1 (ad-da-gal),saao/sargonletters:P313452.7.4 (du-gul),saao/sargonletters:P313452.10.2 (i-da-gal),saao/sargonletters:P314287.11.5 (i-da-gal),saao/sargonletters:P314301.19.4 (i-da-gal),saao/sargonletters:P334200.27.1 (i-da-gal),saao/sargonletters:P334865.24.1 (i-da-gul),saao/sargonletters:P334865.26.1 (lid-gul),saao/sargonletters:P334703.25.5 (ni-id-gul),saao/sargonletters:P334199.8.4 (ta-ad-gul)"
1081,dalbānu[intervening space]N,akk.r00760,saao/sargonletters:P313777.11.4 (du-lu-ba-ni)
1082,dalhu[troubled]AJ,akk.r00761,"saao/sargonletters:X900012.14.7 (da-al-hu),saao/sargonletters:P334180.15.1 (da-li-ih)"
1083,daltu[door]N,akk.r00764,"saao/sargonletters:P334445.12.2 ({GIŠ}IG),saao/sargonletters:P313863.3.9 ({GIŠ}IG-MEŠ),saao/sargonletters:P313947.8.2 ({GIŠ}IG-MEŠ),saao/sargonletters:P334078.9.3 ({GIŠ}IG-MEŠ),saao/sargonletters:P334314.20.5 ({GIŠ}IG-MEŠ),saao/sargonletters:P334314.26.3 ({GIŠ}IG-MEŠ),saao/sargonletters:P334314.33.3 ({GIŠ}IG-MEŠ),saao/sargonletters:P334317.10.3 ({GIŠ}IG-MEŠ),saao/sargonletters:P334317.16.3 ({GIŠ}IG-MEŠ),saao/sargonletters:P334317.18.3 ({GIŠ}IG-MEŠ)"
1084,dalāhu[disturb]V,akk.r00767,"saao/sargonletters:P313516.35.7 (da-la-hu),saao/sargonletters:P314232.18.1 (da-la-hu),saao/sargonletters:P334114.56.13 (i-dal-lah₃)"
1085,damdāmu[(a kind of mule)]N,akk.r0076a,saao/sargonletters:P334361.28.2 ({ANŠE}NUN.NA)
