dossier_nocertain,atā[why?]QP:atâ:a-ta-a,kī[like]PRP:kî:ki,kī[like]PRP:kî:ki-i,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,mīnu[what?]QP:mīni:mi-i-ni,mīnu[what?]QP:mīni:mi-ni,mīnu[what?]QP:mīnu:mi-i-nu,mīnu[what?]QP:mīnu:mi-nu,mīnu[what?]QP:mīnu:mi₃-i-nu,mīnu[what?]QP:mīnu:mi₃-nu,šū[he]IP:šû:šu-u,šū[he]IP:šû:šu-u₂,šū[he]IP:šû:šu₂-u,šū[he]IP:šû:šu₂-u₂,ūma[today]AV:ūmâ:u₂-ma,ūma[today]AV:ūmâ:u₂-ma-a,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-e-mu,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-mu
SAA15.03.06,1,1,1,5,2,1,0,3,17,0,0,0,0,0,0,1,2,1,0,0,2,0,0
SAA15.04.01,0,1,3,7,1,3,1,0,15,1,0,0,0,0,0,0,0,0,0,0,2,3,0
SAA15.04.02,3,0,22,18,1,10,2,1,48,4,0,1,0,0,0,1,1,0,0,0,9,5,1
SAA15.04.03,0,0,0,2,2,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0
SAA15.05.01,2,1,4,22,0,7,8,2,58,0,0,3,1,0,0,3,8,0,0,0,6,2,2
SAA15.05.02,1,0,3,6,0,7,2,1,46,0,1,4,0,0,0,0,1,0,0,0,3,3,1
SAA15.05.03,0,1,0,2,2,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA15.05.04,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.05.05,0,0,1,4,0,3,0,1,8,0,0,0,1,0,0,0,1,0,0,0,2,0,0
SAA15.06.01,2,0,3,9,0,10,8,1,35,0,0,1,2,0,0,0,9,1,3,0,7,6,4
SAA15.06.01 or SAA15,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SAA15.06.02,2,0,3,2,2,1,4,0,12,0,1,0,0,0,0,0,0,2,2,0,1,0,6
SAA15.06.03,0,0,0,0,0,0,2,0,9,0,0,0,2,0,0,0,1,1,0,0,0,1,0
SAA15.06.04,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAA15.06.05,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAA15.06.06,0,0,6,9,1,9,0,0,51,0,0,4,0,0,0,2,2,1,2,0,5,0,2
SAA15.07.01,2,0,3,18,1,13,9,0,38,0,0,0,1,0,2,3,3,0,0,0,6,1,1
SAA15.07.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.07.03,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SAA15.07.04,2,0,7,15,0,5,5,2,24,0,1,1,0,0,0,1,1,2,0,0,4,0,0
SAA15.08.01,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SAA15.08.02,0,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA15.08.03,0,0,1,5,0,1,0,1,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0
SAA15.09.01,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SAA15.09.02,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.09.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.09.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.09.05,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.09.06,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA15.09.07,7,1,10,22,3,15,9,3,53,2,0,3,1,1,0,4,2,0,0,0,12,1,1
SAA15.09.08,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
