text_id	bēlu[lord]N:bēlī:be-li₂	bēlu[lord]N:bēlī:EN	bēlu[lord]N:bēlīya:EN-ia	bēlu[lord]N:bēlīya:be-li₂-ia	lā[not]MOD:lā:la	lā[not]MOD:lā:la-a	lū[may]MOD:lū:lu	lū[may]MOD:lū:lu-u	šulmu[completeness]N:šulmu:DI-mu	šulmu[completeness]N:šulmu:šul-mu
P334656	1	0	0	3	0	0	1	0	2	0
P334658	1	0	2	0	0	1	1	0	0	1
P334661	2	0	4	0	0	0	2	0	2	0
P334663	1	0	1	1	0	0	1	0	1	0
P334664	0	0	0	0	0	0	2	0	0	1
P334665	1	0	5	0	0	0	0	0	0	1
P334667	0	0	0	0	0	1	0	0	0	0
P334668	0	0	1	0	0	0	0	0	0	0
P334671	0	0	0	0	2	0	0	0	0	0
P334673	0	0	2	0	1	0	2	0	2	0
P334674	1	0	3	0	0	1	1	0	1	0
P334676	1	0	0	0	1	0	1	0	1	0
P334679	1	0	2	0	0	0	0	1	1	0
P334680	1	0	0	0	1	0	0	0	0	0
P334683	0	0	0	0	1	0	0	0	0	0
P334687	1	0	2	1	0	0	1	0	1	0
P334688	0	0	1	0	1	0	0	0	0	0
P334689	0	0	0	0	1	0	0	1	1	0
P334692	2	0	0	0	1	0	0	0	0	0
P334693	0	0	0	0	6	0	0	0	0	0
P334694	1	0	0	0	2	0	0	0	0	0
P334695	2	0	1	0	1	0	0	0	0	0
P334696	0	0	0	0	1	0	0	0	0	0
P334697	0	3	0	0	0	0	0	0	2	0
P334698	0	0	3	0	0	0	2	0	1	0
P334699	0	0	2	0	0	0	1	0	1	0
P334703	2	0	0	1	1	0	1	0	1	0
P334704	0	0	0	0	0	0	1	0	1	0
P334705	0	2	0	0	1	0	0	0	1	0
P334708	1	0	0	0	1	0	0	0	0	0
P334709	0	1	2	0	0	0	0	1	0	1
P334710	3	0	0	0	5	0	1	0	0	0
P334711	1	1	0	0	2	0	1	0	0	0
P334713	0	2	3	0	0	2	0	3	2	0
P334715	2	0	3	0	3	3	2	0	1	0
P334716	2	0	0	2	0	0	1	1	2	0
P334718	0	2	1	0	3	1	0	1	0	0
P334721	0	0	0	0	0	1	0	0	0	0
P334723	0	0	0	0	0	0	1	0	1	0
P334724	1	0	0	0	0	0	0	1	1	0
P334725	0	0	1	0	1	0	0	1	3	0
P334726	0	1	2	0	1	0	0	1	1	0
P334727	1	0	0	0	1	1	0	0	0	0
P334728	1	1	4	0	0	0	1	0	1	0
P334729	1	0	0	0	1	0	0	0	0	1
P334731	4	0	0	4	1	0	0	1	3	0
P334739	1	0	1	0	0	0	0	0	0	0
P334771	2	0	0	0	1	0	0	0	0	0
P334772	6	0	0	0	6	0	0	0	0	0
P334773	0	2	1	0	4	0	2	0	0	0
P334774	0	1	3	0	0	0	1	1	1	0
P334776	1	0	0	0	8	0	0	0	0	0
P334778	0	0	0	0	1	0	0	0	0	0
P334779	1	0	0	0	0	0	0	0	0	0
P334780	0	0	0	0	0	0	0	0	0	0
P334781	1	0	0	0	0	0	0	1	1	0
P334782	1	0	4	0	1	0	2	0	1	0
P334783	3	0	4	0	1	1	1	1	3	0
P334786	0	0	2	0	0	0	1	0	1	0
P334789	0	1	0	0	3	0	2	0	1	0
P334791	0	0	0	0	1	1	0	0	0	0
P334792	1	0	0	2	1	0	1	0	1	0
P334793	3	0	0	0	0	0	0	0	0	0
P334794	0	0	1	1	0	0	0	1	0	0
P334795	0	0	0	0	0	0	0	0	0	0
P334804	0	0	4	0	0	0	1	0	1	0
P334805	0	0	0	0	0	0	1	0	0	0
P334806	1	0	2	0	0	0	0	1	1	0
P334807	1	0	0	0	0	0	1	0	1	0
P334810	0	1	3	0	0	0	1	0	1	0
P334820	2	0	2	0	1	0	1	0	1	0
P334821	0	0	0	0	0	0	0	0	0	0
P334822	0	0	0	0	0	0	0	0	0	0
P334824	0	0	0	0	0	0	1	0	0	0
P334825	4	0	4	0	1	2	2	0	1	0
P334826	0	2	1	0	0	0	0	0	0	0
P334830	6	0	3	0	4	0	0	1	1	0
P334831	3	0	1	0	1	0	0	1	1	0
P334834	0	0	0	0	3	0	0	0	0	0
P334835	2	0	0	0	0	0	0	0	0	0
P334836	0	0	0	0	0	0	0	0	0	0
P334837	1	0	1	0	2	0	0	0	0	0
P334839	0	0	2	0	0	0	1	0	1	0
P334841	0	0	2	0	0	0	1	0	1	0
P334842	0	0	0	0	1	0	0	0	0	0
P334846	2	0	3	0	0	0	0	1	1	0
P334847	1	0	0	2	1	0	0	1	3	0
P334848	0	0	0	0	0	0	0	0	0	0
P334849	0	0	0	0	0	0	0	0	0	0
P334857	1	0	0	2	1	0	0	1	3	0
P334858	2	0	0	3	1	0	0	1	5	0
P334859	0	0	2	0	0	0	1	0	1	0
P334861	1	0	0	2	0	0	1	0	1	0
P334863	0	0	0	0	0	0	1	0	0	1
P334864	1	0	2	0	0	0	1	0	0	0
P334865	4	0	0	0	0	0	0	1	0	0
P334887	0	0	0	0	0	0	1	0	1	0
P334888	0	0	1	0	0	0	1	0	1	0
P334890	0	0	0	0	0	0	0	0	0	0
P334892	0	1	2	0	0	0	0	0	0	0
P334894	0	2	2	0	3	0	0	1	2	0
P334895	0	0	0	0	1	0	0	0	0	0
P334896	1	0	0	0	0	0	0	0	0	0
P334903	3	0	2	0	3	2	1	0	1	0
P334904	0	0	1	0	0	0	1	0	1	0
P334905	0	0	0	2	1	0	1	0	0	0
P334907	0	0	0	0	0	0	0	0	0	0
P334909	0	0	1	2	0	0	0	1	1	0
P334910	0	4	2	0	3	0	0	0	1	0
P334912	0	1	0	0	0	0	0	0	0	0
P334916	1	0	2	0	5	0	0	1	1	0
P334917	0	1	0	0	6	0	1	0	0	0
P334918	1	0	0	3	5	0	3	0	1	0
P334920	0	0	0	0	0	0	0	0	0	0
P334921	0	0	2	0	1	0	1	0	1	0
P334922	0	0	0	0	1	0	0	0	0	0
P334923	1	0	2	0	0	0	0	1	1	0
P335930	0	0	0	1	0	0	0	0	0	0
P336166	0	0	0	0	0	0	1	0	1	0
P336167	0	1	3	0	0	0	1	0	1	0
P336168	1	0	2	0	0	0	1	0	1	0
P336169	0	1	2	0	0	0	1	0	1	0
P336170	2	0	1	1	1	1	1	0	0	3
P336171	0	0	0	0	0	0	0	0	0	0
P336172	1	0	0	0	0	0	0	0	0	0
P336178	0	0	2	0	0	0	0	1	2	0
P336595	0	0	0	0	0	0	2	0	0	0
P336596	2	0	2	0	0	0	1	0	1	0
P336597	1	0	1	1	0	0	1	0	1	0
P336635	0	0	0	0	0	1	0	0	0	0
P336636	1	0	0	0	0	0	0	0	0	0
P336768	1	0	1	1	0	0	2	0	0	1
P336769	0	0	0	0	0	0	0	0	1	0
P336770	0	0	1	1	0	0	0	1	1	0
P336771	0	0	0	0	0	0	1	0	1	0
P336772	1	0	0	0	0	0	0	0	0	0
P336773	0	0	0	0	0	0	0	0	0	0
P336774	1	0	1	1	0	0	1	0	1	0
P336775	0	0	0	0	0	0	0	0	0	0
P336776	0	0	0	0	0	0	0	0	0	0
P337150	2	0	0	2	0	0	1	0	1	0
P337151	0	0	0	0	0	1	0	1	2	0
P393855	3	0	2	0	0	0	1	0	1	0
P393866	0	0	0	2	0	0	1	0	1	0
X900004	3	0	1	1	3	2	1	1	1	0
X900005	0	0	2	0	1	2	1	0	1	0
X900006	0	0	0	0	2	0	1	0	0	0
X900007	2	0	3	0	1	2	1	0	1	0
X900008	6	0	0	0	1	2	1	0	0	0
X900009	0	0	4	1	1	0	1	1	0	5
X900010	0	2	2	0	0	0	1	0	1	0
X900011	2	0	0	0	1	0	0	0	0	0
X900012	0	2	0	0	5	0	0	0	0	0
X900014	2	0	4	0	0	0	1	0	1	0
X900015	2	0	0	0	1	1	1	0	1	0
