,form,headword,instance,xis_entry,xis_form
0,a-ba-ak,abāku[lead away]V,saao/sargonletters:P314281.18.2,akk.r00033,akk.r00034
1,a-tab-ka,abāku[lead away]V,saao/sargonletters:P313450.15.3,akk.r00033,akk.r00035
2,e-tab-ku,abāku[lead away]V,saao/sargonletters:P313753.19.1,akk.r00033,akk.r00036
3,e-tab-ku,abāku[lead away]V,saao/sargonletters:X900012.20.9,akk.r00033,akk.r00036
4,e-tab-ku-u-ni,abāku[lead away]V,saao/sargonletters:P313450.13.1,akk.r00033,akk.r00037
5,i-ta-ba-ka,abāku[lead away]V,saao/sargonletters:P334041.39.2,akk.r00033,akk.r00038
6,ta-bu-uk-šu₂-nu,abāku[lead away]V,saao/sargonletters:P334037.24.2,akk.r00033,akk.r00039
7,e-tab-la,abālu[dry (up)]V,saao/sargonletters:P313871.13.7,akk.r0003a,akk.r0003b
8,e-tab-lu,abālu[dry (up)]V,saao/sargonletters:P334316.15.3,akk.r0003a,akk.r0003c
9,a-ba-ti,abati[(meaning unknown)]N,saao/sargonletters:P313575.32.1,akk.r0000d,akk.r0000d
10,in-na-bit-u-ni,abātu[run away]V,saao/sargonletters:P313822.5.3,akk.r0003d,akk.r0003d
11,a-bi-ik-tu₂,abiktu[defeat]N,saao/sargonletters:P334092.11.2,akk.r0000e,akk.r0000f
12,a-pi-ik-te,abiktu[defeat]N,saao/sargonletters:P334104.23.2,akk.r0000e,akk.r00010
13,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P313416.10.1,akk.r00011,akk.r00012
14,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334054.5.3,akk.r00011,akk.r00012
15,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334054.7.5,akk.r00011,akk.r00012
16,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334444.4.3,akk.r00011,akk.r00012
17,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334444.8.2,akk.r00011,akk.r00012
18,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334910.17.5,akk.r00011,akk.r00012
19,{NA₄}a-ba-na-ti,abnu[stone]N,saao/sargonletters:P334445.6.1,akk.r00011,akk.r00013
20,AD-AD-ia,abu[father]N,saao/sargonletters:P314283.24.2,akk.r00014,akk.r00015
21,AD-AD-ia₂,abu[father]N,saao/sargonletters:P334386.29.4,akk.r00014,akk.r00016
22,AD-MEŠ-ia,abu[father]N,saao/sargonletters:P313759.9.7,akk.r00014,akk.r00017
23,AD-MEŠ-ka,abu[father]N,saao/sargonletters:P334586.19.2,akk.r00014,akk.r00018
24,AD-MEŠ-ni,abu[father]N,saao/sargonletters:P334586.22.2,akk.r00014,akk.r00019
25,AD-MEŠ-ni,abu[father]N,saao/sargonletters:P334910.30.2,akk.r00014,akk.r00019
26,AD-a,abu[father]N,saao/sargonletters:P334080.24.5,akk.r00014,akk.r0001a
27,AD-ia,abu[father]N,saao/sargonletters:P314283.24.1,akk.r00014,akk.r0001b
28,AD-ia,abu[father]N,saao/sargonletters:P334386.29.2,akk.r00014,akk.r0001b
29,AD-ia,abu[father]N,saao/sargonletters:P334910.26.2,akk.r00014,akk.r0001b
30,AD-ka,abu[father]N,saao/sargonletters:P334258.14.4,akk.r00014,akk.r0001c
31,AD-ka,abu[father]N,saao/sargonletters:P334910.29.4,akk.r00014,akk.r0001c
32,AD-u-a,abu[father]N,saao/sargonletters:P313472.43.7,akk.r00014,akk.r0001d
33,AD-u-a,abu[father]N,saao/sargonletters:P334910.21.2,akk.r00014,akk.r0001d
34,AD-u₂-a,abu[father]N,saao/sargonletters:P313802.4.2,akk.r00014,akk.r0001e
35,AD-šu₂,abu[father]N,saao/sargonletters:P313543.16.3,akk.r00014,akk.r0001f
36,AD-šu₂,abu[father]N,saao/sargonletters:P334048.23.3,akk.r00014,akk.r0001f
37,AD-šu₂,abu[father]N,saao/sargonletters:P334080.28.1,akk.r00014,akk.r0001f
38,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.17.2,akk.r00014,akk.r00020
39,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.35.2,akk.r00014,akk.r00020
40,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.7.1,akk.r00014,akk.r00020
41,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334396.18.1,akk.r00014,akk.r00020
42,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334502.21.5,akk.r00014,akk.r00020
43,E₂-AD-ia,abu[father]N,saao/sargonletters:P313920.9.3,akk.r00014,akk.r00021
44,E₂-AD-ia,abu[father]N,saao/sargonletters:P334693.4.6,akk.r00014,akk.r00021
45,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P313480.36.3,akk.r00014,akk.r00022
46,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P313480.9.2,akk.r00014,akk.r00022
47,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P314177.7.1,akk.r00014,akk.r00022
48,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P334100.27.3,akk.r00014,akk.r00022
49,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P334100.47.3,akk.r00014,akk.r00022
50,E₂-AD-šu₂-u-ni,abu[father]N,saao/sargonletters:P313609.5.2,akk.r00014,akk.r00023
51,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313427.31.1,akk.r0002c,akk.r0002d
52,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313427.41.1,akk.r0002c,akk.r0002d
53,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313439.9.4,akk.r0002c,akk.r0002d
54,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313776.12.10,akk.r0002c,akk.r0002d
55,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.22.2,akk.r0002c,akk.r0002d
56,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.25.6,akk.r0002c,akk.r0002d
57,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.27.5,akk.r0002c,akk.r0002d
58,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.28.2,akk.r0002c,akk.r0002d
59,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.38.3,akk.r0002c,akk.r0002d
60,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.9.2,akk.r0002c,akk.r0002d
61,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334644.8.3,akk.r0002c,akk.r0002d
62,a-bul-li,abullu[(city) gate]N,saao/sargonletters:P313425.39.4,akk.r0002c,akk.r0002e
63,a-bat,awātu[word]N,saao/sargonletters:P224485.2.1,akk.r0045e,akk.r0045f
64,a-bat,awātu[word]N,saao/sargonletters:P313452.34.1,akk.r0045e,akk.r0045f
65,a-bat,awātu[word]N,saao/sargonletters:P313551.7.1,akk.r0045e,akk.r0045f
66,a-bat,awātu[word]N,saao/sargonletters:P314026.2.1,akk.r0045e,akk.r0045f
67,a-bat,awātu[word]N,saao/sargonletters:P334037.12.3,akk.r0045e,akk.r0045f
68,a-bat,awātu[word]N,saao/sargonletters:P334104.24.2,akk.r0045e,akk.r0045f
69,a-bat,awātu[word]N,saao/sargonletters:P334152.20.1,akk.r0045e,akk.r0045f
70,a-bat,awātu[word]N,saao/sargonletters:P334190.2.1,akk.r0045e,akk.r0045f
71,a-bat,awātu[word]N,saao/sargonletters:P334193.2.1,akk.r0045e,akk.r0045f
72,a-bat,awātu[word]N,saao/sargonletters:P334194.2.1,akk.r0045e,akk.r0045f
73,a-bat,awātu[word]N,saao/sargonletters:P334195.2.1,akk.r0045e,akk.r0045f
74,a-bat,awātu[word]N,saao/sargonletters:P334318.20.2,akk.r0045e,akk.r0045f
75,a-bat,awātu[word]N,saao/sargonletters:P334403.20.1,akk.r0045e,akk.r0045f
76,a-bat,awātu[word]N,saao/sargonletters:P334598.10.1,akk.r0045e,akk.r0045f
77,a-bat,awātu[word]N,saao/sargonletters:P334671.17.4,akk.r0045e,akk.r0045f
78,a-bat,awātu[word]N,saao/sargonletters:P334820.29.3,akk.r0045e,akk.r0045f
79,a-bat,awātu[word]N,saao/sargonletters:P334849.13.2,akk.r0045e,akk.r0045f
80,a-bat,awātu[word]N,saao/sargonletters:X900004.8.2,akk.r0045e,akk.r0045f
81,a-bat,awātu[word]N,saao/sargonletters:X900006.2.1,akk.r0045e,akk.r0045f
82,a-bat-u-ni,awātu[word]N,saao/sargonletters:P334187.46.4,akk.r0045e,akk.r00460
83,a-bi-te,awātu[word]N,saao/sargonletters:P334037.25.4,akk.r0045e,akk.r00461
84,a-bi-te,awātu[word]N,saao/sargonletters:P334091.14.1,akk.r0045e,akk.r00461
85,a-bi-te,awātu[word]N,saao/sargonletters:P334688.10.3,akk.r0045e,akk.r00461
86,a-bi-ti,awātu[word]N,saao/sargonletters:P313874.13.3,akk.r0045e,akk.r00462
87,a-bu-tu,awātu[word]N,saao/sargonletters:P313491.8.1,akk.r0045e,akk.r00463
88,a-bu-tu,awātu[word]N,saao/sargonletters:P334288.13.1,akk.r0045e,akk.r00463
89,a-bu-tu₂,awātu[word]N,saao/sargonletters:P313778.3.6,akk.r0045e,akk.r00464
90,a-bu-tu₂,awātu[word]N,saao/sargonletters:P314171.6.4,akk.r0045e,akk.r00464
91,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334150.15.2,akk.r0045e,akk.r00464
92,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334263.44.3,akk.r0045e,akk.r00464
93,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334305.25.1,akk.r0045e,akk.r00464
94,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334519.16.7,akk.r0045e,akk.r00464
95,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334631.11.2,akk.r0045e,akk.r00464
96,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334671.10.2,akk.r0045e,akk.r00464
97,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334711.13.3,akk.r0045e,akk.r00464
98,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334835.15.3,akk.r0045e,akk.r00464
99,a-da,ada[(meaning unknown)]N,saao/sargonletters:P313575.49.3,akk.r0003e,akk.r0003e
100,a-da-ka-ni,adakanni[until now]AV,saao/sargonletters:X900015.28.2,akk.r0003f,akk.r00040
101,a-da-kan-ni,adakanni[until now]AV,saao/sargonletters:P334223.23.2,akk.r0003f,akk.r00041
102,a-da-kan-ni-ma,adakanni[until now]AV,saao/sargonletters:P334792.11.2,akk.r0003f,akk.r00042
103,a-du-na-kan-an-ni,adakanni[until now]AV,saao/sargonletters:P313576.6.4,akk.r0003f,akk.r00043
104,a-du-na-kan-ni,adakanni[until now]AV,saao/sargonletters:P334789.15.1,akk.r0003f,akk.r00044
105,a-da-ni-iš,adanniš[very much]AV,saao/sargonletters:X900009.17.7,akk.r00047,akk.r00048
106,a-da-niš,adanniš[very much]AV,saao/sargonletters:P334060.29.1,akk.r00047,akk.r00049
107,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P224485.22.2,akk.r00047,akk.r0004a
108,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P224485.8.2,akk.r00047,akk.r0004a
109,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313425.9.2,akk.r00047,akk.r0004a
110,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313444.21.2,akk.r00047,akk.r0004a
111,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313448.27.4,akk.r00047,akk.r0004a
112,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313451.8.5,akk.r00047,akk.r0004a
113,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313469.2.4,akk.r00047,akk.r0004a
114,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313469.2.5,akk.r00047,akk.r0004a
115,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313472.4.6,akk.r00047,akk.r0004a
116,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.12.1,akk.r00047,akk.r0004a
117,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.18.5,akk.r00047,akk.r0004a
118,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.19.4,akk.r00047,akk.r0004a
119,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.9.1,akk.r00047,akk.r0004a
120,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313510.4.6,akk.r00047,akk.r0004a
121,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313510.66.5,akk.r00047,akk.r0004a
122,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313516.4.6,akk.r00047,akk.r0004a
123,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313575.4.6,akk.r00047,akk.r0004a
124,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313575.46.3,akk.r00047,akk.r0004a
125,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313586.7.1,akk.r00047,akk.r0004a
126,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313612.12.3,akk.r00047,akk.r0004a
127,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313612.9.3,akk.r00047,akk.r0004a
128,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313629.5.2,akk.r00047,akk.r0004a
129,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313632.10.2,akk.r00047,akk.r0004a
130,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313719.6.4,akk.r00047,akk.r0004a
131,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313722.8.5,akk.r00047,akk.r0004a
132,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313743.5.2,akk.r00047,akk.r0004a
133,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313788.18.1,akk.r00047,akk.r0004a
134,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313788.21.3,akk.r00047,akk.r0004a
135,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313788.23.3,akk.r00047,akk.r0004a
136,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313814.51.6,akk.r00047,akk.r0004a
137,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313814.63.5,akk.r00047,akk.r0004a
138,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313814.63.8,akk.r00047,akk.r0004a
139,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313835.7.1,akk.r00047,akk.r0004a
140,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313884.5.5,akk.r00047,akk.r0004a
141,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313970.5.2,akk.r00047,akk.r0004a
142,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313996.5.2,akk.r00047,akk.r0004a
143,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P314041.7.5,akk.r00047,akk.r0004a
144,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P314088.8.2,akk.r00047,akk.r0004a
145,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P314313.4.2,akk.r00047,akk.r0004a
146,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334040.8.2,akk.r00047,akk.r0004a
147,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334044.11.2,akk.r00047,akk.r0004a
148,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334049.26.3,akk.r00047,akk.r0004a
149,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334076.38.2,akk.r00047,akk.r0004a
150,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334084.5.2,akk.r00047,akk.r0004a
151,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334103.32.1,akk.r00047,akk.r0004a
152,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334118.14.2,akk.r00047,akk.r0004a
153,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334120.6.1,akk.r00047,akk.r0004a
154,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334141.8.5,akk.r00047,akk.r0004a
155,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334142.8.5,akk.r00047,akk.r0004a
156,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334143.8.5,akk.r00047,akk.r0004a
157,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334144.8.5,akk.r00047,akk.r0004a
158,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334151.19.1,akk.r00047,akk.r0004a
159,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334157.2.4,akk.r00047,akk.r0004a
160,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334157.2.5,akk.r00047,akk.r0004a
161,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334158.14.1,akk.r00047,akk.r0004a
162,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334158.2.4,akk.r00047,akk.r0004a
163,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334158.3.1,akk.r00047,akk.r0004a
164,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334165.16.2,akk.r00047,akk.r0004a
165,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334165.5.4,akk.r00047,akk.r0004a
166,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334166.18.2,akk.r00047,akk.r0004a
167,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334166.6.1,akk.r00047,akk.r0004a
168,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334167.5.1,akk.r00047,akk.r0004a
169,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334167.8.1,akk.r00047,akk.r0004a
170,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334168.10.1,akk.r00047,akk.r0004a
171,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334168.6.1,akk.r00047,akk.r0004a
172,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334168.6.2,akk.r00047,akk.r0004a
173,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334169.6.1,akk.r00047,akk.r0004a
174,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334177.11.3,akk.r00047,akk.r0004a
175,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334178.13.2,akk.r00047,akk.r0004a
176,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334179.38.2,akk.r00047,akk.r0004a
177,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334199.10.4,akk.r00047,akk.r0004a
178,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334202.15.5,akk.r00047,akk.r0004a
179,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334211.12.3,akk.r00047,akk.r0004a
180,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334222.15.1,akk.r00047,akk.r0004a
181,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334272.16.9,akk.r00047,akk.r0004a
182,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334284.33.4,akk.r00047,akk.r0004a
183,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334284.37.2,akk.r00047,akk.r0004a
184,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334296.5.2,akk.r00047,akk.r0004a
185,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334322.18.7,akk.r00047,akk.r0004a
186,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334322.24.3,akk.r00047,akk.r0004a
187,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334322.31.2,akk.r00047,akk.r0004a
188,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334344.21.2,akk.r00047,akk.r0004a
189,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334344.46.1,akk.r00047,akk.r0004a
190,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334347.11.3,akk.r00047,akk.r0004a
191,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334347.5.2,akk.r00047,akk.r0004a
192,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334348.5.2,akk.r00047,akk.r0004a
193,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334349.5.2,akk.r00047,akk.r0004a
194,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334350.5.2,akk.r00047,akk.r0004a
195,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334351.5.2,akk.r00047,akk.r0004a
196,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334359.16.3,akk.r00047,akk.r0004a
197,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334388.23.6,akk.r00047,akk.r0004a
198,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334388.7.2,akk.r00047,akk.r0004a
199,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334388.8.3,akk.r00047,akk.r0004a
200,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334390.8.5,akk.r00047,akk.r0004a
201,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334411.4.1,akk.r00047,akk.r0004a
202,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334483.11.1,akk.r00047,akk.r0004a
203,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334483.16.4,akk.r00047,akk.r0004a
204,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334498.4.6,akk.r00047,akk.r0004a
205,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334519.6.5,akk.r00047,akk.r0004a
206,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334520.10.1,akk.r00047,akk.r0004a
207,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334520.18.2,akk.r00047,akk.r0004a
208,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334555.10.2,akk.r00047,akk.r0004a
209,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334555.21.5,akk.r00047,akk.r0004a
210,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334609.26.6,akk.r00047,akk.r0004a
211,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334642.5.4,akk.r00047,akk.r0004a
212,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334643.23.3,akk.r00047,akk.r0004a
213,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334656.8.1,akk.r00047,akk.r0004a
214,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334661.5.2,akk.r00047,akk.r0004a
215,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334661.8.1,akk.r00047,akk.r0004a
216,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334664.23.1,akk.r00047,akk.r0004a
217,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334705.33.3,akk.r00047,akk.r0004a
218,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334711.8.1,akk.r00047,akk.r0004a
219,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334728.33.1,akk.r00047,akk.r0004a
220,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334773.33.2,akk.r00047,akk.r0004a
221,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334773.44.2,akk.r00047,akk.r0004a
222,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334774.23.3,akk.r00047,akk.r0004a
223,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334821.5.1,akk.r00047,akk.r0004a
224,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334835.14.2,akk.r00047,akk.r0004a
225,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334864.15.5,akk.r00047,akk.r0004a
226,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334888.7.1,akk.r00047,akk.r0004a
227,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334905.19.7,akk.r00047,akk.r0004a
228,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P334905.23.9,akk.r00047,akk.r0004a
229,a-dan-niš,adanniš[very much]AV,saao/sargonletters:X900009.14.9,akk.r00047,akk.r0004a
230,a-dan-niš,adanniš[very much]AV,saao/sargonletters:X900009.7.5,akk.r00047,akk.r0004a
231,a-dan-niš,adanniš[very much]AV,saao/sargonletters:X900015.11.3,akk.r00047,akk.r0004a
232,a-dan-niš,adanniš[very much]AV,saao/sargonletters:X900015.5.1,akk.r00047,akk.r0004a
233,a-dan-niš,adanniš[very much]AV,saao/sargonletters:X900015.5.2,akk.r00047,akk.r0004a
234,{GIŠ}A.AM,adāru[(a tree)]N,saao/sargonletters:P313510.40.3,akk.r0006e,akk.r0006e
235,{ITI}DIRI.ŠE,Addaru[Adar]MN,saao/sargonletters:P334587.18.3,akk.r00000,akk.r00000
236,EN,adi[until]PRP,saao/sargonletters:P336768.17.1,akk.r0004b,akk.r0004c
237,a-di,adi[until]PRP,saao/sargonletters:P313420.30.1,akk.r0004b,akk.r0004d
238,a-di,adi[until]PRP,saao/sargonletters:P313422.11.1,akk.r0004b,akk.r0004d
239,a-di,adi[until]PRP,saao/sargonletters:P313447.22.1,akk.r0004b,akk.r0004d
240,a-di,adi[until]PRP,saao/sargonletters:P313447.29.1,akk.r0004b,akk.r0004d
241,a-di,adi[until]PRP,saao/sargonletters:P313450.13.2,akk.r0004b,akk.r0004d
242,a-di,adi[until]PRP,saao/sargonletters:P313450.6.1,akk.r0004b,akk.r0004d
243,a-di,adi[until]PRP,saao/sargonletters:P313452.18.3,akk.r0004b,akk.r0004d
244,a-di,adi[until]PRP,saao/sargonletters:P313458.23.1,akk.r0004b,akk.r0004d
245,a-di,adi[until]PRP,saao/sargonletters:P313472.52.6,akk.r0004b,akk.r0004d
246,a-di,adi[until]PRP,saao/sargonletters:P313511.10.5,akk.r0004b,akk.r0004d
247,a-di,adi[until]PRP,saao/sargonletters:P313516.19.6,akk.r0004b,akk.r0004d
248,a-di,adi[until]PRP,saao/sargonletters:P313547.26.2,akk.r0004b,akk.r0004d
249,a-di,adi[until]PRP,saao/sargonletters:P313560.13.6,akk.r0004b,akk.r0004d
250,a-di,adi[until]PRP,saao/sargonletters:P313571.13.1,akk.r0004b,akk.r0004d
251,a-di,adi[until]PRP,saao/sargonletters:P313571.14.4,akk.r0004b,akk.r0004d
252,a-di,adi[until]PRP,saao/sargonletters:P313571.33.1,akk.r0004b,akk.r0004d
253,a-di,adi[until]PRP,saao/sargonletters:P313571.38.1,akk.r0004b,akk.r0004d
254,a-di,adi[until]PRP,saao/sargonletters:P313617.7.2,akk.r0004b,akk.r0004d
255,a-di,adi[until]PRP,saao/sargonletters:P313652.12.7,akk.r0004b,akk.r0004d
256,a-di,adi[until]PRP,saao/sargonletters:P313714.5.2,akk.r0004b,akk.r0004d
257,a-di,adi[until]PRP,saao/sargonletters:P313720.10.3,akk.r0004b,akk.r0004d
258,a-di,adi[until]PRP,saao/sargonletters:P313720.11.1,akk.r0004b,akk.r0004d
259,a-di,adi[until]PRP,saao/sargonletters:P313785.6.5,akk.r0004b,akk.r0004d
260,a-di,adi[until]PRP,saao/sargonletters:P313810.6.1,akk.r0004b,akk.r0004d
261,a-di,adi[until]PRP,saao/sargonletters:P313812.6.1,akk.r0004b,akk.r0004d
262,a-di,adi[until]PRP,saao/sargonletters:P313867.6.4,akk.r0004b,akk.r0004d
263,a-di,adi[until]PRP,saao/sargonletters:P313876.4.3,akk.r0004b,akk.r0004d
264,a-di,adi[until]PRP,saao/sargonletters:P313878.8.1,akk.r0004b,akk.r0004d
265,a-di,adi[until]PRP,saao/sargonletters:P313916.7.5,akk.r0004b,akk.r0004d
266,a-di,adi[until]PRP,saao/sargonletters:P313975.7.1,akk.r0004b,akk.r0004d
267,a-di,adi[until]PRP,saao/sargonletters:P314033.9.1,akk.r0004b,akk.r0004d
