	decel	diff	dist	group	group_len	k	sil_score
0	0.0	0.0	73.57878152397463	['BU:..', 'BU:.p.']	2	1	
1	0.0	-63.48156902111771	10.09721250285692	['BU:..', 'BU:.p.']	2	2	0.9183638495974604
2	58.076228087936634	-5.405340933181075	4.691871569675844	['BU:..', 'BU:.p.']	2	3	0.8897214821162384
3	1.5525980517283937	-3.8527428814526816	0.8391286882231626	['BU:..', 'BU:.p.']	2	4	0.9833441465104833
4	3.3113969758474027	-0.541345905605279	0.29778278261788366	['BU:..', 'BU:.p.']	2	5	0.9872835962588205
5	0.36774046983333847	-0.1736054357719405	0.12417734684594317	['BU:..', 'BU:.p.']	2	6	0.9912035441520984
6	0.11612844694879779	-0.0574769888231427	0.06670035802280047	['BU:..', 'BU:.p.']	2	7	0.9927956601572306
7	0.01675394835458286	-0.04072304046855984	0.025977317554240632	['BU:..', 'BU:.p.']	2	8	0.9948537487959013
8	0.03004256709577878	-0.01068047337278106	0.015296844181459572	['BU:..', 'BU:.p.']	2	9	0.9955353523437901
9	1.380670611438907e-05	-0.010666666666666672	0.0046301775147929	['BU:..', 'BU:.p.']	2	10	0.9974045658552132
10	0.008166666666666671	-0.0025000000000000005	0.0021301775147928997	['BU:..', 'BU:.p.']	2	11	0.9964215794921228
11	0.00036982248520710075	-0.0021301775147928997	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	12	0.9957939001262731
12	0.0021301775147928997	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	13	0.9957939001262731
13	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	14	0.9957939001262731
14	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	15	0.9957939001262731
15	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	16	0.9957939001262731
16	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	17	0.9957939001262731
17	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	18	0.9957939001262731
18	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	19	0.9957939001262731
19	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	20	0.9957939001262731
20	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	21	0.9957939001262731
21	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	22	0.9957939001262731
22	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	23	0.9957939001262731
23	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	24	0.9957939001262731
24	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	25	0.9957939001262731
25	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	26	0.9957939001262731
26	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	27	0.9957939001262731
27	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	28	0.9957939001262731
28	0.0	0.0	4.644646196572427e-28	['BU:..', 'BU:.p.']	2	29	0.9957939001262731
29	0.0	0.0	104.65478448573992	['DI:..', 'DI:.d.']	2	1	
30	0.0	-85.80482912874521	18.84995535699472	['DI:..', 'DI:.d.']	2	2	0.8887802195999138
31	74.84751843584962	-10.95731069289559	7.892644664099131	['DI:..', 'DI:.d.']	2	3	0.8391072758694179
32	4.260066154398375	-6.697244538497214	1.195400125601917	['DI:..', 'DI:.d.']	2	4	0.9658268449267555
33	5.936274468204043	-0.7609700702931714	0.4344300553087457	['DI:..', 'DI:.d.']	2	5	0.9786269995105749
34	0.4853404406635419	-0.2756296296296295	0.15880042567911618	['DI:..', 'DI:.d.']	2	6	0.982780163673327
35	0.19225931781279532	-0.08337031181683417	0.075430113862282	['DI:..', 'DI:.d.']	2	7	0.98682591090337
