,dul,dul₆,gur,gur₂,ia,ia₂,li,li₂,mi,mi₃,tu,tu₂,u,u₂,u₃,ša,ša₂,šu,šu₂,šum,šum₂,ṭi,ṭi₂,ANŠE:..,ANŠE:.d.,ARAD:..,ARAD:.p.,BA:..,BA:.t.,BU:..,BU:.p.,BU:.t.,DA:..,DA:.d.,DI:..,DI:.d.,E₂:..,E₂:.d.,IG:..,IG:.d.,IŠ:..,IŠ:.d.,IŠ:.t.,KAL:..,KAL:.d.,KIN:..,KIN:.t.,LA:..,LA:.p.,LI:..,LI:.d.,LIŠ:..,LIŠ:.d.,LUGAL:..,LUGAL:.d.,LUGAL:.m.,LUGAL:.p.,LUGAL:.t.,LUGAL:.y.,LU₂:v..,LU₂:v.y.,LU₂:..,MA:..,MA:.p.,MU:..,MU:.p.,NA:..,NA:.t.,NA:.d.,NA:.dt.,NA:.td.,NA:.y.,NAM:..,NAM:.p.,NI:..,NI:.d.,NUN:..,NUN:.dm.,NUN:.m.,SILA₃:..,SILA₃:.d.,SU:..,SU:.t.,SUM:..,SUM:.m.,SUM:.p.,TA:..,TA:.m.,TA:.p.,TA:..v,TA:.dm.v,TA:.m.v,TA:.mp.v,TA:.p.v,TI:..,TI:.t.,URI:..,URI:.d.,URI:.dd.,URI:.dm.,URU:..,URU:.d.,U₂:..,U₂:.m.,ZU:..,ZU:.t.,|EZEN×BAD|:..,|EZEN×BAD|:.p.,|GA₂×NUN&NUN|:..,|GA₂×NUN&NUN|:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,|ME.U.U.U|:.t.,|PIRIG×UD|:..,|PIRIG×UD|:.d.,|PIRIG×UD|:.td.,|PIRIG×UD|:.tdp.,|PIRIG×UD|:.dp.,|U.KA|:..,|U.KA|:.d.,|UD×(U.U.U)|:..,|UD×(U.U.U)|:.m.,ŠA:..,ŠA:.d.,ŠA:.dd.,ŠA:.dm.,ŠA:.dt.,ŠA:.dtm.,ŠA:.dy.,ŠA:.dym.,ŠA:.m.,ŠA:.p.,ŠA:.t.,ŠA:.td.,ŠA:.tm.,ŠA:.ty.,ŠA:.tym.,ŠA:.y.,ŠA:.yd.,ŠA:.ydm.,ŠA:.ydp.,ŠA:.ym.,ŠA₃:..,ŠA₃:.p.,ŠIM:..,ŠIM:.t.
P224485.json,0.75,0.25,0.5,0.5,0.9444444444444444,0.05555555555555555,0.4666666666666667,0.5333333333333333,0.8,0.2,0.6111111111111112,0.3888888888888889,0.3225806451612903,0.6451612903225806,0.03225806451612903,0.7857142857142857,0.21428571428571427,0.1282051282051282,0.8717948717948718,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.75,0.25,0.8888888888888888,0.1111111111111111,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.75,0.25,0.6,0.4,0.75,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.75,0.25,0.9375,0.0625,0.875,0.125,0.5,0.5,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.96875,0.03125,0.8571428571428571,0.14285714285714285,0.44,0.4,0.04,0.04,0.04,0.04,0.5,0.5,0.9565217391304348,0.043478260869565216,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.25,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5625,0.03125,0.03125,0.0625,0.03125,0.21875,0.03125,0.03125,0.5714285714285714,0.42857142857142855,0.2,0.4,0.2,0.2,0.8,0.2,0.8888888888888888,0.1111111111111111,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3181818181818182,0.6363636363636364,0.045454545454545456,0.2,0.2,0.2,0.2,0.2,0.9166666666666666,0.08333333333333333,0.5,0.5,0.29411764705882354,0.14705882352941177,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.42857142857142855
P237089.json,0.3333333333333333,0.6666666666666666,0.5,0.5,0.2,0.8,0.4,0.6,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6,0.2,0.2,0.8,0.2,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.2,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.3333333333333333,0.6666666666666666,0.25,0.25,0.25,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.6666666666666666,0.3333333333333333,0.5,0.5
P238649.json,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.4,0.4,0.2,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.25,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.6,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.25,0.8,0.2,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.5,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.6666666666666666,0.3333333333333333,0.5,0.5,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5,0.5,0.5,0.5
P313416.json,0.5,0.5,0.5,0.5,0.4,0.6,0.2,0.8,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.375,0.125,0.125,0.125,0.125,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.25,0.75,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.6666666666666666,0.3333333333333333,0.5,0.5
P313417.json,0.5,0.5,0.5,0.5,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,0.75,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.95,0.05,0.9,0.1,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.2,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.2,0.75,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.16666666666666666,0.4,0.6,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5789473684210527,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.5,0.25,0.25,0.5714285714285714,0.42857142857142855,0.8,0.2,0.3,0.5,0.05,0.05,0.05,0.05,0.5,0.5,0.9523809523809523,0.047619047619047616,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.25,0.75,0.25,0.25,0.25,0.25,0.9333333333333333,0.06666666666666667,0.9375,0.0625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.5,0.5,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.5454545454545454,0.45454545454545453,0.5,0.5
P313419.json,0.5,0.5,0.5,0.5,0.875,0.125,0.5,0.5,0.8,0.2,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.25,0.75,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6,0.2,0.2,0.3333333333333333,0.6666666666666666,0.8,0.2,0.5,0.5,0.5,0.5,0.6,0.2,0.2,0.5,0.5,0.5,0.5,0.8571428571428571,0.14285714285714285,0.5,0.5,0.5,0.5,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.25,0.25,0.8333333333333334,0.16666666666666666,0.8,0.2,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5,0.7142857142857143,0.2857142857142857,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.6666666666666666,0.3333333333333333,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.5,0.5,0.6666666666666666,0.3333333333333333
P313420.json,0.5,0.5,0.5,0.5,0.4,0.6,0.125,0.875,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.9166666666666666,0.08333333333333333,0.2,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.25,0.25,0.25,0.25,0.8,0.2,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.16,0.04,0.04,0.04,0.8,0.2,0.5,0.5
P313421.json,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.16666666666666666,0.8,0.2,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.25,0.5,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.375,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.2,0.2,0.2,0.2,0.2,0.6666666666666666,0.3333333333333333,0.5,0.5,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.6666666666666666,0.3333333333333333,0.5,0.5
P313422.json,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.1,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.8,0.2,0.5,0.5,0.5,0.5,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2,0.6,0.2,0.75,0.25,0.6666666666666666,0.3333333333333333,0.125,0.375,0.125,0.125,0.125,0.125,0.6666666666666666,0.3333333333333333,0.8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.5,0.5,0.5
P313425.json,0.6666666666666666,0.3333333333333333,0.5,0.5,0.9375,0.0625,0.5,0.5,0.8,0.2,0.125,0.875,0.45454545454545453,0.5,0.045454545454545456,0.7894736842105263,0.21052631578947367,0.8,0.2,0.5,0.5,0.5,0.5,0.75,0.25,0.8571428571428571,0.14285714285714285,0.875,0.125,0.5,0.25,0.25,0.25,0.75,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.25,0.25,0.75,0.25,0.6666666666666666,0.3333333333333333,0.875,0.125,0.4,0.6,0.5,0.5,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.047619047619047616,0.9047619047619048,0.047619047619047616,0.9411764705882353,0.058823529411764705,0.875,0.125,0.5789473684210527,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.5,0.5,0.9523809523809523,0.047619047619047616,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.25,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.6666666666666666,0.25,0.25,0.25,0.25,0.8571428571428571,0.14285714285714285,0.75,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8,0.2,0.5,0.5,0.2,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.8888888888888888,0.1111111111111111,0.5,0.5
