,a,b,break,f,file,form,frag,line_label,m,sign_loc_id,text_id,sign_form,mods_str,str_part,num_part
141969,v,LU₂,missing,y,P334826.json,{LU₂}u₂-ra-si,{lu₂vy}u₂]-⸢ra⸣-si,r 7',,P334826.18.2.0,P334826,LU₂,v.y.,LU,2
141973,v,LU₂,missing,y,P334826.json,{LU₂}DUMU—ŠAM₂-MEŠ,{[lu₂vy}DUMU]—ŠAM₂-MEŠ,r 8',,P334826.19.1.0,P334826,LU₂,v.y.,LU,2
141977,v,LU₂,missing,y,P334826.json,{LU₂}DUMU—ŠAM₂-MEŠ,{[lu₂vy}DUMU]—ŠAM₂-MEŠ,r 8',,P334826.19.1.0,P334826,LU₂,v.y.,LU,2
142212,,ša,damaged,dm,P334830.json,ša,⸢ša\dm⸣,o 19',,P334830.20.1.0,P334830,ŠA,.dm.,ša,1
142215,,BAD₃,damaged,m,P334830.json,{1}BAD₃-{d}IM,{1}⸢BAD₃\m—{d}IM⸣,o 19',,P334830.20.3.1,P334830,|EZEN×BAD|,.m.,BAD,3
142255,,na,damaged,t,P334830.json,i-na-x,⸢i-na\t-x⸣,o 22',,P334830.23.2.1,P334830,NA,.t.,na,1
142293,,ANŠE,damaged,d,P334830.json,{ANŠE}x,{⸢anšed⸣}[x,r 1,,P334830.30.5.0,P334830,ANŠE,.d.,ANŠE,1
142427,,ša,damaged,dm,P334830.json,ša,⸢ša\dm,r 12,,P334830.41.3.0,P334830,ŠA,.dm.,ša,1
142437,,TA,damaged,,P334830.json,TA@v,⸢TA@v,r 13,v,P334830.42.3.0,P334830,TA,..v,TA,1
142461,v,LU₂,damaged,y,P334830.json,{LU₂}GAL—URU-MEŠ-ni,{⸢lu₂vy⸣}GAL—URU-MEŠ-ni,r 15,,P334830.44.4.0,P334830,LU₂,v.y.,LU,2
142466,v,LU₂,damaged,y,P334830.json,{LU₂}GAL—URU-MEŠ-ni,{⸢lu₂vy⸣}GAL—URU-MEŠ-ni,r 15,,P334830.44.4.0,P334830,LU₂,v.y.,LU,2
142471,,ša,damaged,dm,P334830.json,ša,⸢ša\dm⸣,r 16,,P334830.45.1.0,P334830,ŠA,.dm.,ša,1
142474,,ba,damaged,y,P334830.json,{URU}tar-ba-si-ba-a.a,{uru}tar-⸢ba\y⸣-[si]-⸢ba⸣-a.a,r 16,,P334830.45.2.2,P334830,BA,.y.,ba,1
