,a,b,break,f,file,form,frag,line_label,m,sign_loc_id,text_id,sign_form,mods_str,str_part,num_part
2656,,LUGAL,damaged,d,P313422.json,LUGAL,⸢LUGAL\d⸣,o 1,,P313422.2.2.0,P313422,LUGAL,.d.,LUGAL,1
2668,,u₂,damaged,m,P313422.json,{KUR}u₂-ra-ar-ṭa-a.a,{kur}⸢u₂\m-ra-ar-ṭa⸣-a.[a],o 3,,P313422.4.1.1,P313422,U₂,.m.,u,2
2709,,ba,damaged,t,P313422.json,{1}a-ba-li-u₂-qu-nu,{1}a-ba\t-li-u₂\m⸣-qu-nu,o 8,,P313422.9.2.2,P313422,BA,.t.,ba,1
2711,,u₂,damaged,m,P313422.json,{1}a-ba-li-u₂-qu-nu,{1}a-ba\t-li-u₂\m⸣-qu-nu,o 8,,P313422.9.2.4,P313422,U₂,.m.,u,2
2808,v,LU₂,missing,y,P313425.json,{LU₂}ar-ba-a.a,{[lu₂vy}ar]-ba-a.a,o 5,,P313425.6.1.0,P313425,LU₂,v.y.,LU,2
2861,,TA,missing,,P313425.json,TA@v,[TA@v,o 10,v,P313425.11.1.0,P313425,TA,..v,TA,1
2944,v,LU₂,damaged,y,P313425.json,{LU₂}ARAD,{⸢lu₂vy}ARAD⸣,o 16,,P313425.17.5.0,P313425,LU₂,v.y.,LU,2
3086,v,LU₂,damaged,y,P313425.json,{LU₂}ar-ba-a.a,{lu₂vy}ar⸣-ba-a.a,b.e. 29,,P313425.31.2.0,P313425,LU₂,v.y.,LU,2
3101,v,LU₂,damaged,y,P313425.json,{LU₂}hu-ub-ti-ma,{lu₂vy⸣}hu-ub-⸢ti⸣-[ma],r 1,,P313425.33.4.0,P313425,LU₂,v.y.,LU,2
3109,,na,damaged,t,P313425.json,a-na,⸢a-na\t⸣,r 2,,P313425.34.2.1,P313425,NA,.t.,na,1
3116,,da,damaged,d,P313425.json,a-da-an,a-⸢da\d-an⸣,r 2,,P313425.34.4.1,P313425,DA,.d.,da,1
3170,v,LU₂,damaged,y,P313425.json,{LU₂}ma-ki-su,{⸢lu₂vy⸣}ma-ki-su,r 7,,P313425.39.2.0,P313425,LU₂,v.y.,LU,2
3178,,ša,damaged,ydm,P313425.json,ša,ša\ydm,r 7,,P313425.39.5.0,P313425,ŠA,.ydm.,ša,1
3242,,ša,damaged,m,P313425.json,ša,⸢ša\m⸣,r 12,,P313425.44.6.0,P313425,ŠA,.m.,ša,1
3310,,su,damaged,t,P313425.json,i-su-hur,⸢i-su\t⸣-hur,r 17,,P313425.49.5.1,P313425,SU,.t.,su,1
3325,,TA,damaged,m,P313425.json,TA@v,⸢TA@v\m⸣,r 19,v,P313425.51.1.0,P313425,TA,.m.v,TA,1
3362,v,LU₂,missing,y,P313425.json,{LU₂}NAGAR-mu-gir,{[lu₂vy}NAGAR]—mu-gir,r 22,,P313425.54.1.0,P313425,LU₂,v.y.,LU,2
3372,v,LU₂,missing,y,P313425.json,{LU₂}ARAD-MEŠ-ni,{[lu₂vy}ARAD]-⸢MEŠ\m⸣-ni,r 23,,P313425.55.1.0,P313425,LU₂,v.y.,LU,2
3374,,MEŠ,damaged,m,P313425.json,{LU₂}ARAD-MEŠ-ni,{[lu₂vy}ARAD]-⸢MEŠ\m⸣-ni,r 23,,P313425.55.1.2,P313425,|ME.U.U.U|,.m.,MEŠ,1
3678,,TA,missing,m,P313427.json,TA@v,TA@v\m],r 19,v,P313427.38.3.0,P313427,TA,.m.v,TA,1
3692,,ša,missing,dm,P313427.json,ša,ša\dm],r.e. 21,,P313427.41.2.0,P313427,ŠA,.dm.,ša,1
3880,v,LU₂,damaged,,P313434.json,{LU₂}ERIM-MEŠ,{⸢lu₂v⸣}[ERIM-MEŠ],r 6,,P313434.26.2.0,P313434,LU₂,v..,LU,2
4126,,ša,damaged,d,P313437.json,ša,⸢ša\d⸣,o 11,,P313437.12.2.0,P313437,ŠA,.d.,ša,1
4449,,DUB,damaged,m,P313439.json,{LU₂}IGI.DUB,{lu₂}⸢IGI.DUB\m⸣,r 11,,P313439.33.3.2,P313439,DUB,.m.,DUB,1
4543,,ti,damaged,t,P313442.json,i-ti-din,i-⸢ti\t⸣-[din,o 4',,P313442.6.1.1,P313442,TI,.t.,ti,1
4681,,ša,damaged,yd,P313442.json,ša,⸢ša\yd⸣,r 5,,P313442.20.1.0,P313442,ŠA,.yd.,ša,1
4707,,ti,damaged,t,P313442.json,an-nu-ti,[an]-⸢nu-ti\t⸣,r 7,,P313442.22.2.2,P313442,TI,.t.,ti,1
4756,,u₂,damaged,m,P313442.json,u₂-x,⸢u₂\m⸣-[x,e. 2,,P313442.29.2.0,P313442,U₂,.m.,u,2
4795,v,LU₂,missing,,P313444.json,{LU₂}ru-ʾu-u₂-a,{lu₂v]}⸢ru\d-ʾu⸣-u₂\m-a,o 2',,P313444.4.8.0,P313444,LU₂,v..,LU,2
4796,,ru,damaged,d,P313444.json,{LU₂}ru-ʾu-u₂-a,{lu₂v]}⸢ru\d-ʾu⸣-u₂\m-a,o 2',,P313444.4.8.1,P313444,RU,.d.,ru,1
4825,,u₂,damaged,m,P313444.json,{1}kal-bi-u₂-ku-u-a,{1}kal-bi]—⸢u₂\m⸣-ku-u-a,o 4',,P313444.6.5.3,P313444,U₂,.m.,u,2
5855,,šum₂,damaged,m,P313450.json,šum₂-ma,⸢šum₂\m⸣-ma,o 20,,P313450.21.1.0,P313450,SUM,.m.,šum,2
5862,,na,damaged,t,P313450.json,na-ta-na-a.a,⸢na\t⸣-ta-na\t-a.a,b.e. 21,,P313450.23.1.0,P313450,NA,.t.,na,1
5881,,ša,damaged,yd,P313450.json,ša,⸢ša\yd⸣,b.e. 23,,P313450.25.2.0,P313450,ŠA,.yd.,ša,1
5927,,na,damaged,t,P313450.json,a-na,a-⸢na\t,r 6,,P313450.32.1.1,P313450,NA,.t.,na,1
5946,,te,damaged,t,P313450.json,a-nu-te,a-nu-⸢te\t⸣,r 8,,P313450.34.2.2,P313450,TE,.t.,te,1
5965,,ša,damaged,ydm,P313450.json,ša,⸢ša\ydm⸣,r 10,,P313450.36.3.0,P313450,ŠA,.ydm.,ša,1
6130,v,LU₂,damaged,,P313451.json,{LU₂}x,{⸢lu₂v⸣}[x,o 12,,P313451.13.2.0,P313451,LU₂,v..,LU,2
6276,,ša,damaged,yd,P313452.json,ša,⸢ša\yd⸣,o 3,,P313452.4.2.0,P313452,ŠA,.yd.,ša,1
6278,v,LU₂,missing,,P313452.json,{LU₂}IGI.DUB,{lu₂v}IGI.DUB\m],o 3,,P313452.4.4.0,P313452,LU₂,v..,LU,2
6280,,DUB,missing,m,P313452.json,{LU₂}IGI.DUB,{lu₂v}IGI.DUB\m],o 3,,P313452.4.4.2,P313452,DUB,.m.,DUB,1
6402,,MEŠ,damaged,t,P313452.json,UN-MEŠ,UN-⸢MEŠ\t⸣,o 11,,P313452.12.3.1,P313452,|ME.U.U.U|,.t.,MEŠ,1
6528,,ba,missing,t,P313452.json,a-tab-ba-ak,[a-tab-ba\t-ak],o 20,,P313452.21.4.2,P313452,BA,.t.,ba,1
6783,,DUB,missing,m,P313452.json,{LU₂}IGI.DUB,{lu₂v}[IGI.DUB\m,r 8,,P313452.43.4.2,P313452,DUB,.m.,DUB,1
6806,v,LU₂,damaged,,P313452.json,{LU₂}A—KIN-ia,{⸢lu₂v⸣}A—KIN-ia,r 10,,P313452.45.1.0,P313452,LU₂,v..,LU,2
6810,v,LU₂,damaged,,P313452.json,{LU₂}A—KIN-ia,{⸢lu₂v⸣}A—KIN-ia,r 10,,P313452.45.1.0,P313452,LU₂,v..,LU,2
6981,,šu₂,damaged,d,P313452.json,te-pu-šu₂-u-ni,te-pu\p-⸢šu₂\d⸣-[u-ni],r 21,,P313452.56.5.2,P313452,ŠU₂,.d.,šu,2
7011,,MEŠ,damaged,t,P313452.json,I₃-MEŠ,⸢I₃-MEŠ\t⸣,r 24,,P313452.59.1.1,P313452,|ME.U.U.U|,.t.,MEŠ,1
7141,,KIN,damaged,m,P313453.json,KIN-MEŠ,⸢KIN\m-MEŠ\m⸣,o 2',,P313453.4.7.0,P313453,KIN,.m.,KIN,1
7142,,MEŠ,damaged,m,P313453.json,KIN-MEŠ,⸢KIN\m-MEŠ\m⸣,o 2',,P313453.4.7.1,P313453,|ME.U.U.U|,.m.,MEŠ,1
7170,,su,damaged,t,P313453.json,ta-su-uh,ta-⸢su\t⸣-uh,o 5',,P313453.7.5.1,P313453,SU,.t.,su,1
7180,,ša,damaged,y,P313453.json,ša,⸢ša\y⸣,o 6',,P313453.8.4.0,P313453,ŠA,.y.,ša,1
7218,,ša,damaged,y,P313453.json,ša,ša\y⸣,o 10',,P313453.12.8.0,P313453,ŠA,.y.,ša,1
7289,,TA,damaged,m,P313453.json,TA@v,⸢TA@v\m⸣,r 3,v,P313453.23.4.0,P313453,TA,.m.v,TA,1
7368,,hu,missing,d,P313453.json,i-ma-hu-ru,i-ma-hu\d-ru],r 10,,P313453.30.4.2,P313453,HU,.d.,hu,1
7674,,na,damaged,td,P313457.json,a-na,⸢a-na\td,o 3,,P313457.4.3.1,P313457,NA,.td.,na,1
7716,v,LU₂,damaged,y,P313457.json,{LU₂}qur-bu-ti,{⸢lu₂vy⸣}[qur-bu]-⸢ti\t⸣,o 8,,P313457.9.2.0,P313457,LU₂,v.y.,LU,2
7719,,ti,damaged,t,P313457.json,{LU₂}qur-bu-ti,{⸢lu₂vy⸣}[qur-bu]-⸢ti\t⸣,o 8,,P313457.9.2.3,P313457,TI,.t.,ti,1
7747,,na,damaged,td,P313457.json,iš-kun-na-na-ši,⸢iš⸣-kun-⸢na\td⸣-na\td-ši,o 11,,P313457.12.3.2,P313457,NA,.td.,na,1
7771,v,LU₂,damaged,,P313457.json,{LU₂}x-x-MEŠ,{⸢lu₂v⸣}[x-x]-⸢MEŠ⸣,o 14,,P313457.15.2.0,P313457,LU₂,v..,LU,2
7945,,ša,damaged,p,P313458.json,ša,⸢ša\p⸣,o 4,,P313458.5.7.0,P313458,ŠA,.p.,ša,1
7972,,šak,damaged,t,P313458.json,lu-šak-bi-su,[lu]-⸢šak\t⸣-bi-su\p,o 6,,P313458.7.1.1,P313458,SAG,.t.,šak,1
8444,v,LU₂,missing,,P313462.json,{LU₂}GAL-ki-ṣir-ia,{[lu₂v]}GAL—ki-ṣir-ia,o 18,,P313462.19.1.0,P313462,LU₂,v..,LU,2
8744,,su,damaged,t,P313462.json,x-su,x]-⸢su\t⸣,r 21',,P313462.47.4.1,P313462,SU,.t.,su,1
8874,v,LU₂,missing,y,P313469.json,{LU₂}NAM-MEŠ,{lu₂vy]}⸢NAM\p⸣-MEŠ,o 7,,P313469.9.8.0,P313469,LU₂,v.y.,LU,2
8875,,NAM,damaged,p,P313469.json,{LU₂}NAM-MEŠ,{lu₂vy]}⸢NAM\p⸣-MEŠ,o 7,,P313469.9.8.1,P313469,NAM,.p.,NAM,1
8896,v,LU₂,missing,y,P313469.json,{LU₂}ša₂-pet-hal,{[lu₂vy}ša₂]—⸢pet⸣-hal,r 1',,P313469.15.1.0,P313469,LU₂,v.y.,LU,2
8993,,TA,missing,m,P313470.json,TA,[TA\m,o 5,,P313470.6.2.0,P313470,TA,.m.,TA,1
9153,v,LU₂,damaged,y,P313470.json,{LU₂}x,{lu₂vy}x,o 19,,P313470.20.7.0,P313470,LU₂,v.y.,LU,2
9375,,ša,damaged,dm,P313471.json,ša,⸢ša\dm,o 17,,P313471.18.1.0,P313471,ŠA,.dm.,ša,1
9578,v,LU₂,damaged,y,P313472.json,{LU₂}qur-bu-ti,{⸢lu₂vy⸣}qur-bu-ti\t,o 14,,P313472.15.7.0,P313472,LU₂,v.y.,LU,2
9586,v,LU₂,missing,,P313472.json,{LU₂}DUMU-šip-ra-a-ni,{lu₂v]}DUMU—šip-ra-a-ni,o 15,,P313472.16.5.0,P313472,LU₂,v..,LU,2
9810,v,LU₂,missing,y,P313472.json,{LU₂}DUMU-šip-ri,{[lu₂vy}DUMU—šip-ri,r 13',,P313472.40.1.0,P313472,LU₂,v.y.,LU,2
9863,v,LU₂,missing,y,P313472.json,{LU₂}DUMU-šip-ri,{[lu₂vy]}DUMU—šip-ri,r 18',,P313472.45.1.0,P313472,LU₂,v.y.,LU,2
9898,v,LU₂,damaged,y,P313472.json,{LU₂}DUMU-šip-ri,{⸢lu₂vy⸣}DUMU—šip-ri,r 22',,P313472.49.1.0,P313472,LU₂,v.y.,LU,2
10048,v,LU₂,damaged,,P313473.json,{LU₂}ša₂-E₂-ku-din,{lu₂v⸣}ša₂—E₂—ku-din,o 4,,P313473.5.2.0,P313473,LU₂,v..,LU,2
10172,,da,damaged,d,P313473.json,x-da-te,⸢x-da\d-te⸣,r 3,,P313473.21.6.1,P313473,DA,.d.,da,1
10245,v,LU₂,missing,,P313473.json,{LU₂}ARAD-MEŠ-ia,{lu₂v]}ARAD-⸢MEŠ\t⸣-ia,r 11,,P313473.30.6.0,P313473,LU₂,v..,LU,2
10247,,MEŠ,damaged,t,P313473.json,{LU₂}ARAD-MEŠ-ia,{lu₂v]}ARAD-⸢MEŠ\t⸣-ia,r 11,,P313473.30.6.2,P313473,|ME.U.U.U|,.t.,MEŠ,1
10253,v,LU₂,missing,,P313473.json,{LU₂}GAL-da-ni-bat,{lu₂v}GAL—da]-ni-bat,r 12,,P313473.31.5.0,P313473,LU₂,v..,LU,2
10280,v,LU₂,damaged,y,P313473.json,{LU₂}ARAD-MEŠ,{⸢lu₂vy}ARAD-MEŠ⸣,r 15,,P313473.34.6.0,P313473,LU₂,v.y.,LU,2
10402,v,LU₂,missing,y,P313474.json,{LU₂}ŠAM₂-MEŠ,{[lu₂vy}ŠAM₂\m]-MEŠ\m,o 12,,P313474.13.1.0,P313474,LU₂,v.y.,LU,2
10403,,ŠAM₂,missing,m,P313474.json,{LU₂}ŠAM₂-MEŠ,{[lu₂vy}ŠAM₂\m]-MEŠ\m,o 12,,P313474.13.1.1,P313474,|NINDA₂×ŠE|,.m.,ŠAM,2
10447,v,LU₂,missing,y,P313474.json,{LU₂}ŠAM₂,{[lu₂vy]}⸢ŠAM₂\m⸣,o 17,,P313474.18.1.0,P313474,LU₂,v.y.,LU,2
10448,,ŠAM₂,damaged,m,P313474.json,{LU₂}ŠAM₂,{[lu₂vy]}⸢ŠAM₂\m⸣,o 17,,P313474.18.1.1,P313474,|NINDA₂×ŠE|,.m.,ŠAM,2
10509,v,LU₂,missing,,P313474.json,{LU₂}DAM.QAR-MEŠ,{lu₂v]}⸢DAM⸣.QAR-MEŠ\mm,r 4',,P313474.27.2.0,P313474,LU₂,v..,LU,2
10518,v,LU₂,missing,,P313474.json,{LU₂}IGI-MEŠ-ia,{[lu₂v}IGI]-MEŠ\m-ia,r 5',,P313474.28.1.0,P313474,LU₂,v..,LU,2
10556,v,LU₂,missing,,P313474.json,{LU₂}02-u,{[lu₂v}02-u],r 9',,P313474.32.1.0,P313474,LU₂,v..,LU,2
10559,v,LU₂,damaged,,P313474.json,{LU₂}600-E₂.GAL,{⸢lu₂v⸣}600—E₂.GAL,r 9',,P313474.32.2.0,P313474,LU₂,v..,LU,2
10662,v,LU₂,missing,,P313476.json,{LU₂}TIN-MEŠ,{lu₂v}TIN-MEŠ],o 5,,P313476.6.3.0,P313476,LU₂,v..,LU,2
10670,v,LU₂,missing,,P313476.json,{LU₂}GAL-MEŠ,{[lu₂v}GAL-MEŠ],o 6,,P313476.7.3.0,P313476,LU₂,v..,LU,2
10702,,LUGAL,damaged,d,P313476.json,LUGAL,⸢LUGAL\d⸣,o 11,,P313476.12.3.0,P313476,LUGAL,.d.,LUGAL,1
10735,v,LU₂,damaged,,P313476.json,{LU₂}TIN,{⸢lu₂v⸣}[TIN],o 16,,P313476.17.3.0,P313476,LU₂,v..,LU,2
10823,v,LU₂,missing,,P313476.json,{LU₂}kaš-ša₂-a.a,{lu₂v}kaš-ša₂]-⸢a⸣.[a],r 9,,P313476.32.2.0,P313476,LU₂,v..,LU,2
10948,,ša,damaged,d,P313477.json,ša,⸢ša\d⸣,o 7,,P313477.8.3.0,P313477,ŠA,.d.,ša,1
11522,,NUN,damaged,dm,P313478.json,EN.NUN,⸢EN.NUN\dm⸣,o 11,,P313478.12.2.1,P313478,NUN,.dm.,NUN,1
11695,,ša,damaged,dm,P313480.json,ša,⸢ša\dm,o 9,,P313480.10.1.0,P313480,ŠA,.dm.,ša,1
11736,,NA,damaged,dt,P313480.json,MU.AN.NA,MU.AN.⸢NA\dt⸣,o 15,,P313480.16.3.2,P313480,NA,.dt.,NA,1
11757,v,LU₂,missing,,P313480.json,{LU₂}ARAD-MEŠ,{[lu₂v]}⸢ARAD⸣-[MEŠ],r 1,,P313480.22.3.0,P313480,LU₂,v..,LU,2
11796,,ša,damaged,d,P313480.json,ša,⸢ša\d⸣,r 8,,P313480.29.1.0,P313480,ŠA,.d.,ša,1
11902,v,LU₂,missing,,P313481.json,{LU₂}qur-bu-te,{[lu₂v}qur]-bu-te,o 6',,P313481.8.1.0,P313481,LU₂,v..,LU,2
12068,v,LU₂,damaged,,P313482.json,{LU₂}i-tu-u-a.a,{⸢lu₂v⸣}<i>-tu\m-u-⸢a⸣.[a],o 4',,P313482.6.3.0,P313482,LU₂,v..,LU,2
12089,v,LU₂,damaged,,P313482.json,{LU₂}gur-ra-a.a-e-a,{⸢lu₂v⸣}gur-ra-a.a-⸢e-a⸣,o 7',,P313482.9.2.0,P313482,LU₂,v..,LU,2
12299,,u₂,damaged,m,P313483.json,u₂-še-bi-la-aš₂-šu₂,⸢u₂\m⸣-še-bi-la-aš₂-šu₂,r 12',,P313483.31.1.0,P313483,U₂,.m.,u,2
12502,,TA,damaged,m,P313487.json,TA@v,⸢TA@v\m⸣,o 9',v,P313487.11.4.0,P313487,TA,.m.v,TA,1
12662,,TA,damaged,m,P313487.json,TA@v,⸢TA@v\m⸣,r 10,v,P313487.29.5.0,P313487,TA,.m.v,TA,1
12807,,TA,damaged,m,P313491.json,TA@v,⸢TA@v\m⸣,o 2',v,P313491.4.5.0,P313491,TA,.m.v,TA,1
13042,,na,damaged,t,P313491.json,a-na,⸢a-na\t,r 1',,P313491.28.8.1,P313491,NA,.t.,na,1
13198,,ka,damaged,d,P313492.json,ARAD-ka,ARAD-⸢ka\d⸣,o 2,,P313492.3.1.1,P313492,KA,.d.,ka,1
13499,,ta,damaged,d,P313492.json,a-ta-a,a-⸢ta\d⸣-[a,r 9,,P313492.39.2.1,P313492,TA,.d.,ta,1
13509,,LUGAL,damaged,t,P313492.json,LUGAL,⸢LUGAL\t⸣,r 10,,P313492.40.2.0,P313492,LUGAL,.t.,LUGAL,1
13814,,ša,damaged,y,P313494.json,ša,⸢ša\y⸣,o 4,,P313494.5.4.0,P313494,ŠA,.y.,ša,1
13831,,le,damaged,d,P313494.json,le-ru-uš,⸢le\d⸣-ru-⸢uš⸣,o 6,,P313494.7.1.0,P313494,LI,.d.,le,1
13894,,TA,missing,m,P313494.json,TA@v,[TA@v\m],o 13,v,P313494.14.1.0,P313494,TA,.m.v,TA,1
14060,v,LU₂,damaged,,P313496.json,{LU₂}kal-x,{lu₂v}kal⸣-[x,r 1',,P313496.18.3.0,P313496,LU₂,v..,LU,2
14117,v,LU₂,missing,,P313497.json,{LU₂}A—KIN,{[lu₂v}A]—⸢KIN⸣,o 4,,P313497.5.1.0,P313497,LU₂,v..,LU,2
14120,v,LU₂,missing,,P313497.json,{LU₂}A—KIN,{[lu₂v}A]—⸢KIN⸣,o 4,,P313497.5.1.0,P313497,LU₂,v..,LU,2
14208,,TA,damaged,m,P313498.json,TA,⸢TA\m⸣,o 6,,P313498.7.4.0,P313498,TA,.m.,TA,1
14288,,ti,damaged,d,P313498.json,ap-ti-qi-di,[ap]-⸢ti\d⸣-qi\t-di,r 3',,P313498.18.1.1,P313498,TI,.d.,ti,1
14471,,qi,damaged,t,P313500.json,ap-ti-qi-di,ap-ti\t-⸢qi\t⸣-di,o 9',,P313500.11.1.2,P313500,KIN,.t.,qi,1
14519,,liš,damaged,d,P313500.json,liš-kun,⸢liš\d⸣-kun,r 2,,P313500.21.1.0,P313500,LIŠ,.d.,liš,1
14790,,TA,missing,,P313502.json,TA@v,[TA@v],o 12,v,P313502.14.1.0,P313502,TA,..v,TA,1
15023,,URU,damaged,d,P313504.json,{URU}bu-ra-a-te,{⸢urud⸣}bu-⸢ra⸣-a-te,o 12,,P313504.13.2.0,P313504,URU,.d.,URU,1
15120,v,LU₂,damaged,,P313504.json,{LU₂}x,{⸢lu₂v⸣}[x,b.e. 23,,P313504.25.2.0,P313504,LU₂,v..,LU,2
15242,,u₂,damaged,m,P313504.json,u₂-bal-u₂-ni,⸢u₂\m-bal⸣-u₂-ni,r 15,,P313504.41.2.0,P313504,U₂,.m.,u,2
15402,,u₂,damaged,m,P313504.json,šu-u₂,⸢šu-u₂\m⸣,e. 5,,P313504.57.6.1,P313504,U₂,.m.,u,2
15446,,ša,damaged,dm,P313505.json,ša,⸢ša\dm⸣,o 6,,P313505.7.2.0,P313505,ŠA,.dm.,ša,1
15780,,ra,missing,t,P313507.json,i-sap-ra,i-sap-ra\t],o 5',,P313507.7.6.2,P313507,RA,.t.,ra,1
15891,v,LU₂,damaged,,P313507.json,{LU₂}ERIM-MEŠ,{⸢lu₂v⸣}<$ERIM$>-MEŠ,o 15',,P313507.17.4.0,P313507,LU₂,v..,LU,2
15944,v,LU₂,damaged,,P313507.json,{LU₂}GAL-kal-la-bi,{⸢lu₂v⸣}GAL—kal-la-bi,o 21',,P313507.23.3.0,P313507,LU₂,v..,LU,2
15968,v,LU₂,damaged,,P313507.json,{LU₂}A.BA,{⸢lu₂v⸣}A.BA,o 23',,P313507.25.4.0,P313507,LU₂,v..,LU,2
15988,v,LU₂,damaged,,P313507.json,{LU₂}GAL-kal-la-bi,{⸢lu₂v}GAL—kal-la-bi⸣,r 1',,P313507.30.8.0,P313507,LU₂,v..,LU,2
16329,,li,damaged,d,P313508.json,ti-ma-li,ti-ma-⸢li\d⸣,r 2',,P313508.20.5.2,P313508,LI,.d.,li,1
16459,,TA,missing,m,P313509.json,TA@v,[TA@v\m,o 6,v,P313509.7.5.0,P313509,TA,.m.v,TA,1
16540,,ša,damaged,t,P313509.json,ša,⸢ša\t⸣,r 4',,P313509.22.3.0,P313509,ŠA,.t.,ša,1
16936,v,LU₂,missing,,P313510.json,{LU₂}ARAD-MEŠ,{lu₂v}ARAD]-MEŠ,r 2,,P313510.37.2.0,P313510,LU₂,v..,LU,2
17072,v,LU₂,missing,,P313510.json,{LU₂}EN.NAM,{[lu₂v]}⸢EN⸣.NAM,r 13,,P313510.48.2.0,P313510,LU₂,v..,LU,2
17332,v,LU₂,damaged,y,P313510.json,{LU₂}GAL—E₂,{⸢lu₂vy⸣}GAL—E₂,r.e. 36,,P313510.73.5.0,P313510,LU₂,v.y.,LU,2
17335,v,LU₂,damaged,y,P313510.json,{LU₂}GAL—E₂,{⸢lu₂vy⸣}GAL—E₂,r.e. 36,,P313510.73.5.0,P313510,LU₂,v.y.,LU,2
17453,v,LU₂,missing,y,P313511.json,{LU₂}EN.NAM,{lu₂vy]}⸢EN⸣.NAM\p,o 4',,P313511.6.5.0,P313511,LU₂,v.y.,LU,2
17473,,ta,damaged,p,P313511.json,x-ta,x]-⸢ta\p⸣,b.e. 7',,P313511.10.4.1,P313511,TA,.p.,ta,1
17494,,iq,damaged,d,P313511.json,{1}{d}EN-iq-bi,{1}{d]}EN—⸢iq\d⸣-[bi,r 3,,P313511.14.1.3,P313511,IG,.d.,iq,1
17501,,ša,damaged,yd,P313511.json,ša,⸢ša\yd⸣,r 4,,P313511.15.1.0,P313511,ŠA,.yd.,ša,1
17557,,u₂,damaged,m,P313511.json,u₂-ta-ni-šu₂-u-ni,⸢u₂\m⸣-ta\p-ni-šu₂-u-ni\d,r 14,,P313511.25.1.0,P313511,U₂,.m.,u,2
17634,v,LU₂,missing,,P313513.json,{LU₂}KUR₂-MEŠ,{[lu₂v}KUR₂-MEŠ,o 1',,P313513.3.1.0,P313513,LU₂,v..,LU,2
17683,v,LU₂,missing,,P313513.json,{LU₂}qe-pi,{lu₂v}qe-pi],o 5',,P313513.7.2.0,P313513,LU₂,v..,LU,2
17769,v,LU₂,damaged,y,P313514.json,{LU₂}GAL-MEŠ-šu₂,{⸢lu₂vy⸣}[GAL-MEŠ-šu₂],o 3',,P313514.5.3.0,P313514,LU₂,v.y.,LU,2
17902,v,LU₂,damaged,,P313515.json,{LU₂}DUMU-MEŠ—BAR₂.SIPA{KI},{⸢lu₂v⸣}DUMU-MEŠ—BAR₂\t.SIPA{ki},o 6,,P313515.7.3.0,P313515,LU₂,v..,LU,2
17908,v,LU₂,damaged,,P313515.json,{LU₂}DUMU-MEŠ—BAR₂.SIPA{KI},{⸢lu₂v⸣}DUMU-MEŠ—BAR₂\t.SIPA{ki},o 6,,P313515.7.3.0,P313515,LU₂,v..,LU,2
18219,,ša,damaged,d,P313516.json,ša,⸢ša\d⸣,o 21,,P313516.23.3.0,P313516,ŠA,.d.,ša,1
18450,v,LU₂,missing,,P313516.json,{LU₂}EN-pi-qi-ta-ti,{lu₂v}EN—pi]-⸢qi⸣-ta-ti\t,r 6,,P313516.47.2.0,P313516,LU₂,v..,LU,2
18541,,ša,damaged,dm,P313516.json,ša,⸢ša\dm⸣,r 13,,P313516.54.6.0,P313516,ŠA,.dm.,ša,1
18555,,ša,damaged,dm,P313516.json,ša,⸢ša\dm,nolabel,,P313516.55.6.0,P313516,ŠA,.dm.,ša,1
18576,v,LU₂,damaged,y,P313516.json,{LU₂}ERIM-MEŠ,{⸢lu₂vy⸣}ERIM-MEŠ,r 16,,P313516.57.4.0,P313516,LU₂,v.y.,LU,2
18623,,ša,damaged,dm,P313516.json,ša,⸢ša\dm⸣,r 20,,P313516.61.6.0,P313516,ŠA,.dm.,ša,1
18705,,ṭi,damaged,d,P313517.json,iq-ṭi-bu-šu₂-nu,⸢iq-ṭi\d⸣-bu-šu₂-⸢nu⸣,b.e. 7',,P313517.10.5.1,P313517,DI,.d.,ṭi,1
18885,,ša,damaged,dm,P313518.json,ša,⸢ša\dm⸣,o 11',,P313518.13.1.0,P313518,ŠA,.dm.,ša,1
19153,v,LU₂,damaged,,P313523.json,{LU₂}ERIM-MEŠ—LUGAL,{⸢lu₂v⸣}ERIM-MEŠ—⸢LUGAL⸣,o 4,,P313523.5.4.0,P313523,LU₂,v..,LU,2
19157,v,LU₂,damaged,,P313523.json,{LU₂}ERIM-MEŠ—LUGAL,{⸢lu₂v⸣}ERIM-MEŠ—⸢LUGAL⸣,o 4,,P313523.5.4.0,P313523,LU₂,v..,LU,2
19294,v,LU₂,missing,,P313527.json,{LU₂}sar-tin-nu,{[lu₂v]}⸢sar⸣-tin-nu,o 8,,P313527.9.1.0,P313527,LU₂,v..,LU,2
19300,v,LU₂,missing,,P313527.json,{LU₂}NIGIR₂—E₂.GAL,{[lu₂v]}⸢NIGIR₂⸣—E₂.GAL,o 9,,P313527.10.1.0,P313527,LU₂,v..,LU,2
19304,v,LU₂,missing,,P313527.json,{LU₂}NIGIR₂—E₂.GAL,{[lu₂v]}⸢NIGIR₂⸣—E₂.GAL,o 9,,P313527.10.1.0,P313527,LU₂,v..,LU,2
19322,,ša,damaged,yd,P313527.json,ša,⸢ša\yd⸣,o 10,,P313527.11.3.0,P313527,ŠA,.yd.,ša,1
19405,v,LU₂,damaged,,P313527.json,{LU₂}x,{⸢lu₂v⸣}[x,e. 1,,P313527.24.7.0,P313527,LU₂,v..,LU,2
19482,v,LU₂,missing,,P313529.json,{LU₂}A-šip-ri,{[lu₂v}A]—⸢šip⸣-ri,r 3,,P313529.15.1.0,P313529,LU₂,v..,LU,2
