dossier_nocertain,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
SAA05.12.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
SAA05.12.07,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SAA05.12.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SAA05.12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SAA05.12.10,9.0,2.0,24.0,4.0,5.0,10.0,16.0,2.0,4.0,5.0,16.0,16.0,42.0,3.0,104.0,4.0,5.0,1.0,6.0,12.0,12.0,4.0,52.0,15.0,28.0,13.0,39.0,4.0,17.0,30.0,82.0,6.0,9.0,33.0,11.0,17.0,23.0,23.0,18.0,2.0,14.0,8.0,6.0,10.0,16.0,3.0,6.0,3.0,4.0,27.0,27.0,3.0,2.0,4.0,7.0,1.0
SAA05.13.01,2.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,9.0,0.0,6.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
SAA05.13.02,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SAA05.13.03,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,0.0,21.0,1.0,32.0,5.0,1.0,0.0,1.0,1.0,11.0,1.0,15.0,3.0,6.0,0.0,12.0,0.0,3.0,6.0,21.0,4.0,2.0,23.0,4.0,5.0,8.0,14.0,6.0,1.0,4.0,0.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,1.0,0.0
SAA05.14.01,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,8.0,0.0,5.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,2.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,1.0,6.0,0.0,3.0,3.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
SAA05.14.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
SAA05.14.03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
SAA05.14.04,5.0,2.0,22.0,0.0,7.0,1.0,10.0,2.0,14.0,2.0,14.0,0.0,28.0,2.0,55.0,1.0,1.0,2.0,11.0,5.0,18.0,1.0,23.0,3.0,25.0,1.0,14.0,1.0,16.0,9.0,35.0,8.0,6.0,12.0,0.0,1.0,25.0,13.0,9.0,3.0,8.0,0.0,2.0,1.0,5.0,0.0,8.0,3.0,1.0,14.0,8.0,0.0,3.0,2.0,1.0,0.0
SAA15.01.01,4.0,2.0,16.0,1.0,3.0,0.0,22.0,0.0,8.0,0.0,25.0,1.0,50.0,8.0,113.0,0.0,7.0,4.0,4.0,9.0,18.0,3.0,20.0,9.0,22.0,6.0,22.0,29.0,3.0,46.0,58.0,6.0,8.0,42.0,6.0,10.0,50.0,24.0,18.0,0.0,3.0,13.0,5.0,5.0,14.0,1.0,9.0,13.0,2.0,24.0,9.0,1.0,1.0,6.0,14.0,0.0
SAA15.01.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAA15.01.03,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SAA15.01.04,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,9.0,2.0,14.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,4.0,5.0,9.0,0.0,1.0,10.0,1.0,5.0,8.0,10.0,4.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
SAA15.02.01,13.0,1.0,19.0,0.0,21.0,6.0,23.0,1.0,17.0,4.0,33.0,4.0,59.0,20.0,137.0,8.0,8.0,3.0,8.0,18.0,23.0,12.0,34.0,16.0,22.0,5.0,31.0,21.0,25.0,38.0,68.0,22.0,25.0,54.0,11.0,7.0,55.0,35.0,24.0,4.0,11.0,4.0,3.0,9.0,29.0,0.0,9.0,10.0,4.0,51.0,15.0,0.0,5.0,0.0,14.0,0.0
SAA15.02.02,3.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,8.0,1.0,12.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,2.0,0.0,4.0,0.0,3.0,1.0,4.0,1.0,1.0,8.0,2.0,5.0,4.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0
