dossier_nocertain,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
SAA05.08.07,4.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,14.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,1.0,3.0,0.0,4.0,0.0,0.0,2.0,9.0,5.0,8.0,5.0,0.0,2.0,7.0,7.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0
SAA05.08.08,0.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,7.0,0.0,0.0,1.0,0.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,9.0,0.0,4.0,6.0,2.0,5.0,1.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
SAA05.08.09,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SAA05.08.10,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,2.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
SAA05.08.11,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
SAA05.08.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
SAA05.08.13,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,0.0,27.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0
SAA05.09.01,2.0,1.0,11.0,0.0,5.0,2.0,8.0,0.0,6.0,1.0,11.0,5.0,17.0,3.0,48.0,2.0,0.0,1.0,6.0,2.0,14.0,1.0,8.0,3.0,16.0,4.0,22.0,1.0,9.0,7.0,32.0,1.0,15.0,26.0,15.0,8.0,25.0,20.0,5.0,1.0,6.0,2.0,7.0,3.0,5.0,3.0,2.0,0.0,0.0,16.0,12.0,2.0,0.0,1.0,2.0,0.0
SAA05.09.02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SAA05.10.01,3.0,0.0,7.0,6.0,9.0,0.0,11.0,2.0,14.0,0.0,11.0,10.0,42.0,9.0,72.0,10.0,4.0,0.0,2.0,7.0,23.0,1.0,20.0,3.0,15.0,8.0,39.0,2.0,13.0,24.0,37.0,3.0,10.0,11.0,5.0,6.0,18.0,26.0,10.0,7.0,14.0,12.0,0.0,3.0,9.0,1.0,9.0,1.0,0.0,12.0,12.0,0.0,3.0,1.0,9.0,1.0
