	decel	diff	dist	group	group_len	k	sil_score
0	0.0	0.0	57.834403759635535	['ia', 'ia₂']	2	1	
1	0.0	-43.976302540007914	13.85810121962762	['ia', 'ia₂']	2	2	0.7226273352511612
2	36.67619251317343	-7.300110026834485	6.557991192793136	['ia', 'ia₂']	2	3	0.7466184095104678
3	3.8035233113234646	-3.4965867155110204	3.061404477282115	['ia', 'ia₂']	2	4	0.7453931025098167
4	2.192186953506055	-1.3043997620049652	1.75700471527715	['ia', 'ia₂']	2	5	0.7659727672351015
5	0.6678757836034046	-0.6365239784015606	1.1204807368755894	['ia', 'ia₂']	2	6	0.7757802108836013
6	0.26676603040041114	-0.3697579480011495	0.7507227888744399	['ia', 'ia₂']	2	7	0.822755125255748
7	0.16463277502321516	-0.2051251729779343	0.5455976158965056	['ia', 'ia₂']	2	8	0.8457327223524853
8	0.043876914175281334	-0.16124825880265298	0.3843493570938526	['ia', 'ia₂']	2	9	0.8580208940219896
9	0.043411350076539124	-0.11783690872611385	0.26651244836773874	['ia', 'ia₂']	2	10	0.8683064657863063
10	0.012885923787216813	-0.10495098493889704	0.1615614634288417	['ia', 'ia₂']	2	11	0.9056508702458094
11	0.0748089499928819	-0.03014203494601514	0.13141942848282656	['ia', 'ia₂']	2	12	0.9140396010885454
12	0.00415729939448066	-0.02598473555153448	0.10543469293129208	['ia', 'ia₂']	2	13	0.9167608771937804
13	0.009594585132652128	-0.01639015041888235	0.08904454251240973	['ia', 'ia₂']	2	14	0.9190837817500723
14	-0.0008597207745136143	-0.017249871193395966	0.07179467131901376	['ia', 'ia₂']	2	15	0.9403062015807634
15	0.001177356990030097	-0.01607251420336587	0.055722157115647895	['ia', 'ia₂']	2	16	0.9439013666213
16	0.003608108990835787	-0.012464405212530082	0.043257751903117814	['ia', 'ia₂']	2	17	0.9508256600606623
17	0.001962504472481738	-0.010501900740048344	0.03275585116306947	['ia', 'ia₂']	2	18	0.9515518978146426
18	0.002477209382023643	-0.0080246913580247	0.02473115980504477	['ia', 'ia₂']	2	19	0.9568930707460167
19	0.002279498931357076	-0.0057451924266676245	0.018985967378377145	['ia', 'ia₂']	2	20	0.9625391746718202
20	0.00015789083936603755	-0.005587301587301587	0.013398665791075558	['ia', 'ia₂']	2	21	0.9713384636181691
21	0.0018314622887228692	-0.0037558392985787177	0.00964282649249684	['ia', 'ia₂']	2	22	0.9774650253912416
22	0.0010721770047151472	-0.0026836622938635705	0.00695916419863327	['ia', 'ia₂']	2	23	0.9817386430905374
23	0.00055141627851653	-0.0021322460153470404	0.004826918183286229	['ia', 'ia₂']	2	24	0.9834761970864946
24	0.001005311905819129	-0.0011269341095279115	0.003699984073758318	['ia', 'ia₂']	2	25	0.9850035415686884
25	0.0001955734107283065	-0.000931360698799605	0.002768623374958713	['ia', 'ia₂']	2	26	0.9850594378109333
26	0.00031911580084041874	-0.0006122448979591862	0.0021563784769995267	['ia', 'ia₂']	2	27	0.9865514570625589
27	0.0001842613588645325	-0.00042798353909465374	0.001728394937904873	['ia', 'ia₂']	2	28	0.9888907004280426
28	4.0453156089741366e-05	-0.00038753038300491237	0.0013408645548999606	['ia', 'ia₂']	2	29	0.9874378867584536
29	0.0001410072149588212	-0.00024652316804609116	0.0010943413868538694	['ia', 'ia₂']	2	30	0.9868597611803283
30	1.598447596893801e-05	-0.00023053869207715315	0.0008638026947767163	['ia', 'ia₂']	2	31	0.9873561135674369
31	6.4332878559225e-05	-0.00016620581351792815	0.0006975968812587881	['ia', 'ia₂']	2	32	0.9877622617267893
32	-8.031735452816306e-05	-0.0002465231680460912	0.00045107371321269693	['ia', 'ia₂']	2	33	0.9871841361486638
33	0.00010878212121413452	-0.0001377410468319567	0.00031333266638074024	['ia', 'ia₂']	2	34	0.9890366009936192
34	7.3398122640563955e-06	-0.0001304012345679003	0.00018293143181283993	['ia', 'ia₂']	2	35	0.9879599203213499
35	3.847838728247232e-05	-9.192284728542798e-05	9.100858452741195e-05	['ia', 'ia₂']	2	36	0.9882034960124962
36	4.30207004811831e-05	-4.890214680424488e-05	4.210643772316707e-05	['ia', 'ia₂']	2	37	0.9872595869803519
37	1.4179924582022903e-05	-3.472222222222198e-05	7.384215500945094e-06	['ia', 'ia₂']	2	38	0.9886251331988409
38	2.7338006721276884e-05	-7.384215500945094e-06	2.053557469941889e-28	['ia', 'ia₂']	2	39	0.9873948856650452
39	7.384215500945094e-06	-4.005934284325451e-31	2.0495515356575637e-28	['ia', 'ia₂']	2	40	0.9873948856650452
40	4.005934284325451e-31	0.0	2.0495515356575637e-28	['ia', 'ia₂']	2	41	0.9873948856650452
41	0.0	0.0	2.0495515356575637e-28	['ia', 'ia₂']	2	42	0.9873948856650452
42	-2.2117379481343017e-30	-2.2117379481343017e-30	2.0274341561762207e-28	['ia', 'ia₂']	2	43	0.9873948856650452
43	2.2117379481343017e-30	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	44	0.9873948856650452
44	0.0	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	45	0.9873948856650452
45	0.0	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	46	0.9873948856650452
46	0.0	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	47	0.9873948856650452
47	0.0	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	48	0.9873948856650452
48	0.0	0.0	2.0274341561762207e-28	['ia', 'ia₂']	2	49	0.9873948856650452
49	0.0	0.0	54.815275613560985	['li', 'li₂']	2	1	
50	0.0	-37.90552195759062	16.909753655970363	['li', 'li₂']	2	2	0.6584286534080992
51	26.77817955407157	-11.127342403519053	5.782411252451309	['li', 'li₂']	2	3	0.7455114707746743
52	8.320471219366953	-2.806871184152101	2.9755400682992086	['li', 'li₂']	2	4	0.7789642267244236
53	1.4860666899268309	-1.32080449422527	1.6547355740739387	['li', 'li₂']	2	5	0.8050331124044575
54	0.7447978881571196	-0.5760066060681504	1.0787289680057883	['li', 'li₂']	2	6	0.8177023879904362
55	0.23040834185945736	-0.345598264208693	0.7331307037970953	['li', 'li₂']	2	7	0.8588474290961179
56	0.1561361009937503	-0.1894621632149427	0.5436685405821526	['li', 'li₂']	2	8	0.8768478234714276
57	0.01422868357126017	-0.17523347964368252	0.3684350609384701	['li', 'li₂']	2	9	0.8898678463312821
58	0.019616507848259912	-0.1556169717954226	0.2128180891430475	['li', 'li₂']	2	10	0.9005319234599792
59	0.1130876590687313	-0.042529312726691304	0.1702887764163562	['li', 'li₂']	2	11	0.9050488680773603
60	0.004154835949386537	-0.03837447677730477	0.13191429963905144	['li', 'li₂']	2	12	0.9170347396338684
61	0.01161380766597081	-0.026760669111333957	0.10515363052771748	['li', 'li₂']	2	13	0.9227472855027281
62	0.0020429102269368116	-0.024717758884397145	0.08043587164332033	['li', 'li₂']	2	14	0.9356018674169623
63	0.007088623737405209	-0.017629135146991937	0.0628067364963284	['li', 'li₂']	2	15	0.9396727669545365
64	0.0010847289508393865	-0.01654440619615255	0.04626233030017585	['li', 'li₂']	2	16	0.9489050093082542
65	0.006667502773179158	-0.009876903422973392	0.036385426877202455	['li', 'li₂']	2	17	0.9524586197616551
66	0.0009434566044686406	-0.008933446818504751	0.027451980058697704	['li', 'li₂']	2	18	0.9570323449249416
67	0.004419557929615851	-0.004513888888888901	0.022938091169808803	['li', 'li₂']	2	19	0.9622052272048649
68	0.0002420172357057472	-0.004271871653183153	0.01866621951662565	['li', 'li₂']	2	20	0.9679360424091386
69	6.23767233143141e-05	-0.004209494929868839	0.01445672458675681	['li', 'li₂']	2	21	0.9690894114816853
70	0.0005800513615422768	-0.0036294435683265625	0.010827281018430248	['li', 'li₂']	2	22	0.9728125925922442
71	0.0017640824491998858	-0.0018653611191266767	0.008961919899303571	['li', 'li₂']	2	23	0.9733205187295293
72	0.000225044498651324	-0.0016403166204753527	0.007321603278828219	['li', 'li₂']	2	24	0.9746996813530123
73	0.0007046441058554702	-0.0009356725146198825	0.006385930764208336	['li', 'li₂']	2	25	0.9751898774314437
74	7.081155659039752e-05	-0.000864860958029485	0.005521069806178851	['li', 'li₂']	2	26	0.9779260437563414
75	0.0001846582576247634	-0.0006802027004047216	0.0048408671057741295	['li', 'li₂']	2	27	0.9779024581063138
76	-0.00046955151606179	-0.0011497542164665116	0.003691112889307618	['li', 'li₂']	2	28	0.9795992335658854
77	0.0006959323932667553	-0.0004538218231997563	0.0032372910661078616	['li', 'li₂']	2	29	0.9799592808354058
78	-0.00045678744386130985	-0.0009106092670610661	0.0023266817990467955	['li', 'li₂']	2	30	0.981802464561497
79	0.0005411316627349796	-0.00036947760432608657	0.001957204194720709	['li', 'li₂']	2	31	0.9828443429219336
80	-6.994225862463031e-06	-0.0003764718301885496	0.0015807323645321593	['li', 'li₂']	2	32	0.9857733790566434
81	1.9328973045690777e-05	-0.0003571428571428588	0.0012235895073893005	['li', 'li₂']	2	33	0.9855932988596663
82	0.00011836568113624641	-0.0002387771760066124	0.000984812331382688	['li', 'li₂']	2	34	0.9852852210831002
83	5.127857469959616e-05	-0.00018749860130701625	0.0007973137300756718	['li', 'li₂']	2	35	0.9853577545447453
84	8.847439278119825e-05	-9.9024208525818e-05	0.0006982895215498538	['li', 'li₂']	2	36	0.9857715895301093
85	-6.326239474675071e-05	-0.0001622866032725687	0.0005360029182772851	['li', 'li₂']	2	37	0.9840141682682979
86	3.9012441536868643e-05	-0.00012327416173570007	0.00041272875654158503	['li', 'li₂']	2	38	0.9845090777705603
87	1.2163050624589737e-05	-0.00011111111111111033	0.0003016176454304747	['li', 'li₂']	2	39	0.9850080273503921
88	1.0330057949105195e-05	-0.00010078105316200514	0.00020083659226846956	['li', 'li₂']	2	40	0.9855165559932612
89	3.868524794899768e-06	-9.691252836710537e-05	0.0001039240639013642	['li', 'li₂']	2	41	0.9853388533332497
90	1.0824374097132439e-05	-8.608815426997293e-05	1.7835909631391272e-05	['li', 'li₂']	2	42	0.9854732517370178
91	6.825224463858166e-05	-1.7835909631391272e-05	4.416754400762692e-29	['li', 'li₂']	2	43	0.9852939547873418
92	1.7835909631391272e-05	-1.776092594713909e-29	2.640661806048783e-29	['li', 'li₂']	2	44	0.9852939547873418
93	4.0213417238805485e-30	-1.373958422325854e-29	1.266703383722929e-29	['li', 'li₂']	2	45	0.9852939547873418
94	5.0796402283213346e-30	-8.659943994937206e-30	4.007089842292083e-30	['li', 'li₂']	2	46	0.9852939547873418
95	8.659943994937206e-30	0.0	4.007089842292083e-30	['li', 'li₂']	2	47	0.9852939547873418
96	0.0	0.0	4.007089842292083e-30	['li', 'li₂']	2	48	0.9852939547873418
97	0.0	0.0	4.007089842292083e-30	['li', 'li₂']	2	49	0.9852939547873418
